Query,Data Size,N=1 Redshift,N=2 Redshift,N=4 Redshift,N=8 Redshift,Athena_1,Athena_2
1,1,0.338,0.26,0.153,0.12,5.38,47.99
1,10,3.165,1.558,0.84,0.693,10.03,479
1,23,7.049,3.62,2,1.692,14.17,1085
1,59,17.967,9.243,4.654,4.076,6.72,2826
1,85,26.284,13.927,7.14,6.399,6.95,4075
1,125,40.855,21.165,15.808,9.473,7.49,5990
1,202,62.839,31.73,15.862,14.025,9.70,9687
1,356,224,55.76,33.379,22,13.19,17059
2,1,0.211,12.853,9.7,0.77,5.9,9
2,10,2.106,2.4,0.7,0.54,5.9,67.98
2,23,2.263,0.8,0.4,0.29,7.15,156
2,59,4.82,1.5,1.1,0.59,7.08,398
2,85,5.755,2.5,1.3,0.85,7.2,574
2,125,7.396,6.1,1.8,1.1,7.88,845
2,202,18.212,7.5,3.5,1.7,9.68,1361
2,356,20.071,31.9,42,22.563,10.063,2448
3,1,0.174,0.075,0.3,0.709,4.74,52
3,10,1.104,0.802,0.64,0.639,5.26,529
3,23,3.347,1.925,1.31,0.79,6.74,1218
3,59,10.007,4.925,2.5,2.393,6.89,3123
3,85,14.869,9.287,3.75,3.509,7.89,4495
3,125,22.334,12.669,10,5.337,7.99,6646
3,202,36.662,18.749,16,10.907,13.36,10905
3,356,75.373,35.661,26,19,13.71,19097
4,1,0.183,0.7,0.1,4.14,3.15,26
4,10,1.456,1,0.609,0.942,4.03,257
4,23,2.771,2.1,1.34,1,6.05,590
4,59,11.416,4.8,2.89,3.4,8.93,1515
4,85,15.378,11,4.1,4.7,8.22,2181
4,125,32.851,14.5,8.3,7.6,6.47,3205
4,202,83,38,20.1,9.8,6.35,5181
4,356,253,176,44.8,29,9.58,9134
5,1,0.9,0.4,0.46,4.2,7.821,44.61
5,10,1.7,3.4,0.6,0.3,6.908,483.96
5,23,4.6,3.6,1.8,1.1,13.823,1228
5,59,7.6,12,6.4,4,10.647,3205
5,85,16,9.7,7.12,6.6,9.315,4638.72
5,125,29,12,11.84,8,11.329,6912
5,202,99,29.7,17.95,12,26.211,11304
5,356,352,52,34.7,24,19.505,20162
6,1,0.6,0.40,0.26,0.19,2.701,50.91
6,10,1.3,0.322,0.1,0.07,4.618,508
6,23,1.7,1.058,0.6,0.3,4.927,1167
6,59,2.6,1.122,1.3,0.52,4.896,3000
6,85,2.8,1.542,1.9,0.87,4.475,4321
6,125,9,3,2.1,1.52,6.054,6359
6,202,21,6,4.37,2.4,7.486,10270
6,356,83,25.561,9,6,7.271,18094
7,1,4.4,4.6,0.6,4.2,5.185,57
7,10,1.6,2.7,0.5,0.3,14.43,612
7,23,2.9,2.8,1.1,0.7,14.34,1525
7,59,10,4.1,3.6,1.6,9.45,3973
7,85,8.27,4.5,3.2,1.9,10.66,5232
7,125,19.6,8,4,3.7,14.09,8519
7,202,39.2,24,10.8,5.4,12.95,13916
7,356,94,41,48,25,16.20,24760
8,1,6.4,8.2,4.124,4.4,8.455,60
8,10,6,7.9,0.432,0.31,16.049,664
8,23,5,3.3,1.187,0.663,19.82,1688
8,59,14,9.7,2.504,1.97,11.727,4280
8,85,24,14.2,3.396,2.57,13.786,6195
8,125,38.3,19,6.4,3.81,10.678,9441
8,202,45,26,11.4,5.65,14.205,15554
8,356,113,51,30.695,21,17.302,27852
9,1,4.5,1.8,0.9,0.5,6.93,66.66
9,10,7.3,2.2,1.7,0.8,15.39,698
9,23,9.9,3.9,1.9,1.317,17.11,1730
9,59,27,10.9,8.1,2.9,11.92,4474
9,85,40,16.9,9.8,3.9,11.04,6482
9,125,66,33,19.7,6.7,14.69,9830
9,202,101,52,21.8,13.6,14.40,16117
9,356,296,121,51,47,23.76,28805
10,1,0.73,0.5,0.6,1.37,5.828,43
10,10,1.54,1,0.6,0.3,7.555,451
10,23,3.98,2.5,1.7,1.1,12.823,1044
10,59,9.2,10.7,3.4,3.39,11.061,2662
10,85,16,12.8,4.7,4.5,12.121,3840
