database_id,scale_factor,query_id,start,cpu_time,data_scanned
2,1,3,20,1494.0,38.94
8,7,12,386,5941.220338983051,231.89
13,31,7,517,24180.59548022599,1616.34
10,13,10,2328,16206.314124293787,497.0
3,1,11,2387,209.6,12.18
5,3,13,3035,5824.300564971751,58.1
3,1,10,3401,1268.1333333333334,37.8
3,1,11,5287,209.6,12.18
19,356,5,5302,157090.93333333332,17448.96
13,31,18,6807,81412.09491525425,862.73
2,1,11,7953,209.6,12.18
3,1,9,8110,1704.6666666666667,71.45
3,1,6,8192,233.2,32.98
3,1,12,9685,856.0,33.19
3,1,14,9871,386.6666666666667,52.0
8,7,2,10281,5103.7118644067805,79.16
5,3,18,10869,8203.9593220339,83.54
3,1,10,12898,1268.1333333333334,37.8
3,1,19,12969,687.7333333333333,51.4
8,7,8,13979,6244.759322033899,441.41
8,7,9,14094,11831.542372881355,492.09
13,31,1,14330,59198.7209039548,1146.88
11,17,13,15381,32349.892278719395,340.48
8,7,13,15689,13513.037288135592,137.23
3,1,12,17099,856.0,33.19
16,85,8,17239,67403.75141242938,5570.56
8,7,11,18629,1454.7661016949153,89.68
3,1,22,18801,264.26666666666665,6.29
3,1,22,19485,264.26666666666665,6.29
3,1,14,19834,386.6666666666667,52.0
3,1,16,20088,437.2,3.42
8,7,4,20092,5385.0406779661025,171.69
8,7,10,20148,8801.705084745763,266.13
8,7,17,20215,3926.572881355932,266.05
3,1,9,20855,1704.6666666666667,71.45
8,7,3,21401,10369.372881355934,274.96
8,7,10,21491,8801.705084745763,266.13
8,7,20,22950,4285.637288135594,358.53
15,59,18,23154,148546.66666666666,1638.4
8,7,15,27885,4293.040677966102,630.71
19,356,22,31648,47039.46666666667,2775.04
8,7,11,32890,1454.7661016949153,89.68
9,10,21,34078,14893.570621468927,1034.24
8,7,8,36235,6244.759322033899,441.41
8,7,13,37216,13513.037288135592,137.23
8,7,2,37427,5103.7118644067805,79.16
19,356,15,38944,110098.93333333333,32419.84
5,3,6,39869,697.6237288135593,98.91
3,1,6,41012,233.2,32.98
3,1,6,41647,233.2,32.98
3,1,14,41923,386.6666666666667,52.0
8,7,8,42815,6244.759322033899,441.41
3,1,5,43568,882.5333333333333,41.06
3,1,21,44198,1508.5333333333333,80.86
2,1,14,45315,386.6666666666667,52.0
8,7,21,45624,10470.24406779661,680.89
11,17,17,46968,9400.122787193974,659.24
3,1,16,46985,437.2,3.42
3,1,20,47662,617.4666666666667,53.74
15,59,20,49412,33446.11111111112,2949.12
13,31,16,49565,12978.91186440678,35.82
3,1,17,50113,565.7333333333333,45.17
8,7,13,50466,13513.037288135592,137.23
13,31,14,51822,11478.757062146893,1433.66
8,7,12,53286,5941.220338983051,231.89
16,85,20,53304,46257.67231638418,4290.56
13,31,5,54940,26199.273446327683,1413.12
3,1,2,55540,735.3333333333334,10.0
8,7,10,55722,8801.705084745763,266.13
3,1,18,55980,2742.4,26.6
3,1,20,58891,617.4666666666667,53.74
2,1,6,59924,233.2,32.98
9,10,8,64598,8882.960451977402,652.73
3,1,15,65004,618.5333333333333,79.18
13,31,15,66890,18362.053107344633,2662.4
3,1,12,71392,856.0,33.19
5,3,20,71842,1847.167231638418,142.84
3,1,2,73257,735.3333333333334,10.0
3,1,13,73277,1946.9333333333334,18.72
8,7,5,73280,6125.379661016949,328.42
8,7,18,73561,19034.115254237287,194.46
13,31,18,73852,81412.09491525425,862.73
3,1,5,74094,882.5333333333333,41.06
8,7,10,74833,8801.705084745763,266.13
8,7,19,74849,4773.335593220339,309.56
8,7,3,75361,10369.372881355934,274.96
5,3,2,75525,2199.768361581921,39.35
3,1,4,77086,775.8666666666667,24.68
11,17,18,77250,45567.22259887005,472.1
5,3,12,77651,2560.7457627118642,99.52
8,7,19,77938,4773.335593220339,309.56
19,356,5,77978,157090.93333333332,17448.96
3,1,8,78187,899.7333333333333,64.36
3,1,18,78398,2742.4,26.6
8,7,19,78621,4773.335593220339,309.56
5,3,11,78966,627.0237288135593,42.57
5,3,20,79666,1847.167231638418,142.84
3,1,14,81388,386.6666666666667,52.0
8,7,21,82748,10470.24406779661,680.89
8,7,11,82985,1454.7661016949153,89.68
8,7,10,83073,8801.705084745763,266.13
3,1,22,87474,264.26666666666665,6.29
15,59,21,91679,81712.22222222223,5560.32
16,85,14,92247,28967.231638418078,3993.6
2,1,18,93278,2742.4,26.6
8,7,19,93301,4773.335593220339,309.56
5,3,13,94726,5824.300564971751,58.1
15,59,6,95879,12631.666666666666,1945.6
13,31,5,96374,26199.273446327683,1413.12
8,7,17,98842,3926.572881355932,266.05
15,59,12,98982,46366.666666666664,1986.56
8,7,8,107016,6244.759322033899,441.41
8,7,7,107313,5653.413559322034,373.81
8,7,15,107477,4293.040677966102,630.71
3,1,15,108515,618.5333333333333,79.18
3,1,13,111203,1946.9333333333334,18.72
8,7,22,111720,1834.1898305084746,46.48
8,7,2,111890,5103.7118644067805,79.16
3,1,19,113088,687.7333333333333,51.4
15,59,19,113432,37252.222222222226,2744.32
8,7,4,113820,5385.0406779661025,171.69
8,7,19,114587,4773.335593220339,309.56
8,7,7,114753,5653.413559322034,373.81
15,59,22,116075,14314.444444444447,425.06
8,7,11,116232,1454.7661016949153,89.68
5,3,9,116393,5099.553672316384,200.62
16,85,5,118032,66115.20903954803,4014.08
8,7,14,118540,2683.728813559322,313.68
15,59,13,119182,105458.88888888889,1198.08
3,1,19,119883,687.7333333333333,51.4
3,1,20,121475,617.4666666666667,53.74
8,7,12,122101,5941.220338983051,231.89
19,356,8,123837,160152.53333333333,24504.32
13,31,20,124942,18330.387570621468,1505.28
3,1,22,125031,264.26666666666665,6.29
8,7,15,126195,4293.040677966102,630.71
8,7,13,126520,13513.037288135592,137.23
8,7,8,128187,6244.759322033899,441.41
8,7,13,129500,13513.037288135592,137.23
8,7,1,131013,13840.637288135593,258.01
15,59,15,131326,33503.88888888889,5140.48
3,1,6,132213,233.2,32.98
5,3,4,133487,2321.0248587570622,73.68
8,7,5,134611,6125.379661016949,328.42
8,7,4,134734,5385.0406779661025,171.69
11,17,20,138131,10259.71450094162,952.92
2,1,10,140089,1268.1333333333334,37.8
13,31,3,140124,44351.542372881355,1239.04
8,7,1,142451,13840.637288135593,258.01
8,7,16,144488,3034.464406779661,22.34
13,31,1,146168,59198.7209039548,1146.88
13,31,11,148635,6222.277966101695,266.54
8,7,15,149372,4293.040677966102,630.71
3,1,18,149628,2742.4,26.6
15,59,11,150073,11353.333333333334,499.78
8,7,3,150187,10369.372881355934,274.96
8,7,15,150212,4293.040677966102,630.71
15,59,5,151320,47803.88888888889,2744.32
9,10,20,151677,6096.1751412429385,538.32
15,59,22,152910,14314.444444444447,425.06
19,356,19,153013,122416.53333333334,17059.84
8,7,3,153080,10369.372881355934,274.96
5,3,6,153727,697.6237288135593,98.91
13,31,13,154977,57797.520903954806,623.2
8,7,13,156880,13513.037288135592,137.23
8,7,19,156882,4773.335593220339,309.56
8,7,9,158355,11831.542372881355,492.09
3,1,2,158513,735.3333333333334,10.0
13,31,19,160294,20416.354802259888,1413.12
8,7,9,160422,11831.542372881355,492.09
16,85,18,160986,205447.59322033898,2355.2
8,7,3,161674,10369.372881355934,274.96
15,59,4,161703,42026.11111111112,1474.56
2,1,15,162135,618.5333333333333,79.18
5,3,21,162254,4512.81581920904,263.47
3,1,17,162494,565.7333333333333,45.17
5,3,7,164816,2436.6971751412425,150.19
10,13,20,166615,7891.0146892655375,688.99
3,1,18,167560,2742.4,26.6
11,17,13,167779,32349.892278719395,340.48
5,3,21,167843,4512.81581920904,263.47
8,7,3,171300,10369.372881355934,274.96
15,59,16,175396,23681.666666666668,68.05
13,31,8,179848,26709.8802259887,1955.84
8,7,16,180164,3034.464406779661,22.34
13,31,18,180855,81412.09491525425,862.73
8,7,1,181153,13840.637288135593,258.01
8,7,9,181205,11831.542372881355,492.09
3,1,2,181561,735.3333333333334,10.0
8,7,15,181785,4293.040677966102,630.71
8,7,11,182489,1454.7661016949153,89.68
8,7,11,182698,1454.7661016949153,89.68
5,3,21,182920,4512.81581920904,263.47
8,7,4,183332,5385.0406779661025,171.69
3,1,13,183637,1946.9333333333334,18.72
8,7,8,183883,6244.759322033899,441.41
11,17,2,183924,12218.165725047082,177.06
3,1,14,183973,386.6666666666667,52.0
8,7,10,185039,8801.705084745763,266.13
8,7,19,185466,4773.335593220339,309.56
3,1,4,186571,775.8666666666667,24.68
8,7,15,187460,4293.040677966102,630.71
8,7,8,188025,6244.759322033899,441.41
3,1,6,188468,233.2,32.98
15,59,13,188706,105458.88888888889,1198.08
8,7,2,189300,5103.7118644067805,79.16
3,1,16,189541,437.2,3.42
3,1,4,189636,775.8666666666667,24.68
8,7,13,190365,13513.037288135592,137.23
3,1,4,190518,775.8666666666667,24.68
3,1,7,191281,814.5333333333333,47.45
8,7,12,191796,5941.220338983051,231.89
16,85,18,193048,205447.59322033898,2355.2
8,7,2,194408,5103.7118644067805,79.16
8,7,7,194417,5653.413559322034,373.81
8,7,11,194922,1454.7661016949153,89.68
3,1,9,194952,1704.6666666666667,71.45
3,1,1,195017,1994.1333333333334,36.89
8,7,1,195132,13840.637288135593,258.01
8,7,6,195248,1618.5661016949155,230.65
5,3,12,198863,2560.7457627118642,99.52
8,7,18,199042,19034.115254237287,194.46
8,7,11,200630,1454.7661016949153,89.68
8,7,11,201328,1454.7661016949153,89.68
8,7,3,201915,10369.372881355934,274.96
8,7,14,203361,2683.728813559322,313.68
8,7,5,203740,6125.379661016949,328.42
8,7,13,205812,13513.037288135592,137.23
8,7,8,206113,6244.759322033899,441.41
5,3,9,207528,5099.553672316384,200.62
2,1,18,208338,2742.4,26.6
5,3,12,210682,2560.7457627118642,99.52
9,10,4,212523,7660.0395480226,244.77
15,59,1,215607,108015.55555555556,2170.88
8,7,5,216646,6125.379661016949,328.42
8,7,3,217185,10369.372881355934,274.96
8,7,15,217512,4293.040677966102,630.71
15,59,5,219354,47803.88888888889,2744.32
8,7,2,220138,5103.7118644067805,79.16
11,17,10,220379,21071.074199623352,652.68
3,1,5,220403,882.5333333333333,41.06
8,7,22,220423,1834.1898305084746,46.48
8,7,6,220571,1618.5661016949155,230.65
