database_id,scale_factor,query_id,start,cpu_time,data_scanned
2,1,3,20,1494.0,506.21999999999997
8,7,12,386,5941.220338983051,3014.5699999999997
13,31,7,517,24180.59548022599,21012.42
10,13,10,2328,16206.314124293787,6461.0
3,1,11,2387,209.6,158.34
5,3,13,3035,5824.300564971751,755.3000000000001
3,1,10,3401,1268.1333333333334,491.4
3,1,11,5287,209.6,158.34
19,356,5,5302,157090.93333333332,226836.47999999998
13,31,18,6807,81412.09491525425,11215.49
2,1,11,7953,209.6,158.34
3,1,9,8110,1704.6666666666667,928.85
3,1,6,8192,233.2,428.73999999999995
3,1,12,9685,856.0,431.46999999999997
3,1,14,9871,386.6666666666667,676.0
8,7,2,10281,5103.7118644067805,1029.08
5,3,18,10869,8203.9593220339,1086.02
3,1,10,12898,1268.1333333333334,491.4
3,1,19,12969,687.7333333333333,668.1999999999999
8,7,8,13979,6244.759322033899,5738.33
8,7,9,14094,11831.542372881357,6397.17
13,31,1,14330,59198.7209039548,14909.440000000002
11,17,13,15381,32349.892278719395,4426.24
8,7,13,15689,13513.037288135592,1783.9899999999998
3,1,12,17099,856.0,431.46999999999997
16,85,8,17239,67403.75141242938,72417.28
8,7,11,18629,1454.7661016949153,1165.8400000000001
3,1,22,18801,264.26666666666665,81.77
3,1,22,19485,264.26666666666665,81.77
3,1,14,19834,386.6666666666667,676.0
3,1,16,20088,437.2,44.46
8,7,4,20092,5385.040677966103,2231.97
8,7,10,20148,8801.705084745763,3459.69
8,7,17,20215,3926.572881355932,3458.65
3,1,9,20855,1704.6666666666667,928.85
8,7,3,21401,10369.372881355934,3574.4799999999996
8,7,10,21491,8801.705084745763,3459.69
8,7,20,22950,4285.637288135594,4660.889999999999
15,59,18,23154,148546.66666666666,21299.2
8,7,15,27885,4293.040677966102,8199.23
19,356,22,31648,47039.46666666667,36075.52
8,7,11,32890,1454.7661016949153,1165.8400000000001
9,10,21,34078,14893.570621468927,13445.12
8,7,8,36235,6244.759322033899,5738.33
8,7,13,37216,13513.037288135592,1783.9899999999998
8,7,2,37427,5103.7118644067805,1029.08
19,356,15,38944,110098.93333333332,421457.92
5,3,6,39869,697.6237288135593,1285.83
3,1,6,41012,233.2,428.73999999999995
3,1,6,41647,233.2,428.73999999999995
3,1,14,41923,386.6666666666667,676.0
8,7,8,42815,6244.759322033899,5738.33
3,1,5,43568,882.5333333333333,533.78
3,1,21,44198,1508.5333333333333,1051.18
2,1,14,45315,386.6666666666667,676.0
8,7,21,45624,10470.24406779661,8851.57
11,17,17,46968,9400.122787193974,8570.12
3,1,16,46985,437.2,44.46
3,1,20,47662,617.4666666666667,698.62
15,59,20,49412,33446.11111111112,38338.56
13,31,16,49565,12978.91186440678,465.66
3,1,17,50113,565.7333333333333,587.21
8,7,13,50466,13513.037288135592,1783.9899999999998
13,31,14,51822,11478.757062146891,18637.58
8,7,12,53286,5941.220338983051,3014.5699999999997
16,85,20,53304,46257.67231638418,55777.280000000006
13,31,5,54940,26199.273446327683,18370.559999999998
3,1,2,55540,735.3333333333334,130.0
8,7,10,55722,8801.705084745763,3459.69
3,1,18,55980,2742.4,345.8
3,1,20,58891,617.4666666666667,698.62
2,1,6,59924,233.2,428.73999999999995
9,10,8,64598,8882.960451977402,8485.49
3,1,15,65004,618.5333333333333,1029.3400000000001
13,31,15,66890,18362.053107344636,34611.200000000004
3,1,12,71392,856.0,431.46999999999997
5,3,20,71842,1847.167231638418,1856.92
3,1,2,73257,735.3333333333334,130.0
3,1,13,73277,1946.9333333333332,243.35999999999999
8,7,5,73280,6125.379661016949,4269.46
8,7,18,73561,19034.115254237287,2527.98
13,31,18,73852,81412.09491525425,11215.49
3,1,5,74094,882.5333333333333,533.78
8,7,10,74833,8801.705084745763,3459.69
8,7,19,74849,4773.335593220339,4024.28
8,7,3,75361,10369.372881355934,3574.4799999999996
5,3,2,75525,2199.768361581921,511.55
3,1,4,77086,775.8666666666667,320.84
11,17,18,77250,45567.22259887005,6137.3
5,3,12,77651,2560.745762711864,1293.76
8,7,19,77938,4773.335593220339,4024.28
19,356,5,77978,157090.93333333332,226836.47999999998
3,1,8,78187,899.7333333333333,836.68
3,1,18,78398,2742.4,345.8
8,7,19,78621,4773.335593220339,4024.28
5,3,11,78966,627.0237288135593,553.41
5,3,20,79666,1847.167231638418,1856.92
3,1,14,81388,386.6666666666667,676.0
8,7,21,82748,10470.24406779661,8851.57
8,7,11,82985,1454.7661016949153,1165.8400000000001
8,7,10,83073,8801.705084745763,3459.69
3,1,22,87474,264.26666666666665,81.77
15,59,21,91679,81712.22222222223,72284.16
16,85,14,92247,28967.23163841808,51916.799999999996
2,1,18,93278,2742.4,345.8
8,7,19,93301,4773.335593220339,4024.28
5,3,13,94726,5824.300564971751,755.3000000000001
15,59,6,95879,12631.666666666666,25292.8
13,31,5,96374,26199.273446327683,18370.559999999998
8,7,17,98842,3926.572881355932,3458.65
15,59,12,98982,46366.66666666666,25825.28
8,7,8,107016,6244.759322033899,5738.33
8,7,7,107313,5653.413559322034,4859.53
8,7,15,107477,4293.040677966102,8199.23
3,1,15,108515,618.5333333333333,1029.3400000000001
3,1,13,111203,1946.9333333333332,243.35999999999999
8,7,22,111720,1834.1898305084744,604.24
8,7,2,111890,5103.7118644067805,1029.08
3,1,19,113088,687.7333333333333,668.1999999999999
