database_id,scale_factor,query_id,start,shuffled_mb,cpu_time,data_scanned
2,1,3,20,0.229,227,130.677
8,7,12,386,0.0,260,29.842
13,31,7,517,17.743,4452,1203.205
10,13,10,2328,140.613,3911,573.028
3,1,11,2387,1.628,30,22.803
5,3,13,3035,54.376,4030,144.431
3,1,10,3401,10.816,301,44.079
3,1,11,5287,1.628,30,22.803
19,356,5,5302,290.263,230156,54525.433
13,31,18,6807,0.174,29680,7246.48
2,1,11,7953,1.628,30,22.803
3,1,9,8110,1.194,507,45.703
3,1,6,8192,0.0,9,3.919
3,1,12,9685,0.0,37,4.263
3,1,14,9871,1.713,24,12.765
8,7,2,10281,0.948,608,3.55
5,3,18,10869,0.017,2872,701.272
3,1,10,12898,10.816,301,44.079
3,1,19,12969,2.46,112,8.701
8,7,8,13979,2.201,2492,107.62
8,7,9,14094,8.361,3550,319.919
13,31,1,14330,0.002,24684,9444.055
11,17,13,15381,308.132,22838,818.441
8,7,13,15689,126.878,9404,337.005
3,1,12,17099,0.0,37,4.263
16,85,8,17239,30.064,45000,535.107
8,7,11,18629,11.395,207,159.622
3,1,22,18801,2.055,76,21.651
3,1,22,19485,2.055,76,21.651
3,1,14,19834,1.713,24,12.765
3,1,16,20088,8.057,130,23.142
8,7,4,20092,0.0,1712,113.389
8,7,10,20148,75.715,2106,308.554
8,7,17,20215,0.236,1186,2.432
3,1,9,20855,1.194,507,45.703
8,7,3,21401,1.602,1590,914.741
8,7,10,21491,75.715,2106,308.554
8,7,20,22950,5.657,293,18.97
15,59,18,23154,0.331,56487,13791.687
8,7,15,27885,41.224,298,95.747
19,356,22,31648,869.893,109288,7637.105
8,7,11,32890,11.395,207,159.622
9,10,21,34078,0.575,6737,1307.601
8,7,8,36235,2.201,2492,107.62
8,7,13,37216,126.878,9404,337.005
8,7,2,37427,0.948,608,3.55
19,356,15,38944,1404.269,105868,4238.508
5,3,6,39869,0.0,27,11.758
3,1,6,41012,0.0,9,3.919
3,1,6,41647,0.0,9,3.919
3,1,14,41923,1.713,24,12.765
8,7,8,42815,2.201,2492,107.62
3,1,5,43568,1.067,236,29.875
3,1,21,44198,0.057,674,130.76
2,1,14,45315,1.713,24,12.765
8,7,21,45624,0.402,4716,915.321
11,17,17,46968,0.574,2881,5.906
3,1,16,46985,8.057,130,23.142
3,1,20,47662,0.808,42,2.71
15,59,20,49412,47.681,2470,159.892
13,31,16,49565,249.782,4035,717.388
3,1,17,50113,0.034,169,0.347
8,7,13,50466,126.878,9404,337.005
13,31,14,51822,53.095,751,395.721
8,7,12,53286,0.0,260,29.842
16,85,20,53304,69.442,11890,2247.486
13,31,5,54940,33.085,7314,926.118
3,1,2,55540,0.135,87,0.507
8,7,10,55722,75.715,2106,308.554
3,1,18,55980,0.006,957,233.757
3,1,20,58891,0.808,42,2.71
2,1,6,59924,0.0,9,3.919
9,10,8,64598,3.144,3559,153.743
3,1,15,65004,5.889,43,13.678
13,31,15,66890,182.565,1320,424.021
3,1,12,71392,0.0,37,4.263
5,3,20,71842,2.424,126,8.13
3,1,2,73257,0.135,87,0.507
3,1,13,73277,18.125,1343,48.144
8,7,5,73280,7.471,1652,209.123
8,7,18,73561,0.039,6702,1636.302
13,31,18,73852,0.174,29680,7246.48
3,1,5,74094,1.067,236,29.875
8,7,10,74833,75.715,2106,308.554
8,7,19,74849,17.222,785,60.906
8,7,3,75361,1.602,1590,914.741
5,3,2,75525,0.406,261,1.522
3,1,4,77086,0.0,245,16.198
11,17,18,77250,0.095,16276,3973.876
5,3,12,77651,0.0,112,12.789
8,7,19,77938,17.222,785,60.906
19,356,5,77978,290.263,230156,54525.433
3,1,8,78187,0.314,356,15.374
3,1,18,78398,0.006,957,233.757
8,7,19,78621,17.222,785,60.906
5,3,11,78966,4.884,89,68.41
5,3,20,79666,2.424,126,8.13
3,1,14,81388,1.713,24,12.765
8,7,21,82748,0.402,4716,915.321
8,7,11,82985,11.395,207,159.622
8,7,10,83073,75.715,2106,308.554
3,1,22,87474,2.055,76,21.651
15,59,21,91679,3.392,39750,7714.847
16,85,14,92247,145.575,2400,1091.255
2,1,18,93278,0.006,957,233.757
8,7,19,93301,17.222,785,60.906
5,3,13,94726,54.376,4030,144.431
15,59,6,95879,0.0,540,231.25
13,31,5,96374,33.085,7314,926.118
8,7,17,98842,0.236,1186,2.432
15,59,12,98982,0.0,2195,251.523
8,7,8,107016,2.201,2492,107.62
8,7,7,107313,4.006,1004,271.691
8,7,15,107477,41.224,298,95.747
3,1,15,108515,5.889,43,13.678
3,1,13,111203,18.125,1343,48.144
8,7,22,111720,14.383,530,151.556
8,7,2,111890,0.948,608,3.55
3,1,19,113088,2.46,112,8.701
15,59,19,113432,145.156,6620,513.352
8,7,4,113820,0.0,1712,113.389
8,7,19,114587,17.222,785,60.906
8,7,7,114753,4.006,1004,271.691
15,59,22,116075,121.228,4467,1277.399
8,7,11,116232,11.395,207,159.622
5,3,9,116393,3.583,1521,137.108
16,85,5,118032,81.726,25415,3573.429
8,7,14,118540,11.989,170,89.356
15,59,13,119182,1069.398,79260,2840.471
3,1,19,119883,2.46,112,8.701
3,1,20,121475,0.808,42,2.71
8,7,12,122101,0.0,260,29.842
19,356,8,123837,111.56,192000,5339.179
13,31,20,124942,25.053,1298,84.011
3,1,22,125031,2.055,76,21.651
8,7,15,126195,41.224,298,95.747
8,7,13,126520,126.878,9404,337.005
8,7,8,128187,2.201,2492,107.62
8,7,13,129500,126.878,9404,337.005
8,7,1,131013,0.0,5574,2132.529
15,59,15,131326,347.462,2513,807.007
3,1,6,132213,0.0,9,3.919
5,3,4,133487,0.0,734,48.595
8,7,5,134611,7.471,1652,209.123
8,7,4,134734,0.0,1712,113.389
11,17,20,138131,13.739,712,46.071
2,1,10,140089,10.816,301,44.079
13,31,3,140124,7.094,7041,4050.997
8,7,1,142451,0.0,5574,2132.529
8,7,16,144488,56.402,911,161.991
13,31,1,146168,0.002,24684,9444.055
13,31,11,148635,50.464,918,706.899
8,7,15,149372,41.224,298,95.747
3,1,18,149628,0.006,957,233.757
15,59,11,150073,96.045,1748,1345.388
8,7,3,150187,1.602,1590,914.741
8,7,15,150212,41.224,298,95.747
15,59,5,151320,62.969,13920,1762.612
9,10,20,151677,8.082,419,27.1
15,59,22,152910,121.228,4467,1277.399
19,356,19,153013,875.681,130787,4303.118
8,7,3,153080,1.602,1590,914.741
5,3,6,153727,0.0,27,11.758
13,31,13,154977,561.887,41645,1492.451
8,7,13,156880,126.878,9404,337.005
8,7,19,156882,17.222,785,60.906
8,7,9,158355,8.361,3550,319.919
3,1,2,158513,0.135,87,0.507
13,31,19,160294,76.268,3478,269.727
8,7,9,160422,8.361,3550,319.919
16,85,18,160986,0.479,101256,19869.88
8,7,3,161674,1.602,1590,914.741
15,59,4,161703,0.001,14433,955.709
2,1,15,162135,5.889,43,13.678
5,3,21,162254,0.172,2021,392.28
3,1,17,162494,0.034,169,0.347
5,3,7,164816,1.717,431,116.439
10,13,20,166615,10.506,544,35.23
3,1,18,167560,0.006,957,233.757
11,17,13,167779,308.132,22838,818.441
5,3,21,167843,0.172,2021,392.28
8,7,3,171300,1.602,1590,914.741
15,59,16,175396,475.391,7680,1365.351
13,31,8,179848,9.748,11034,476.603
8,7,16,180164,56.402,911,161.991
13,31,18,180855,0.174,29680,7246.48
8,7,1,181153,0.0,5574,2132.529
8,7,9,181205,8.361,3550,319.919
3,1,2,181561,0.135,87,0.507
8,7,15,181785,41.224,298,95.747
8,7,11,182489,11.395,207,159.622
8,7,11,182698,11.395,207,159.622
5,3,21,182920,0.172,2021,392.28
8,7,4,183332,0.0,1712,113.389
3,1,13,183637,18.125,1343,48.144
8,7,8,183883,2.201,2492,107.62
11,17,2,183924,2.303,1476,8.622
3,1,14,183973,1.713,24,12.765
8,7,10,185039,75.715,2106,308.554
8,7,19,185466,17.222,785,60.906
3,1,4,186571,0.0,245,16.198
8,7,15,187460,41.224,298,95.747
8,7,8,188025,2.201,2492,107.62
3,1,6,188468,0.0,9,3.919
15,59,13,188706,1069.398,79260,2840.471
8,7,2,189300,0.948,608,3.55
3,1,16,189541,8.057,130,23.142
3,1,4,189636,0.0,245,16.198
8,7,13,190365,126.878,9404,337.005
3,1,4,190518,0.0,245,16.198
3,1,7,191281,0.572,144,38.813
8,7,12,191796,0.0,260,29.842
16,85,18,193048,0.479,101256,19869.88
8,7,2,194408,0.948,608,3.55
8,7,7,194417,4.006,1004,271.691
8,7,11,194922,11.395,207,159.622
3,1,9,194952,1.194,507,45.703
3,1,1,195017,0.0,796,304.647
8,7,1,195132,0.0,5574,2132.529
8,7,6,195248,0.0,64,27.436
5,3,12,198863,0.0,112,12.789
8,7,18,199042,0.039,6702,1636.302
8,7,11,200630,11.395,207,159.622
8,7,11,201328,11.395,207,159.622
8,7,3,201915,1.602,1590,914.741
8,7,14,203361,11.989,170,89.356
8,7,5,203740,7.471,1652,209.123
8,7,13,205812,126.878,9404,337.005
8,7,8,206113,2.201,2492,107.62
5,3,9,207528,3.583,1521,137.108
2,1,18,208338,0.006,957,233.757
5,3,12,210682,0.0,112,12.789
9,10,4,212523,0.0,2446,161.985
15,59,1,215607,0.003,46980,17974.17
8,7,5,216646,7.471,1652,209.123
8,7,3,217185,1.602,1590,914.741
8,7,15,217512,41.224,298,95.747
15,59,5,219354,62.969,13920,1762.612
8,7,2,220138,0.948,608,3.55
11,17,10,220379,183.878,5114,749.344
3,1,5,220403,1.067,236,29.875
8,7,22,220423,14.383,530,151.556
8,7,6,220571,0.0,64,27.436
8,7,7,220664,4.006,1004,271.691
15,59,13,220998,1069.398,79260,2840.471
16,85,12,221101,0.0,8850,357.007
8,7,2,222315,0.948,608,3.55
8,7,20,222339,5.657,293,18.97
8,7,1,222759,0.0,5574,2132.529
8,7,8,222879,2.201,2492,107.62
8,7,6,223635,0.0,64,27.436
8,7,18,223683,0.039,6702,1636.302
8,7,18,223770,0.039,6702,1636.302
2,1,19,224391,2.46,112,8.701
8,7,19,226430,17.222,785,60.906
8,7,11,226952,11.395,207,159.622
8,7,15,228714,41.224,298,95.747
8,7,1,228880,0.0,5574,2132.529
5,3,4,229048,0.0,734,48.595
19,356,3,229789,81.448,153445,41688.428
13,31,7,231054,17.743,4452,1203.205
8,7,11,231972,11.395,207,159.622
3,1,22,232530,2.055,76,21.651
8,7,19,232660,17.222,785,60.906
3,1,21,233074,0.057,674,130.76
5,3,2,233273,0.406,261,1.522
3,1,19,233337,2.46,112,8.701
8,7,14,233523,11.989,170,89.356
8,7,16,234392,56.402,911,161.991
8,7,21,235165,0.402,4716,915.321
8,7,9,235782,8.361,3550,319.919
8,7,15,237718,41.224,298,95.747
8,7,14,237916,11.989,170,89.356
3,1,10,241642,10.816,301,44.079
8,7,15,241965,41.224,298,95.747
8,7,14,242356,11.989,170,89.356
3,1,15,244121,5.889,43,13.678
15,59,14,244193,101.051,1430,753.146
8,7,16,245265,56.402,911,161.991
13,31,20,245449,25.053,1298,84.011
8,7,3,246370,1.602,1590,914.741
5,3,14,246750,5.138,73,38.296
13,31,10,247729,335.308,9326,1366.452
8,7,2,249570,0.948,608,3.55
8,7,12,250882,0.0,260,29.842
5,3,15,250965,17.668,128,41.034
8,7,5,252360,7.471,1652,209.123
2,1,22,252712,2.055,76,21.651
3,1,14,253705,1.713,24,12.765
8,7,1,254155,0.0,5574,2132.529
11,17,21,254924,0.977,11453,2222.922
3,1,18,255297,0.006,957,233.757
15,59,9,255968,70.471,29920,2696.462
3,1,11,257487,1.628,30,22.803
8,7,2,259668,0.948,608,3.55
8,7,6,259707,0.0,64,27.436
5,3,19,259988,7.381,337,26.103
8,7,18,260747,0.039,6702,1636.302
8,7,7,262339,4.006,1004,271.691
8,7,14,262695,11.989,170,89.356
8,7,18,263201,0.039,6702,1636.302
5,3,18,263508,0.017,2872,701.272
8,7,3,265035,1.602,1590,914.741
15,59,6,265840,0.0,540,231.25
5,3,6,265950,0.0,27,11.758
3,1,22,267496,2.055,76,21.651
5,3,21,267582,0.172,2021,392.28
5,3,15,267590,17.668,128,41.034
8,7,4,267688,0.0,1712,113.389
8,7,5,267762,7.471,1652,209.123
15,59,15,271018,347.462,2513,807.007
8,7,4,271894,0.0,1712,113.389
8,7,14,273500,11.989,170,89.356
13,31,6,274398,0.0,284,121.504
5,3,9,274562,3.583,1521,137.108
3,1,6,278119,0.0,9,3.919
8,7,10,279129,75.715,2106,308.554
8,7,8,281064,2.201,2492,107.62
13,31,18,282057,0.174,29680,7246.48
8,7,10,284258,75.715,2106,308.554
19,356,21,285665,25.233,323795,74617.533
3,1,1,285953,0.0,796,304.647
8,7,22,286226,14.383,530,151.556
5,3,3,288204,0.687,681,392.032
8,7,11,289872,11.395,207,159.622
8,7,19,289906,17.222,785,60.906
15,59,2,290269,7.994,5124,29.924
13,31,18,290390,0.174,29680,7246.48
13,31,5,290408,33.085,7314,926.118
15,59,12,290537,0.0,2195,251.523
3,1,19,291104,2.46,112,8.701
8,7,10,291681,75.715,2106,308.554
5,3,15,291798,17.668,128,41.034
8,7,11,292365,11.395,207,159.622
5,3,9,293796,3.583,1521,137.108
15,59,10,293961,638.166,17750,2600.666
13,31,4,294048,0.001,7583,502.152
3,1,19,294120,2.46,112,8.701
8,7,1,294137,0.0,5574,2132.529
8,7,2,294451,0.948,608,3.55
8,7,15,295515,41.224,298,95.747
8,7,14,295902,11.989,170,89.356
3,1,13,297492,18.125,1343,48.144
5,3,11,297620,4.884,89,68.41
8,7,21,297844,0.402,4716,915.321
8,7,14,297967,11.989,170,89.356
8,7,3,299675,1.602,1590,914.741
5,3,7,299714,1.717,431,116.439
8,7,14,300695,11.989,170,89.356
10,13,12,301829,0.0,484,55.42
8,7,14,302095,11.989,170,89.356
8,7,9,302596,8.361,3550,319.919
2,1,21,302912,0.057,674,130.76
8,7,8,302975,2.201,2492,107.62
8,7,9,304606,8.361,3550,319.919
8,7,19,304612,17.222,785,60.906
8,7,20,304676,5.657,293,18.97
8,7,16,305023,56.402,911,161.991
8,7,11,305756,11.395,207,159.622
8,7,1,306505,0.0,5574,2132.529
8,7,22,308254,14.383,530,151.556
3,1,5,308692,1.067,236,29.875
8,7,9,309424,8.361,3550,319.919
8,7,14,309464,11.989,170,89.356
9,10,5,310077,10.673,2359,298.748
8,7,7,311065,4.006,1004,271.691
8,7,18,311203,0.039,6702,1636.302
5,3,9,311459,3.583,1521,137.108
8,7,4,311513,0.0,1712,113.389
8,7,14,311886,11.989,170,89.356
8,7,4,313168,0.0,1712,113.389
19,356,3,313850,81.448,153445,41688.428
8,7,15,314359,41.224,298,95.747
3,1,4,316809,0.0,245,16.198
8,7,1,316985,0.0,5574,2132.529
8,7,2,317084,0.948,608,3.55
3,1,13,317272,18.125,1343,48.144
