query_duration,query_stream_id,query_id,data_scanned,cpu_time
8.634,15,10,2314.24,5611490
28.255,19,18,10874.88,73222080
7.461,8,3,274.96,784350
3.342,8,12,231.89,449400
6.15,11,10,652.68,1616870
7.307,3,20,53.74,46310
2.271,5,1,110.61,448680
4.694,13,12,1034.24,1990200
4.951,13,11,266.54,487320
4.874,16,22,632.09,1684700
7.344,8,22,46.48,138740
3.158,3,4,24.68,58190
33.896,19,17,14837.76,15105080
5.447,5,20,142.84,138930
4.479,3,11,12.18,15720
4.73,3,2,10.0,55150
7.018,15,12,1986.56,3787800
4.253,8,20,358.53,324170
4.272,3,17,45.17,42430
6.101,3,9,71.45,127850
4.067,5,13,58.1,438060
3.902,13,14,1433.66,899000
6.276,5,9,200.62,383550
4.769,13,15,2662.4,1438090
6.728,3,20,53.74,46310
4.534,8,13,137.23,1022140
3.241,2,3,38.94,112050
9.613,15,3,2375.68,6610950
4.122,8,3,274.96,784350
3.906,8,17,266.05,297010
6.366,3,7,47.45,61090
6.226,8,21,680.89,791980
6.577,3,20,53.74,46310
5.573,16,22,632.09,1684700
3.62,8,22,46.48,138740
6.786,8,11,89.68,110040
4.694,13,19,1413.12,1598980
24.632,19,18,10874.88,73222080
4.322,13,3,1239.04,3473550
9.003,11,9,1280.0,2173450
5.631,13,6,1021.14,542190
6.181,8,7,373.81,427630
6.163,5,11,42.57,47160
3.922,15,19,2744.32,3043220
8.591,19,4,8806.4,20715640
4.522,8,14,313.68,203000
5.285,8,7,373.81,427630
6.525,5,21,263.47,339420
4.727,5,16,11.25,98370
4.847,8,16,22.34,229530
7.312,8,8,441.41,472360
3.246,3,1,36.89,149560
5.41,3,7,47.45,61090
3.69,13,16,35.82,1016490
3.255,2,1,36.89,149560
6.927,13,20,1505.28,1435610
4.006,8,13,137.23,1022140
2.651,3,14,52.0,29000
5.31,8,20,358.53,324170
3.075,8,13,137.23,1022140
4.823,8,5,328.42,46333
4.567,3,1,36.89,149560
4.39,8,14,313.68,203000
4.662,8,12,231.89,449400
3.7,8,13,137.23,1022140
4.78,8,15,630.71,324730
4.131,3,19,51.4,51580
3.379,8,14,313.68,203000
5.107,8,1,258.01,1046920
5.688,8,3,274.96,784350
5.131,8,16,22.34,229530
5.824,8,7,373.81,427630
5.235,8,17,266.05,297010
7.642,8,3,274.96,784350
4.329,8,22,46.48,138740
5.106,11,19,764.9,876860
7.685,8,8,441.41,472360
5.875,8,5,328.42,46333
2.491,3,15,79.18,46390
3.226,3,12,33.19,64200
3.825,3,12,33.19,64200
7.35,8,2,79.16,386050
2.798,8,4,171.69,407330
4.945,13,13,623.2,4526620
3.631,8,14,313.68,203000
3.423,8,4,171.69,407330
6.27,2,8,64.36,67480
4.027,8,13,137.23,1022140
5.444,3,2,10.0,55150
4.481,8,16,22.34,229530
29.336,19,18,10874.88,73222080
7.203,5,8,175.68,202440
3.776,3,13,18.72,146020
3.292,8,14,313.68,203000
28.922,19,9,25948.16,45514600
4.507,13,14,1433.66,899000
7.112,16,12,2856.96,5457000
7.219,8,21,680.89,791980
6.805,5,7,150.19,183270
7.02,8,9,492.09,894950
6.426,13,2,220.36,1709650
5.907,8,22,46.48,138740
3.616,8,6,230.65,122430
24.372,19,18,10874.88,73222080
4.356,8,13,137.23,1022140
4.007,8,1,258.01,1046920
9.664,8,20,358.53,324170
3.836,13,16,35.82,1016490
7.029,8,8,441.41,472360
5.443,8,7,373.81,427630
2.976,8,6,230.65,122430
6.904,15,10,2314.24,5611490
3.587,8,22,46.48,138740
5.629,15,15,5140.48,2737010
3.521,3,14,52.0,29000
3.436,3,6,32.98,17490
4.175,8,19,309.56,361060
4.929,8,7,373.81,427630
5.778,8,2,79.16,386050
5.389,8,16,22.34,229530
7.036,8,21,680.89,791980
3.227,8,22,46.48,138740
2.91,3,1,36.89,149560
8.092,8,7,373.81,427630
4.291,3,13,18.72,146020
4.234,8,19,309.56,361060
7.294,8,21,680.89,791980
34.272,19,9,25948.16,45514600
4.163,8,15,630.71,324730
5.161,5,2,39.35,165450
5.989,5,10,113.55,285330
6.117,8,5,328.42,46333
6.628,8,5,328.42,46333
9.34,15,10,2314.24,5611490
6.668,9,11,142.86,157200
9.852,16,7,4552.35,5192650
6.332,3,2,10.0,55150
4.384,3,17,45.17,42430
5.262,8,12,231.89,449400
3.895,8,22,46.48,138740
6.717,8,11,89.68,110040
8.72,8,9,492.09,894950
3.755,3,22,6.29,19820
4.602,8,16,22.34,229530
4.1,8,19,309.56,361060
6.89,13,10,1208.32,2948410
6.036,2,8,64.36,67480
7.037,11,21,1873.92,1923380
4.755,13,19,1413.12,1598980
4.099,3,11,12.18,15720
4.366,8,14,313.68,203000
7.698,8,5,328.42,46333
6.324,13,20,1505.28,1435610
5.79,8,19,309.56,361060
4.74,3,2,10.0,55150
5.391,8,9,492.09,894950
7.832,8,2,79.16,386050
6.223,15,15,5140.48,2737010
5.625,8,7,373.81,427630
