query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
13,12,1759847371630,4231,16244,16994,0
13,17,1759847371126,3727,17254,17988,0
13,19,1759847384502,17103,4028,4796,0
13,1,1759847370216,2817,18876,19681,1
13,12,1759847377836,10437,1400,12170,0
13,12,1759847389370,21971,863,864,0
13,4,1759847383850,16451,5927,6692,0
13,2,1759847386823,19424,4149,4882,0
13,18,1759847378200,10801,5778,16492,0
13,3,1759847394630,27231,1571,1572,0
13,10,1759847394632,27233,3907,3908,0
13,2,1759847412171,44772,704,1482,0
13,11,1759847415973,48574,4030,4031,0
13,4,1759847429919,62520,393,394,1
13,22,1759847438649,71250,1198,1198,0
13,1,1759847440165,72766,535,536,1
13,10,1759847443621,76222,510,511,0
13,10,1759847446288,78889,527,1245,0
13,2,1759847446559,79160,280,1024,1
13,8,1759847446002,78603,1298,2123,0
13,20,1759847445706,78307,3654,3655,0
13,6,1759847453628,86229,162,163,1
13,20,1759847452971,85572,1014,1016,0
13,12,1759847458083,90684,243,244,0
13,14,1759847463509,96110,364,364,0
13,20,1759847463753,96354,1093,1094,0
13,9,1759847463777,96378,1084,1812,0
13,14,1759847469941,102542,212,213,0
13,20,1759847470320,102921,987,988,0
13,2,1759847471323,103924,263,263,0
13,8,1759847473656,106257,381,381,0
13,3,1759847479867,112468,487,488,0
13,2,1759847480273,112874,277,1049,0
13,8,1759847482127,114728,384,384,0
13,11,1759847484250,116851,242,242,0
13,2,1759847484656,117257,493,493,0
13,18,1759847484439,117040,1351,1352,0
13,15,1759847487003,119604,1024,1024,0
13,19,1759847489017,121618,305,305,0
13,14,1759847490047,122648,209,210,0
13,1,1759847490567,123168,525,525,0
13,1,1759847498797,131398,522,522,0
13,20,1759847503855,136456,951,951,0
13,19,1759847504968,137569,271,272,0
13,11,1759847504354,136955,244,961,1
13,9,1759847505064,137665,912,1630,0
13,16,1759847504653,137254,3239,3967,0
13,18,1759847507963,140564,1319,1321,2
13,11,1759847509474,142075,224,225,0
13,10,1759847510453,143054,531,532,0
13,22,1759847510458,143059,602,602,0
13,2,1759847511152,143753,263,264,0
13,20,1759847511282,143883,1041,1041,0
13,22,1759847514850,147451,448,449,1
13,10,1759847515545,148146,499,499,0
13,11,1759847516082,148683,226,226,0
13,9,1759847516721,149322,823,823,0
13,10,1759847518717,151318,493,493,0
13,17,1759847519427,152028,291,291,0
13,6,1759847522079,154680,171,946,0
13,3,1759847522047,154648,497,1285,0
13,16,1759847521397,153998,2294,2295,0
13,15,1759847524530,157131,799,799,0
13,18,1759847525039,157640,1280,1280,0
13,16,1759847529056,161657,2154,2155,0
13,14,1759847533849,166450,209,209,0
13,16,1759847534235,166836,2576,2577,0
13,6,1759847535945,168546,164,890,0
13,9,1759847536867,169468,759,759,0
13,22,1759847536568,169169,519,1284,0
13,23,1759847538118,170719,0,0,0
13,22,1759847539049,171650,446,447,0
13,4,1759847542949,175550,375,375,0
13,15,1759847547103,179704,571,571,0
13,11,1759847549092,181693,230,230,0
13,4,1759847549368,181969,451,451,0
13,2,1759847552429,185030,255,256,0
13,18,1759847553289,185890,1256,1256,0
13,10,1759847554059,186660,524,1269,0
13,20,1759847554719,187320,1082,1083,1
13,17,1759847557223,189824,287,287,0
13,10,1759847560364,192965,481,482,0
13,14,1759847561539,194140,332,333,0
13,14,1759847564141,196742,424,425,0
13,17,1759847565215,197816,285,285,0
13,9,1759847567761,200362,1013,1013,0
13,18,1759847568661,201262,1186,1898,0
13,18,1759847574561,207162,1186,1186,0
13,15,1759847576224,208825,562,563,1
13,16,1759847575965,208566,2360,2361,0
13,17,1759847578249,210850,286,286,0
13,22,1759847578774,211375,440,440,0
13,17,1759847579271,211872,288,288,0
13,20,1759847583275,215876,1001,1002,1
13,9,1759847588818,221419,720,721,1
13,18,1759847589250,221851,1196,1962,0
13,16,1759847591956,224557,2832,2833,0
13,11,1759847596503,229104,220,220,0
13,15,1759847601589,234190,706,707,0
13,6,1759847603006,235607,159,159,0
13,11,1759847604265,236866,227,970,0
13,16,1759847604018,236619,2614,2615,0
