query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,2,1758727636015,100002,671,1846,2
17,2,1758727636301,100288,1050,2281,0
17,23,1758727643392,107379,0,0,0
17,23,1758727650755,114742,0,0,0
17,3,1758727636225,100212,13509,14640,1
17,3,1758727636323,100310,13324,14542,1
17,8,1758727636533,100520,14041,15386,18
17,8,1758727636272,100259,14361,15630,1
17,2,1758727636621,100608,1038,15280,0
17,23,1758727653613,117600,0,0,0
17,23,1758727655119,119106,0,0,0
17,20,1758727636284,100271,17802,18872,1
17,4,1758727636444,100431,18741,19847,1
17,23,1758727656679,120666,0,1,1
17,23,1758727660504,124491,0,0,0
17,23,1758727660803,124790,0,0,0
17,1,1758727636018,100005,27565,28818,3
17,3,1758727637566,101553,13057,27392,0
17,1,1758727636586,100573,26610,28608,1
17,9,1758727636119,100106,31372,32446,1
17,20,1758727637481,101468,17697,32117,0
17,3,1758727637663,101650,14641,33268,0
17,16,1758727637655,101642,16819,34320,0
17,23,1758727675456,139443,0,1,1
17,1,1758727637134,101121,26420,41186,0
17,3,1758727638510,102497,13128,39811,0
17,1,1758727636744,100731,27598,41718,0
17,4,1758727637693,101680,15426,42567,0
17,18,1758727636228,100215,46475,47563,1
17,10,1758727637757,101744,20749,47951,1
17,4,1758727638792,102779,14987,47127,0
17,22,1758727639072,103059,14485,47388,1
17,4,1758727638724,102711,17359,48234,0
17,14,1758727639948,103935,5384,49225,0
17,14,1758727640215,104202,4278,49984,2
17,14,1758727640572,104559,4440,53043,1
17,8,1758727639589,103576,15830,54704,0
17,8,1758727639161,103148,16178,55337,0
17,19,1758727640001,103988,10520,56227,0
17,6,1758727640832,104819,2902,55684,0
17,16,1758727639212,103199,18906,58015,0
17,1,1758727638720,102707,28777,58620,0
17,15,1758727641102,105089,4289,57686,0
17,2,1758727642261,106248,924,57452,0
17,22,1758727640250,104237,13254,59463,0
17,19,1758727640573,104560,9696,59320,0
17,14,1758727641388,105375,3666,58507,1
17,20,1758727640354,104341,15711,62316,1
17,12,1758727642233,106220,5537,60644,0
17,12,1758727643537,107524,4844,61200,0
17,12,1758727642968,106955,5434,62181,1
17,23,1758727705573,169560,0,0,0
17,3,1758727640921,104908,11468,64841,0
17,15,1758727644505,108492,5868,61257,0
17,3,1758727641402,105389,11089,66203,0
17,23,1758727708076,172063,0,1,0
17,23,1758727709432,173419,0,1,0
17,11,1758727644588,108575,6980,65269,0
17,17,1758727642742,106729,10760,67730,0
