query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
0,3,9,8718,9671,38.94,112050.0
2,3,2624,6558,7344,38.94,112050.0
3,11,5540,6781,7649,12.18,15720.0
3,10,6554,9300,10175,37.8,95110.0
5,13,7301,4579,5397,58.1,438060.0
3,11,8440,3886,4743,12.18,15720.0
8,12,10078,9627,10640,231.89,449400.0
2,11,10557,2622,2624,12.18,15720.0
3,9,11263,10599,12519,71.45,127850.0
3,6,11345,3164,5007,32.98,17490.0
3,12,12838,4604,8118,33.19,64200.0
3,14,13024,6137,9842,52.0,29000.0
10,10,13280,6986,7841,497.0,1236430.0
13,7,13346,20858,21671,1616.34,1893790.0
5,18,15135,14183,14184,83.54,617040.0
3,10,16051,239,5144,37.8,95110.0
3,19,16122,6259,11332,51.4,51580.0
13,18,19636,9268,9685,862.73,6376080.0
8,2,19974,16510,17363,79.16,386050.0
3,12,20253,248,2862,33.19,64200.0
3,22,21954,23806,24966,6.29,19820.0
19,5,22012,38223,38606,17448.96,2356364.0
3,22,22638,23145,24289,6.29,19820.0
3,14,22987,3797,8265,52.0,29000.0
3,16,23242,10329,18341,3.42,32790.0
8,8,23671,17878,17880,441.41,472360.0
8,9,23786,16968,17346,492.09,894950.0
3,9,24008,119,17692,71.45,127850.0
8,13,25381,887,12843,137.23,1022140.0
11,13,27028,1746,2559,340.48,2482340.0
13,1,27158,9301,9978,1146.88,4636360.0
8,11,28321,13637,23540,89.68,110040.0
8,4,29784,9504,20853,171.69,407330.0
8,10,29840,4337,16048,266.13,665770.0
8,17,29907,16037,32017,266.05,297010.0
8,23,30206,0,1,0.0,
8,3,31094,5072,24615,274.96,784350.0
8,10,31184,118,20796,266.13,665770.0
16,8,31911,27307,27687,5570.56,5735800.0
8,20,32643,17379,36715,358.53,324170.0
15,18,37196,9060,9843,1638.4,12135120.0
8,15,37578,9056,27187,630.71,324730.0
8,11,42582,849,20192,89.68,110040.0
5,6,44135,4779,5552,98.91,52470.0
3,6,44165,220,221,32.98,17490.0
9,21,44402,7201,7995,1034.24,1131400.0
3,6,44800,171,172,32.98,17490.0
3,14,45076,263,264,52.0,29000.0
