Database ID,query_id,start,CPU Time,Data Scanned,Start Timestamp,End Timestamp,Queueing Delay,I/O Time,CPU Latency,query_duration,query_duration_with_queue
0,3,9,896.4,0.0,1000,2000,991,1.007788,0.8964,1.904188,1.904188
8,12,386,595.1999999999998,0.0,1000,6000,614,1.046378,3.5951999999999997,4.641578,5.0
10,10,2328,891.4400000000005,0.0,2328,13000,0,0.7217,9.891440000000001,10.613140000000001,10.672
5,13,3035,504.48,0.0,3035,7000,0,0.97081,3.50448,4.47529,4.47529
3,11,5287,125.76,0.0,5287,6000,0,0.714218,0.12576,0.839978,0.839978
13,18,6807,8.639999999999418,0.0,6807,60000,0,0.279273,51.00864,51.287913,53.193
3,9,8110,22.799999999999955,0.0,8110,10000,0,0.897145,1.0228,1.9199449999999998,1.9199449999999998
3,12,9685,513.6,0.0,9685,11000,0,0.318319,0.5136000000000001,0.8319190000000001,1.315
8,2,10281,88.40000000000009,0.0,10281,15000,0,0.726916,3.0884,3.815316,4.719
3,10,12898,760.88,0.0,12898,13000,0,0.10578,0.76088,0.86666,0.86666
8,8,13979,778.8800000000001,0.0,13979,18000,0,0.065141,3.77888,3.844021,4.021
13,1,14330,90.87999999999738,0.0,14330,53000,0,0.784688,37.09088,37.875568,38.67
8,13,15689,177.1199999999999,0.0,15689,24000,0,0.324723,8.17712,8.501843000000001,8.501843000000001
16,8,17239,886.4000000000015,0.0,17239,66000,0,1.318056,45.8864,47.204456,48.761
3,22,18801,158.56,0.0,18801,19000,0,0.199629,0.15856,0.358189,0.358189
3,14,19834,232.0,0.0,19834,20000,0,0.17120000000000002,0.232,0.4032,0.4032
8,4,20092,258.6399999999999,0.0,20092,25000,0,0.942338,3.2586399999999998,4.200978,4.908
8,17,20215,376.0799999999999,0.0,20215,23000,0,0.83821,2.37608,3.21429,3.21429
8,3,21401,274.8000000000002,0.0,21401,29000,0,0.6264959999999999,6.2748,6.901296,7.599
8,20,22950,593.3600000000001,0.0,22950,25000,0,0.085853,2.59336,2.6792130000000003,2.6792130000000003
8,15,27885,597.8400000000001,0.0,27885,31000,0,0.178071,2.59784,2.7759110000000002,3.115
8,11,32890,880.32,0.0,32890,33000,0,0.118968,0.8803200000000001,0.9992880000000001,0.9992880000000001
8,8,36235,778.8800000000001,0.0,36235,40000,0,0.809141,3.77888,4.588021,4.588021
8,2,37427,88.40000000000009,0.0,37427,42000,0,0.580916,3.0884,3.6693160000000002,4.573
5,6,39869,419.76,-1.4210854715202004e-14,39869,40000,0,0.14089100000000002,0.41975999999999997,0.560651,0.560651
3,6,41647,139.92,0.0,41647,43000,0,0.356298,0.13992,0.496218,1.353
8,8,42815,778.8800000000001,0.0,42815,47000,0,0.22914099999999998,3.77888,4.008021,4.185
3,21,44198,905.12,0.0,44198,45000,0,0.8100860000000001,0.90512,1.7152060000000002,1.7152060000000002
8,21,45624,335.84000000000015,0.0,45624,53000,0,0.444089,6.33584,6.779929,7.376
3,16,46985,262.32,-4.440892098500626e-16,46985,47000,0,0.015342,0.26232,0.277662,0.277662
15,20,49412,858.3199999999997,0.0,49412,73000,0,0.8829119999999999,21.85832,22.741232,23.588
3,17,50113,339.44,0.0,50113,51000,0,0.891517,0.33944,1.230957,1.230957
13,14,51822,192.0,-2.2737367544323206e-13,51822,59000,0,0.32136600000000004,7.192,7.513366,7.513366
16,20,53304,490.7999999999993,0.0,53304,83000,0,1.125056,27.4908,28.615856,29.696
3,2,55540,441.2,0.0,55540,56000,0,0.462,0.4412,0.9032,0.9032
3,18,55980,645.44,0.0,55980,58000,0,0.025320000000000002,1.64544,1.67076,2.02
2,6,59924,139.92,0.0,59924,60000,0,0.079298,0.13992,0.21921799999999997,0.21921799999999997
3,15,65004,371.12,-1.4210854715202004e-14,65004,66000,0,1.003918,0.37112,1.375038,1.375038
3,12,71392,513.6,0.0,71392,72000,0,0.611319,0.5136000000000001,1.124919,1.124919
3,2,73257,441.2,0.0,73257,75000,0,0.745,0.4412,1.1862,1.743
8,5,73280,370.664,0.0,73280,74000,0,0.7856839999999999,0.370664,1.156348,1.156348
13,18,73852,8.639999999999418,0.0,74000,128000,148,1.172546,51.00864,52.181186,54.0
8,10,74833,326.15999999999985,0.0,74833,80000,0,0.220226,4.32616,4.546386,5.167
8,3,75361,274.8000000000002,0.0,75361,82000,0,0.666496,6.2748,6.9412959999999995,6.9412959999999995
3,4,77086,465.52,0.0,77086,78000,0,0.921404,0.46552,1.386924,1.386924
5,12,77651,540.8,0.0,77651,80000,0,0.37885599999999997,1.5408,1.9196559999999998,2.349
19,5,77978,850.9120000000003,0.0,77978,100000,0,3.6002293333333335,18.850912,22.451141333333336,22.451141333333336
3,18,78398,645.44,0.0,78398,83000,0,0.60998,1.64544,2.25542,4.602
5,11,78966,377.28,0.0,78966,79000,0,0.046771,0.37727999999999995,0.42405099999999996,0.42405099999999996
3,14,81388,232.0,0.0,81388,82000,0,0.6172,0.232,0.8492,0.8492
8,11,82985,880.32,0.0,82985,83000,0,0.023968,0.8803200000000001,0.9042880000000001,0.9042880000000001
3,22,87474,158.56,0.0,87474,88000,0,0.526629,0.15856,0.685189,0.685189
16,14,92247,720.0,0.0,92247,113000,0,1.15236,19.72,20.87236,20.87236
8,19,93301,888.48,0.0,93301,96000,0,0.7299559999999999,2.88848,3.618436,3.618436
15,6,95879,255.28000000000065,0.0,95879,105000,0,0.31555999999999995,8.25528,8.57084,9.121
8,17,98842,376.0799999999999,0.0,98842,101000,0,0.184605,2.37608,2.560685,2.560685
8,8,107016,778.8800000000001,0.0,107016,112000,0,1.072282,3.77888,4.851162,4.984
8,15,107477,597.8400000000001,0.0,107477,110000,0,0.649142,2.59784,3.246982,3.246982
3,13,111203,168.16000000000008,0.0,111203,115000,0,0.800744,1.16816,1.9689040000000002,3.797
8,2,111890,88.40000000000009,0.0,111890,116000,0,0.125832,3.0884,3.214232,4.11
15,19,113432,345.7599999999984,0.0,113432,140000,0,0.842432,24.34576,25.188191999999997,26.568
8,19,114587,888.48,0.0,114587,117000,0,0.44395599999999996,2.88848,3.332436,3.332436
15,22,116075,355.0400000000009,0.0,116075,127000,0,1.0100120000000001,9.35504,10.365052,10.925
5,9,116393,68.40000000000009,0.0,116393,121000,0,0.647124,3.0684,3.7155240000000003,4.607
8,14,118540,624.0,0.0,118540,120000,0,0.491368,1.624,2.115368,2.115368
3,19,119883,412.64,0.0,119883,121000,0,0.12214000000000001,0.41264,0.53478,1.117
8,12,122101,595.1999999999998,0.0,122101,126000,0,0.922189,3.5951999999999997,4.517389,4.517389
13,20,124942,484.8799999999992,0.0,124942,138000,0,0.208528,11.484879999999999,11.693407999999998,13.058
8,15,126195,597.8400000000001,0.0,126195,129000,0,0.868071,2.59784,3.465911,3.465911
8,8,128187,778.8800000000001,0.0,128187,133000,0,0.8571409999999999,3.77888,4.6360209999999995,4.813
8,1,131013,375.3600000000006,0.0,131013,143000,0,1.012801,8.37536,9.388161,11.987
3,6,132213,139.92,0.0,132213,133000,0,0.7902980000000001,0.13992,0.930218,0.930218
8,5,134611,370.664,0.0,134611,135000,0,0.421842,0.370664,0.7925059999999999,0.7925059999999999
11,20,138131,298.15999999999985,-1.1368683772161603e-13,138131,146000,0,0.964292,6.29816,7.262452000000001,7.869
