query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
0,17,1750710446245,1680603,254,959,0
0,12,1750710460974,1695332,207,906,0
0,12,1750710498599,1732957,394,1588,0
0,18,1750710532039,1766397,277,1106,0
0,4,1750710566936,1801294,4273,4973,0
0,19,1750710605947,1840305,238,1406,0
0,2,1750710652961,1887319,687,1868,1
0,12,1750710690452,1924810,197,888,0
0,3,1750708765651,9,221,977,0
0,10,1750711285656,2520014,265,990,1
0,2,1750711329398,2563756,510,1288,1
0,4,1750711366777,2601135,4578,5630,1
0,11,1750711382731,2617089,1198,2466,1
0,1,1750711971602,3205960,595,1630,1
0,22,1750712006959,3241317,796,1489,1
0,1,1750712060819,3295177,384,1593,1
1,10,1750710940521,2167736,527,1281,2
1,20,1750710995151,2222366,748,1950,2
1,13,1750711008532,2235747,397,1669,1
1,1,1750711047181,2274396,207,866,1
1,22,1750711083890,2311105,413,1747,1
1,2,1750711125648,2352863,615,1313,1
1,6,1750711182211,2409426,554,1299,2
1,6,1750711198686,2425901,142,892,1
1,12,1750711241159,2468374,526,1258,1
1,14,1750711289421,2516636,266,970,0
1,20,1750711295871,2523086,511,512,0
1,9,1750711329097,2556312,563,1403,0
1,14,1750711370746,2597961,255,1485,0
1,20,1750711405576,2632791,560,1321,0
1,2,1750711449479,2676694,580,1258,0
1,8,1750711502301,2729516,604,1769,1
1,3,1750711515354,2742569,288,969,0
1,2,1750711549919,2777134,2261,3217,0
1,8,1750711604241,2831456,1026,1728,1
1,5,1750711643645,2870860,421,1491,0
2,3,1750708774570,20,220,1470,0
2,11,1750708782503,7953,298,298,0
2,14,1750708819865,45315,368,1576,0
2,6,1750708834474,59924,193,1115,0
2,18,1750708867829,93279,966,2051,1
2,10,1750708914639,140089,245,938,0
2,15,1750708936685,162135,381,1302,0
2,18,1750708982889,208339,400,1719,1
2,19,1750708998941,224391,203,1432,0
2,22,1750709027262,252712,379,1498,0
2,21,1750709077462,302912,625,1761,0
2,6,1750709100208,325658,137,824,0
2,10,1750709131370,356820,516,1224,0
2,11,1750709145156,370606,449,1162,0
2,5,1750709186731,412181,608,1305,0
2,5,1750709207593,433043,458,1640,0
2,21,1750709266505,491955,1374,2273,0
2,5,1750709280633,506083,334,1048,0
2,17,1750709318006,543456,373,1525,0
2,14,1750709353718,579168,204,898,0
2,16,1750709361370,586820,2761,2762,0
2,22,1750709396739,622189,1014,1738,0
2,9,1750709402655,628105,1034,1035,0
2,6,1750709420420,645870,203,1331,0
2,23,1750709447319,672769,0,0,0
2,22,1750709476976,702426,751,1967,0
2,4,1750709499779,725229,386,1073,0
2,15,1750709540800,766250,376,1493,0
2,11,1750709569943,795393,388,1500,0
2,4,1750709608011,833461,902,1628,1
2,2,1750709663143,888593,327,1436,0
2,21,1750709691606,917056,910,2079,0
2,23,1750709719175,944625,0,0,0
2,3,1750709779342,1004792,379,1664,0
2,5,1750709790793,1016243,317,317,0
2,17,1750709832676,1058126,242,930,1
2,7,1750709880759,1106209,513,1191,0
2,12,1750709909019,1134469,176,878,0
2,23,1750709927446,1152896,0,0,0
2,8,1750709985091,1210541,353,1063,0
2,4,1750709999436,1224886,339,1083,0
2,11,1750710058405,1283855,395,1123,0
2,23,1750710095309,1320759,0,0,0
2,14,1750710134106,1359556,187,889,0
2,13,1750710134319,1359769,216,921,0
2,5,1750710159159,1384609,270,1132,0
2,13,1750710197022,1422472,208,1386,0
2,22,1750710218913,1444363,877,1727,0
2,20,1750710259616,1485066,375,1536,0
2,7,1750710322246,1547696,252,1421,0
2,16,1750710325880,1551330,1163,1163,0
