query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
15,12,1758548944472,5588,16492,17404,1
15,12,1758548952662,13778,11082,11948,0
15,2,1758548964525,25641,8920,8920,0
15,12,1758548967887,29003,13594,13594,0
15,17,1758548943805,4921,39349,40290,1
15,19,1758548961461,22577,22017,23043,0
15,4,1758548960600,21716,30208,31481,0
15,2,1758548997985,59101,1363,1363,0
15,3,1758548974831,35947,26401,26402,0
15,10,1758548974834,35950,25387,26580,1
15,1,1758548942604,3720,59182,60224,1
15,11,1758549003002,64118,5445,5445,0
15,18,1758548953142,14258,57739,58688,0
15,4,1758549021411,82527,7747,7748,0
15,2,1758549043374,104490,1229,2058,0
15,6,1758549052707,113823,4273,5293,1
15,22,1758549032934,94050,30990,30990,0
15,10,1758549039500,100616,25449,26271,1
15,10,1758549043020,104136,21988,22751,1
15,12,1758549058589,119705,11628,11628,0
15,14,1758549065751,126867,4874,4875,0
15,20,1758549042250,103366,27495,28408,0
15,20,1758549051840,112956,18830,18831,0
15,20,1758549066073,127189,10284,10284,0
15,2,1758549076065,137181,495,496,0
15,14,1758549074240,135356,3385,3386,0
15,8,1758549042640,103756,35494,36376,0
15,1,1758549034935,96051,42988,44278,0
15,20,1758549074740,135856,9293,9293,0
15,2,1758549087880,148996,765,766,1
15,8,1758549079145,140261,14843,14843,0
15,2,1758549093664,154780,663,1532,0
15,11,1758549093129,154245,6420,7189,0
15,15,1758549096763,157879,4088,4089,1
15,14,1758549100780,161896,4760,4760,0
15,3,1758549087343,148459,26373,26374,0
15,8,1758549090326,151442,25292,25292,0
15,9,1758549066105,127221,57061,57061,0
15,11,1758549119664,180780,8098,8098,0
15,19,1758549099422,160538,32129,32131,1
15,11,1758549126425,187541,7886,9223,0
15,20,1758549119008,180124,19362,19363,1
15,16,1758549120061,181177,17623,18527,0
15,2,1758549128638,189754,1266,10998,0
15,22,1758549127723,188839,12902,20827,0
15,22,1758549133518,194634,11574,17693,0
15,20,1758549128810,189926,18522,28300,0
15,19,1758549120476,181592,36620,37357,0
15,11,1758549135146,196262,7784,23849,0
15,23,1758549164234,225350,0,0,0
15,1,1758549101466,162582,63591,63592,0
15,10,1758549127717,188833,34318,38152,0
15,16,1758549142164,203280,9527,32421,1
15,6,1758549143063,204179,6139,37660,0
15,17,1758549139562,200678,22693,42125,0
15,10,1758549134439,195555,34242,48353,0
15,15,1758549146299,207415,3045,37469,0
15,1,1758549112330,173446,72263,72264,0
15,14,1758549158599,219715,3898,29067,0
15,16,1758549152272,213388,9325,39845,0
15,6,1758549161367,222483,6042,32342,0
15,10,1758549138625,199741,38658,57866,0
15,16,1758549159109,220225,11998,37483,0
15,18,1758549093379,154495,112495,113243,0
15,15,1758549176094,237210,3186,33713,0
15,3,1758549143022,204138,45349,68198,1
15,11,1758549178722,239838,2640,33727,1
15,22,1758549162188,223304,26259,56188,0
15,9,1758549135990,197106,82678,103799,0
15,2,1758549183124,244240,27533,56857,0
15,22,1758549165462,226578,49422,80451,0
15,18,1758549124426,185542,125910,125911,0
15,20,1758549186146,247262,17730,71565,0
15,9,1758549162584,223700,64716,95842,1
15,14,1758549195151,256267,4605,67166,0
15,14,1758549198584,259700,6042,65883,0
15,17,1758549189452,250568,27342,83803,0
15,23,1758549273789,334905,0,0,0
15,4,1758549170611,231727,81483,107464,0
15,4,1758549179085,240201,69892,102026,0
15,10,1758549185277,246393,41719,96230,0
15,18,1758549146971,208087,102517,137234,0
15,10,1758549193599,254715,34846,91584,0
15,17,1758549200003,261119,33485,95800,1
15,17,1758549217206,278322,11808,78807,0
15,22,1758549217900,279016,12851,80134,0
15,15,1758549214534,275650,17000,83974,1
15,16,1758549214192,275308,17864,84784,0
15,17,1758549218557,279673,7168,84412,0
15,23,1758549304238,365354,0,0,0
15,11,1758549241303,302419,5271,66937,0
15,16,1758549235302,296418,11277,74951,1
15,15,1758549248017,309133,2265,62489,0
15,6,1758549249887,311003,5006,65371,0
15,16,1758549251223,312339,7416,66699,0
15,11,1758549251548,312664,3891,67601,0
15,6,1758549259152,320268,4301,64298,0
15,2,1758549260519,321635,1339,64272,2
15,9,1758549120603,181719,205949,206739,0
15,9,1758549203363,264479,63591,124695,0
15,11,1758549276331,337447,6850,58577,0
15,22,1758549258767,319883,19656,78812,1
15,20,1758549223840,284956,46320,118493,0
15,16,1758549267576,328692,15300,75066,0
15,22,1758549289065,350181,11011,64279,0
15,18,1758549184262,245378,138466,172581,1
15,19,1758549260810,321926,36631,100611,1
15,17,1758549282343,343459,30116,82681,0
15,15,1758549298860,359976,7141,69702,1
15,8,1758549288561,349677,36037,85053,0
15,2,1758549313367,374483,820,61067,0
15,9,1758549231156,292272,83988,150866,0
15,18,1758549212339,273455,111792,177528,0
15,18,1758549204550,265666,116613,185318,0
15,8,1758549295644,356760,40463,98164,0
15,14,1758549321978,383094,4042,71932,0
15,17,1758549301469,362585,31139,94695,1
15,11,1758549319820,380936,7320,77367,0
15,19,1758549306825,367941,31186,92922,0
15,3,1758549317242,378358,28516,85708,0
15,1,1758549295285,356401,61917,109274,0
15,14,1758549346818,407934,5457,61589,0
15,2,1758549352065,413181,1352,57695,0
15,22,1758549345438,406554,10199,64508,0
15,22,1758549361979,423095,8411,56192,0
15,1,1758549297864,358980,63079,122057,0
15,4,1758549318213,379329,38831,102642,1
15,12,1758549347388,408504,18215,75387,0
15,10,1758549324145,385261,29212,98977,0
15,6,1758549375363,436479,4707,52119,0
15,11,1758549373121,434237,7830,54630,0
15,17,1758549327307,388423,32531,101388,0
15,14,1758549376661,437777,4103,54924,1
15,8,1758549332700,393816,38070,102557,0
15,18,1758549231728,292844,136806,203586,0
15,19,1758549368513,429629,28303,69737,0
15,23,1758549439078,500194,0,1,1
15,12,1758549376515,437631,18957,65564,0
15,14,1758549384347,445463,5983,59886,0
15,22,1758549384078,445194,14024,65259,0
15,22,1758549383550,444666,14474,66182,0
15,12,1758549382237,443353,18495,67842,0
15,10,1758549371666,432782,32167,78671,0
15,19,1758549379050,440166,26656,76301,0
15,6,1758549389492,450608,6218,66064,1
15,2,1758549398060,459176,1332,58622,0
15,10,1758549378995,440111,28932,77688,0
15,9,1758549323426,384542,68917,139299,0
15,15,1758549405362,466478,6347,57669,0
15,20,1758549391982,453098,15402,73500,0
15,16,1758549384543,445659,23574,81111,0
15,16,1758549391459,452575,16461,74733,0
15,6,1758549414626,475742,5204,53609,1
15,23,1758549468302,529418,0,1,0
15,14,1758549415329,476445,4307,54461,1
15,2,1758549427307,488423,1176,43657,0
15,20,1758549400646,461762,16274,72310,0
15,12,1758549410291,471407,14823,67257,1
15,17,1758549393873,454989,29581,86046,0
15,14,1758549432884,494000,3394,48059,1
15,22,1758549437058,498174,8500,51362,1
15,23,1758549491468,552584,0,1,1
15,9,1758549375300,436416,71391,116945,1
15,22,1758549444918,506034,6842,50343,1
15,6,1758549447379,508495,4469,49334,0
15,19,1758549416598,477714,32163,81219,1
15,20,1758549443697,504813,17069,54314,0
15,15,1758549451598,512714,2930,46593,1
15,23,1758549498393,559509,0,1,0
15,3,1758549422725,483841,32255,75724,1
15,2,1758549462728,523844,1248,36711,1
15,8,1758549426011,487127,37079,79304,1
15,9,1758549385135,446251,61350,120448,0
15,8,1758549430689,491805,32969,75237,1
15,2,1758549467057,528173,612,38869,1
15,6,1758549471111,532227,3995,38810,1
15,4,1758549429934,491050,39572,80604,1
15,19,1758549454849,515965,22754,65723,1
15,17,1758549464219,525335,22697,56926,0
15,16,1758549471755,532871,18542,52713,1
15,19,1758549452519,513635,32325,76519,0
15,4,1758549472342,533458,36746,74943,1
15,4,1758549469971,531087,42479,78091,0
15,4,1758549471812,532928,38159,76268,1
15,23,1758549549286,610402,0,1,1
15,18,1758549398401,459517,97273,154429,1
15,14,1758549490147,551263,5630,68313,1
15,22,1758549487073,548189,11166,72155,1
15,23,1758549560450,621566,0,1,1
15,9,1758549472800,533916,52328,100100,1
15,19,1758549479155,540271,26331,94461,1
15,22,1758549498422,559538,17582,78389,1
15,11,1758549492416,553532,19106,85151,1
15,6,1758549504795,565911,5271,73374,0
15,10,1758549489124,550240,31148,90105,1
15,4,1758549474784,535900,50924,105178,0
15,14,1758549544135,605251,4404,40233,1
15,1,1758549473880,534996,61247,111835,1
15,1,1758549472889,534005,64599,112856,1
15,15,1758549555170,616286,4622,35198,1
15,19,1758549515458,576574,26881,89594,1
15,19,1758549514101,575217,30047,93512,1
15,10,1758549551289,612405,25685,60112,1
15,19,1758549545120,606236,28775,68021,0
15,14,1758549570672,631788,3369,44098,2
15,6,1758549583022,644138,5029,36777,1
15,22,1758549573792,634908,8499,47849,1
15,18,1758549466120,527236,125173,158492,1
15,12,1758549569353,630469,17047,55308,1
15,8,1758549559722,620838,34323,64968,1
15,15,1758549590892,652008,6657,37406,1
15,1,1758549509497,570613,55268,119387,1
15,15,1758549596411,657527,4701,32901,0
15,6,1758549599672,660788,4708,29698,1
15,18,1758549459395,520511,134741,173358,1
15,14,1758549610244,671360,3942,22582,0
15,14,1758549624570,685686,3940,12124,1
15,8,1758549564498,625614,34035,74589,1
15,22,1758549630876,691992,7964,9914,1
15,6,1758549634637,695753,4407,6463,1
15,17,1758549609385,670501,21301,40213,0
15,23,1758549650865,711981,0,1,1
15,11,1758549643678,704794,10320,10321,1
15,17,1758549585120,646236,35747,70426,1
15,22,1758549646155,707271,9393,9394,1
15,19,1758549611049,672165,29662,47926,1
15,6,1758549647004,708120,5009,13552,1
15,14,1758549651789,712905,3318,10505,1
15,11,1758549650011,711127,7462,13000,1
15,4,1758549615223,676339,42448,56595,1
15,10,1758549644068,705184,30537,30538,1
15,14,1758549661683,722799,4688,17611,1
15,10,1758549646995,708111,30210,37214,1
15,1,1758549605554,666670,61399,80535,1
15,14,1758549662948,724064,4097,25358,1
15,10,1758549654790,715906,27754,35257,1
15,8,1758549654722,715838,34388,40221,1
15,12,1758549661933,723049,16969,34329,0
15,14,1758549694923,756039,4011,4031,1
15,17,1758549661123,722239,29185,39879,1
15,20,1758549682234,743350,19841,23696,1
15,18,1758549512703,573819,130828,194934,0
15,9,1758549646276,707392,64003,67326,1
15,17,1758549697143,758259,19735,19736,0
15,18,1758549516976,578092,138297,200549,1
15,4,1758549688516,749632,31664,31665,1
15,12,1758549711510,772626,11114,11114,0
15,6,1758549717944,779060,4695,4698,1
15,23,1758549723378,784494,0,1,0
15,11,1758549716868,777984,7378,7380,1
15,14,1758549722504,783620,3789,3790,1
15,8,1758549710658,771774,24195,24197,1
15,11,1758549727879,788995,8018,8019,1
15,17,1758549719513,780629,20232,21177,1
15,2,1758549740607,801723,2071,2072,1
15,8,1758549727533,788649,26102,26103,1
15,11,1758549753886,815002,6896,6897,1
15,14,1758549757620,818736,4423,5357,0
15,6,1758549765391,826507,5250,5252,1
15,18,1758549656072,717188,111320,118259,1
15,8,1758549744167,805283,31493,31495,1
15,1,1758549729797,790913,51292,51293,1
15,14,1758549767946,829062,7373,15088,1
15,16,1758549765396,826512,20383,21637,1
15,22,1758549767340,828456,13200,20191,1
15,11,1758549774324,835440,11869,20579,1
15,10,1758549763339,824455,31563,31564,1
15,18,1758549694710,755826,101178,101179,1
15,22,1758549780130,841246,12635,20036,1
15,2,1758549793275,854391,1087,7978,1
15,14,1758549788696,849812,13822,20030,2
15,14,1758549790777,851893,12838,17949,0
15,16,1758549794863,855979,12061,18452,1
15,22,1758549802874,863990,8881,14731,0
15,18,1758549717754,778870,103142,103144,1
15,9,1758549748423,809539,72693,72695,0
15,23,1758549823393,884509,0,1,1
15,11,1758549811315,872431,12003,14002,1
15,9,1758549765820,826936,55030,59852,0
15,19,1758549768481,829597,44797,57406,1
15,3,1758549776613,837729,39307,49726,0
15,16,1758549814088,875204,12610,16128,1
15,17,1758549805138,866254,25293,28882,1
15,2,1758549840210,901326,1537,2617,0
15,22,1758549834740,895856,9111,9113,2
15,12,1758549834386,895502,12435,12436,1
15,8,1758549816892,878008,26010,30236,1
15,1,1758549787992,849108,57243,64153,0
15,18,1758549735541,796657,118550,118552,1
15,10,1758549829728,890844,26238,26239,1
15,20,1758549858335,919451,11561,11562,1
15,4,1758549847432,908548,22705,22706,1
15,9,1758549816511,877627,49579,53965,1
15,8,1758549859372,920488,13734,13736,1
15,22,1758549870093,931209,5604,5605,1
15,18,1758549822452,883568,54866,57730,0
15,3,1758549879714,940830,7240,7242,0
15,14,1758549886930,948046,1770,1772,1
15,8,1758549891804,952920,8393,8395,1
15,12,1758549897692,958808,2806,4016,1
15,20,1758549903200,964316,5164,5166,1
15,6,1758549911445,972561,1365,1366,0
15,20,1758549907883,968999,6025,7156,0
15,9,1758549903967,965083,17708,17709,1
15,22,1758549917905,979021,5550,5551,1
15,3,1758549918980,980096,8326,8327,0
15,22,1758549927757,988873,5160,5162,1
15,11,1758549934752,995868,2077,2078,0
15,1,1758549925371,986487,15627,15628,1
15,11,1758549942373,1003489,1624,1626,1
15,14,1758549943652,1004768,1724,2658,1
15,19,1758549943217,1004333,7288,7289,1
15,8,1758549945226,1006342,8608,8609,1
15,18,1758549945804,1006920,20833,21591,1
15,17,1758549977834,1038950,6021,7143,1
15,6,1758549981956,1043072,2197,3152,1
15,8,1758549981242,1042358,10517,11280,1
15,22,1758550000651,1061767,10547,11695,1
15,1,1758549988560,1049676,39101,39102,1
15,10,1758550009356,1070472,24604,25370,1
15,12,1758550020128,1081244,17408,18387,1
15,17,1758550012104,1073220,30330,31141,1
15,4,1758550012156,1073272,37327,38048,1
15,19,1758550014887,1076003,36053,36054,1
15,1,1758550003282,1064398,52401,53330,1
15,12,1758550043232,1104348,15353,15354,1
15,15,1758550054870,1115986,6171,6172,1
15,23,1758550068341,1129457,0,2,1
15,20,1758550047665,1108781,20500,21590,1
15,18,1758549983125,1044241,86469,87274,1
15,17,1758550046538,1107654,27099,27101,1
15,17,1758550056168,1117284,25211,25213,1
15,12,1758550065833,1126949,18564,18566,1
15,14,1758550074483,1135599,3215,10113,1
15,17,1758550063399,1124515,22116,22118,1
15,6,1758550077196,1138312,5836,14157,1
15,16,1758550069062,1130178,26039,26933,1
15,15,1758550077640,1138756,5330,19044,1
15,18,1758549993540,1054656,103634,103635,1
15,17,1758550074114,1135230,23119,23120,1
15,10,1758550070380,1131496,29630,29631,1
15,23,1758550102953,1164069,0,1,1
15,9,1758550036714,1097830,66531,66532,1
15,20,1758550075490,1136606,19995,28902,0
15,16,1758550075948,1137064,20090,28738,1
15,2,1758550091187,1152303,1066,14564,0
15,2,1758550091584,1152700,832,14999,0
15,11,1758550085263,1146379,10255,22167,1
15,3,1758550071723,1132839,36934,36937,1
15,6,1758550092015,1153131,6339,21754,0
15,16,1758550078927,1140043,18805,35874,1
15,22,1758550092002,1153118,8424,23006,1
15,12,1758550087676,1148792,16778,29113,1
15,20,1758550088755,1149871,19522,35161,1
15,11,1758550098600,1159716,8140,33456,0
15,3,1758550085729,1146845,36346,47853,1
15,14,1758550107680,1168796,3341,29242,1
15,8,1758550082908,1144024,41671,55447,1
15,23,1758550142251,1203367,0,2,2
15,14,1758550114629,1175745,4711,28436,0
15,10,1758550096658,1157774,31685,49827,0
15,8,1758550095699,1156815,41584,59656,1
15,8,1758550097776,1158892,38566,57579,1
15,11,1758550127654,1188770,13487,32319,0
15,16,1758550126432,1187548,18720,35353,0
15,6,1758550140360,1201476,6962,21958,1
15,1,1758550088665,1149781,62142,76724,1
15,15,1758550153332,1214448,5579,17636,0
15,16,1758550132951,1194067,16489,38893,1
15,1,1758550092470,1153586,66461,82649,0
15,15,1758550164110,1225226,4756,11614,0
15,16,1758550142837,1203953,16236,33373,1
15,6,1758550166654,1227770,4781,9971,0
15,20,1758550151878,1212994,16933,27371,0
15,4,1758550108553,1169669,43520,71889,1
15,11,1758550168732,1229848,5937,12325,0
15,4,1758550105035,1166151,50024,77046,1
15,11,1758550173509,1234625,6895,9595,0
15,18,1758550032980,1094096,150124,150126,1
15,9,1758550097140,1158256,70181,88048,0
15,11,1758550175727,1236843,6129,9651,0
15,14,1758550185072,1246188,3034,3151,1
15,11,1758550179173,1240289,5415,9347,1
15,19,1758550147304,1208420,32140,46622,1
15,12,1758550178999,1240115,11929,15010,0
15,11,1758550191551,1252667,5320,5320,0
15,11,1758550192411,1253527,5257,5257,0
15,19,1758550175414,1236530,24980,26190,0
15,10,1758550177647,1238763,25026,28435,0
