query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
15,12,1758550465521,5588,1331,2361,1
15,17,1758550464853,4920,1961,3066,0
15,1,1758550463654,3721,3481,4536,2
15,12,1758550473711,13778,611,612,0
15,18,1758550474191,14258,4012,4012,0
15,4,1758550481649,21716,1386,1388,0
15,19,1758550482510,22577,1182,1183,0
15,2,1758550485574,25641,350,350,0
15,12,1758550488936,29003,573,574,0
15,3,1758550495880,35947,1389,1389,0
15,10,1758550495882,35949,1694,2517,0
15,2,1758550519034,59101,270,1135,0
15,11,1758550524051,64118,436,438,0
15,4,1758550542460,82527,1269,2323,0
15,22,1758550553984,94051,1346,1347,1
15,1,1758550555985,96052,3064,3065,1
15,10,1758550560548,100615,1642,1643,0
15,20,1758550563299,103366,1662,1663,0
15,2,1758550564423,104490,351,1081,0
15,8,1758550563689,103756,1412,2259,0
15,10,1758550564068,104135,1955,2732,0
15,6,1758550573755,113822,303,303,0
15,20,1758550572889,112956,1673,1674,0
15,12,1758550579639,119706,677,678,1
15,14,1758550586800,126867,542,542,0
15,20,1758550587122,127189,1962,2747,0
15,9,1758550587154,127221,3636,4427,0
15,14,1758550595289,135356,538,539,0
15,2,1758550597114,137181,260,260,0
15,20,1758550595789,135856,2537,2538,0
15,8,1758550600194,140261,955,955,0
15,3,1758550608392,148459,1101,1102,0
15,2,1758550608928,148995,251,1849,0
15,8,1758550611375,151442,957,957,0
15,11,1758550614178,154245,542,544,0
15,2,1758550614713,154780,360,1445,0
15,18,1758550614428,154495,3630,3630,0
15,15,1758550617811,157878,913,914,0
15,19,1758550620470,160537,1006,1006,0
15,14,1758550621829,161896,528,528,0
15,1,1758550622515,162582,3160,3160,0
15,1,1758550633379,173446,2850,2851,0
15,20,1758550640056,180123,1614,1614,0
15,11,1758550640713,180780,448,1249,0
15,16,1758550641110,181177,2615,3360,0
15,9,1758550641652,181719,4050,4796,0
15,11,1758550647474,187541,484,485,0
15,19,1758550641525,181592,6543,7275,0
15,2,1758550649687,189754,468,469,0
15,18,1758550645475,185542,4681,4682,0
15,22,1758550648772,188839,2304,2304,0
15,10,1758550648766,188833,2483,2483,0
15,20,1758550649859,189926,3292,3292,0
15,22,1758550654567,194634,1186,1186,0
15,11,1758550656195,196262,778,779,0
15,10,1758550655488,195555,1666,1666,0
15,9,1758550657040,197107,3747,3749,1
15,10,1758550659674,199741,2154,2154,0
15,17,1758550660611,200678,1252,1252,0
15,6,1758550664112,204179,384,384,0
15,3,1758550664070,204137,1038,1038,0
15,16,1758550663213,203280,3837,3838,1
15,15,1758550667350,207417,825,827,2
15,18,1758550668020,208087,4048,4048,0
15,16,1758550673321,213388,2893,2894,0
15,14,1758550679649,219716,552,553,1
15,6,1758550682417,222484,309,310,1
15,16,1758550680158,220225,3189,4212,0
15,22,1758550683238,223305,1162,1163,1
15,23,1758550685283,225350,0,1,0
15,22,1758550686511,226578,1437,1437,0
15,9,1758550683633,223700,4046,4828,1
15,4,1758550691660,231727,1307,1308,0
15,15,1758550697143,237210,860,861,0
15,11,1758550699770,239837,468,468,0
15,4,1758550700135,240202,1147,2140,1
15,2,1758550704174,244241,260,262,1
15,10,1758550706326,246393,1898,1898,0
15,18,1758550705310,245377,4450,4450,0
15,20,1758550707195,247262,2381,3512,0
15,17,1758550710501,250568,805,806,0
15,10,1758550714649,254716,1648,1649,1
15,14,1758550716200,256267,550,550,0
15,14,1758550719633,259700,564,565,0
15,17,1758550721051,261118,886,886,0
15,9,1758550724413,264480,4180,4181,1
15,18,1758550725599,265666,3877,3877,0
15,15,1758550735583,275650,914,1758,1
15,18,1758550733389,273456,4059,4061,1
15,16,1758550735242,275309,2406,2407,1
15,17,1758550738255,278322,791,792,0
15,22,1758550738950,279017,1316,1317,1
15,17,1758550739606,279673,914,914,0
15,20,1758550744889,284956,1646,1647,0
15,9,1758550752205,292272,4162,4163,0
15,18,1758550752777,292844,4609,5718,0
15,16,1758550756350,296417,1996,3115,0
15,11,1758550762352,302419,457,458,0
15,15,1758550769066,309133,814,814,0
15,6,1758550770937,311004,331,332,1
15,11,1758550772597,312664,463,1365,0
15,16,1758550772272,312339,2914,2914,0
15,6,1758550780201,320268,309,309,0
15,22,1758550779815,319882,1208,1209,0
15,2,1758550781566,321633,310,310,0
15,19,1758550781858,321925,1007,1007,0
15,16,1758550788625,328692,3664,3664,0
15,23,1758550794839,334906,0,1,1
15,11,1758550797380,337447,426,426,0
15,17,1758550803393,343460,873,874,1
15,8,1758550809611,349678,868,869,1
15,22,1758550810114,350181,1173,2140,0
15,8,1758550816693,356760,988,989,0
15,1,1758550816334,356401,2781,2781,0
15,15,1758550819908,359975,930,930,0
15,1,1758550818913,358980,2658,2659,0
15,17,1758550822517,362584,856,857,0
15,23,1758550825287,365354,0,0,0
15,19,1758550827875,367942,984,985,1
15,2,1758550834416,374483,260,260,0
15,3,1758550838291,378358,993,993,0
15,11,1758550840869,380936,568,569,0
15,4,1758550839261,379328,1205,2274,0
15,14,1758550843027,383094,558,559,0
15,10,1758550845194,385261,1773,1774,0
15,9,1758550844475,384542,3474,3474,0
15,17,1758550848357,388424,864,865,1
15,8,1758550853749,393816,827,827,0
15,22,1758550866487,406554,1087,2253,0
15,14,1758550867867,407934,547,1425,0
15,12,1758550868437,408504,615,1469,0
15,2,1758550873114,413181,273,273,0
15,22,1758550883029,423096,1109,1110,1
15,19,1758550889562,429629,1030,1030,0
15,10,1758550892716,432783,1357,1358,1
15,11,1758550894170,434237,517,517,0
15,6,1758550896412,436479,283,1322,0
15,12,1758550897565,437632,547,1341,1
15,14,1758550897709,437776,717,1586,0
15,9,1758550896348,436415,3019,3021,0
15,19,1758550900100,440167,1215,1216,1
15,10,1758550900044,440111,1375,1376,0
15,12,1758550903286,443353,616,616,0
15,22,1758550904599,444666,1140,1140,0
15,14,1758550905396,445463,827,827,0
15,22,1758550905127,445194,1848,1849,0
15,16,1758550905593,445660,2430,2431,1
15,9,1758550906185,446252,3251,3252,1
15,6,1758550910540,450607,244,244,0
15,20,1758550913031,453098,2539,2540,0
15,17,1758550914922,454989,1059,1059,0
15,16,1758550912508,452575,4395,4395,0
15,2,1758550919109,459176,261,261,0
15,18,1758550919449,459516,3353,3354,0
15,20,1758550921695,461762,1910,1911,0
15,15,1758550926412,466479,846,847,1
15,12,1758550931339,471406,481,482,0
15,6,1758550935674,475741,289,289,0
15,14,1758550936377,476444,508,508,0
15,19,1758550937646,477713,979,979,0
15,3,1758550943774,483841,996,997,1
15,8,1758550947059,487126,988,988,0
15,2,1758550948356,488423,303,305,0
15,4,1758550950982,491049,1159,1160,0
15,8,1758550951737,491804,922,2351,0
15,14,1758550953933,494000,564,565,1
15,22,1758550958106,498173,1078,1078,0
15,23,1758550960127,500194,0,1,1
15,20,1758550964746,504813,1742,1743,0
15,22,1758550965966,506033,1098,1928,0
15,6,1758550968429,508496,242,243,1
15,15,1758550972646,512713,776,777,0
15,19,1758550973569,513636,1163,1164,1
15,19,1758550975898,515965,925,926,1
15,18,1758550980444,520511,3353,3354,1
15,2,1758550983777,523844,264,1493,1
15,17,1758550985268,525335,863,864,0
15,2,1758550988106,528173,293,294,1
15,23,1758550989352,529419,0,2,1
15,18,1758550987169,527236,3366,3367,1
15,4,1758550991020,531087,1152,1152,0
15,6,1758550992160,532227,422,423,1
15,4,1758550992860,532927,1545,1545,0
15,16,1758550992803,532870,1853,1854,0
15,4,1758550993390,533457,2723,3606,0
15,4,1758550995833,535900,4477,4477,0
15,1,1758550993937,534004,6907,7635,0
15,1,1758550994929,534996,6655,6657,1
15,19,1758551000203,540270,1673,1673,0
15,9,1758550993849,533916,7689,8462,1
15,22,1758551008121,548188,1167,1167,0
15,10,1758551010172,550239,1530,1531,0
15,14,1758551011195,551262,629,629,0
15,23,1758551012517,552584,0,1,1
15,11,1758551013465,553532,519,520,1
15,23,1758551019443,559510,0,1,1
15,22,1758551019470,559537,1076,1077,0
15,6,1758551025844,565911,270,270,0
15,1,1758551030545,570612,2567,2569,0
15,18,1758551033752,573819,3376,3376,0
15,19,1758551036506,576573,1025,2156,0
15,18,1758551038024,578091,3381,3382,0
15,19,1758551035149,575216,6586,7744,0
15,14,1758551065184,605251,507,1494,1
15,23,1758551070334,610401,0,0,0
15,19,1758551066169,606236,5737,6799,0
15,10,1758551072337,612404,1498,1499,0
15,15,1758551076218,616285,914,914,0
15,23,1758551081499,621566,0,1,1
15,8,1758551080770,620837,1003,1004,0
15,8,1758551085547,625614,937,938,1
15,12,1758551090402,630469,587,588,1
15,14,1758551091719,631786,494,495,0
15,22,1758551094840,634907,1168,1168,0
15,6,1758551104071,644138,294,295,1
15,17,1758551106168,646235,796,796,0
15,15,1758551111940,652007,804,805,0
15,15,1758551117461,657528,825,826,1
15,6,1758551120720,660787,311,311,0
15,1,1758551126602,666669,2683,2684,0
15,17,1758551130434,670501,777,778,0
15,14,1758551131293,671360,553,553,0
15,19,1758551132097,672164,5826,5826,0
15,4,1758551136271,676338,1144,2335,0
15,14,1758551145618,685685,532,533,0
15,22,1758551151924,691991,1178,1178,0
15,6,1758551155685,695752,267,267,0
15,11,1758551164726,704793,440,440,0
15,10,1758551165116,705183,1639,2674,0
15,22,1758551167203,707270,1564,1564,0
15,6,1758551168052,708119,615,1479,0
15,10,1758551168043,708110,1999,2000,0
15,11,1758551171059,711126,514,515,0
15,23,1758551171913,711980,0,0,0
15,9,1758551167324,707391,4639,5531,0
15,14,1758551172837,712904,585,585,0
15,8,1758551175770,715837,1236,1236,0
15,10,1758551175838,715905,1782,1783,0
15,18,1758551177120,717187,4085,4085,0
15,17,1758551182171,722238,820,821,0
15,14,1758551182731,722798,579,579,0
15,12,1758551182983,723050,545,1467,1
15,14,1758551183996,724063,540,541,0
15,20,1758551203282,743349,1409,2372,0
15,4,1758551209564,749631,1336,1337,0
15,14,1758551215972,756039,719,1791,1
15,17,1758551218193,758260,956,957,1
15,18,1758551215759,755826,3862,3863,1
15,8,1758551231707,771774,933,1859,1
15,12,1758551232560,772627,512,1484,1
15,11,1758551237917,777984,527,529,1
15,6,1758551238993,779060,271,272,1
15,17,1758551240562,780629,839,840,1
15,18,1758551238803,778870,3838,3839,1
15,14,1758551243553,783620,628,629,1
15,23,1758551244428,784495,0,1,1
15,11,1758551248928,788995,577,578,1
15,8,1758551248582,788649,1004,1006,1
15,1,1758551250846,790913,2655,2656,1
15,18,1758551256590,796657,3710,3712,1
15,2,1758551261655,801722,313,313,0
15,8,1758551265215,805282,934,934,0
15,9,1758551269473,809540,3675,3676,1
15,11,1758551274934,815001,478,479,0
15,14,1758551278669,818736,635,635,0
15,10,1758551284387,824454,1528,1528,0
15,6,1758551286440,826507,281,283,1
15,16,1758551286445,826512,2171,3121,1
15,14,1758551288995,829062,887,1632,1
15,22,1758551288389,828456,1521,2347,1
15,9,1758551286869,826936,4119,4120,0
15,11,1758551295373,835440,427,428,1
15,19,1758551289542,829609,7066,8105,13
15,3,1758551297663,837730,1098,1099,1
15,22,1758551301178,841245,1268,1269,0
15,14,1758551309744,849811,594,1475,1
15,1,1758551309042,849109,2803,2804,1
15,14,1758551311827,851894,553,554,1
15,2,1758551314323,854390,265,266,0
15,16,1758551315911,855978,1931,1932,0
15,22,1758551323923,863990,1257,1258,0
15,17,1758551326187,866254,789,790,1
15,11,1758551332364,872431,448,449,1
15,16,1758551335137,875204,2731,2732,1
15,8,1758551337940,878007,961,961,0
15,9,1758551337560,877627,3590,4522,1
15,23,1758551344441,884508,0,1,0
15,18,1758551343502,883569,3744,3746,1
15,10,1758551350777,890844,1537,1539,1
15,12,1758551355435,895502,552,554,1
15,22,1758551355788,895855,1133,1918,1
15,2,1758551361260,901327,374,375,1
15,4,1758551368481,908548,1173,1174,1
15,20,1758551379384,919451,1446,1447,1
15,8,1758551380421,920488,920,1726,1
15,22,1758551391142,931209,1220,1222,1
15,3,1758551400763,940830,1225,1226,0
15,14,1758551407979,948046,563,564,1
15,8,1758551412853,952920,911,913,1
15,12,1758551418740,958807,656,657,0
15,20,1758551424249,964316,1482,1483,1
15,9,1758551425015,965082,3917,4976,0
15,20,1758551428933,969000,1599,1601,1
15,6,1758551432494,972561,326,328,0
15,22,1758551438954,979021,1231,1232,1
15,3,1758551440030,980097,1033,2110,1
15,1,1758551446421,986488,2775,2777,2
15,22,1758551448806,988873,1264,1265,1
15,11,1758551455801,995868,562,563,0
15,11,1758551463422,1003489,440,441,1
15,19,1758551464266,1004333,1124,1126,1
15,14,1758551464701,1004768,541,1332,1
15,8,1758551466274,1006341,948,949,0
15,18,1758551466853,1006920,3896,3897,1
15,17,1758551498883,1038950,820,1924,1
15,8,1758551502291,1042358,971,973,1
15,6,1758551503005,1043072,316,1497,1
15,18,1758551504174,1044241,3492,3494,1
15,1,1758551509609,1049676,2666,2667,1
15,18,1758551514589,1054656,3411,3413,1
15,22,1758551521699,1061766,1215,1216,0
15,1,1758551524330,1064397,2777,2778,0
15,10,1758551530405,1070472,1522,1523,1
15,17,1758551533153,1073220,774,776,1
15,4,1758551533205,1073272,1390,2205,1
15,12,1758551541177,1081244,622,623,1
15,19,1758551535935,1076002,5863,5864,0
15,18,1758551554029,1094096,3265,4159,1
15,9,1758551557763,1097830,3162,3912,1
15,12,1758551564281,1104348,475,476,1
15,17,1758551567587,1107654,794,795,1
15,20,1758551568714,1108781,1922,1923,1
15,15,1758551575919,1115986,819,820,1
15,17,1758551577217,1117284,892,893,1
15,17,1758551584448,1124515,829,830,1
15,12,1758551586882,1126949,647,649,1
15,23,1758551589390,1129457,0,1,1
15,16,1758551590110,1130177,2142,2143,0
15,10,1758551591429,1131496,1535,2310,1
15,3,1758551592772,1132839,1314,1316,1
15,17,1758551595163,1135230,970,971,1
15,14,1758551595531,1135598,602,602,0
15,20,1758551596539,1136606,1885,1886,0
15,16,1758551596997,1137064,2211,2213,1
15,6,1758551598245,1138312,308,1045,1
15,15,1758551598689,1138756,924,925,1
15,16,1758551599975,1140042,1677,1678,0
15,8,1758551603956,1144023,879,880,0
15,11,1758551606312,1146379,470,471,1
15,3,1758551606778,1146845,857,858,1
15,12,1758551608725,1148792,454,456,1
15,20,1758551609804,1149871,1548,1549,1
15,1,1758551609714,1149781,2708,2709,1
15,2,1758551612237,1152304,288,289,1
15,2,1758551612634,1152701,241,243,1
15,6,1758551613065,1153132,279,280,1
15,22,1758551613050,1153117,1318,1318,0
15,1,1758551613520,1153587,2639,2640,1
15,8,1758551616748,1156815,866,867,1
15,10,1758551617708,1157775,1598,1600,1
15,11,1758551619650,1159717,657,658,1
15,8,1758551618825,1158892,1137,2019,1
15,9,1758551618190,1158257,3613,3614,1
15,23,1758551624002,1164069,0,1,1
15,4,1758551626084,1166151,1391,1392,1
15,14,1758551628729,1168796,589,591,1
15,4,1758551629602,1169669,1149,1151,1
15,14,1758551635679,1175746,488,489,1
15,16,1758551647482,1187549,1645,2528,1
15,11,1758551648704,1188771,433,1319,1
15,16,1758551653999,1194066,2239,2240,0
15,6,1758551661408,1201475,269,269,0
15,23,1758551663299,1203366,0,1,1
15,16,1758551663885,1203952,2066,2066,0
15,19,1758551668353,1208420,5704,5706,1
15,15,1758551674382,1214449,935,937,1
15,20,1758551672927,1212994,1862,3220,0
15,15,1758551685160,1225227,880,881,1
15,6,1758551687704,1227771,270,271,1
15,11,1758551689782,1229849,454,456,1
15,18,1758551691477,1231544,3476,3477,1
15,11,1758551694559,1234626,431,1428,1
15,11,1758551696776,1236843,527,528,0
15,19,1758551696464,1236531,1113,1115,1
15,10,1758551698697,1238764,1929,1931,1
15,11,1758551700223,1240290,897,1692,2
15,12,1758551700048,1240115,1088,1872,0
15,18,1758551698642,1238709,4704,4705,1
15,9,1758551700918,1240985,4203,4204,1
15,14,1758551706121,1246188,604,605,1
15,11,1758551712600,1252667,473,473,0
15,11,1758551713460,1253527,491,492,0
15,8,1758551718623,1258690,875,877,2
15,12,1758551721314,1261381,471,472,1
15,16,1758551718653,1258720,3204,4282,1
15,15,1758551723373,1263440,861,862,0
15,6,1758551725435,1265502,336,337,1
15,4,1758551726515,1266582,1415,1417,1
15,18,1758551725059,1265126,4029,4031,1
15,8,1758551727080,1267147,1040,2087,1
15,22,1758551727826,1267893,1331,2349,0
15,4,1758551732745,1272812,1217,1218,0
15,3,1758551736595,1276662,1019,1020,0
15,8,1758551757341,1297408,1003,2017,1
15,18,1758551764346,1304413,3775,3776,0
15,10,1758551767442,1307509,1639,2773,1
15,17,1758551789178,1329245,872,1926,1
15,3,1758551808379,1348446,977,2340,1
15,23,1758551818089,1358156,0,1,0
15,8,1758551819346,1359413,885,887,1
15,11,1758551819364,1359431,457,1585,1
15,4,1758551820714,1360781,1209,1210,1
15,4,1758551821904,1361971,1045,1046,1
15,14,1758551842685,1382752,614,1668,1
15,3,1758551845396,1385463,1059,1061,1
15,20,1758551844096,1384163,1623,2509,1
15,15,1758551851088,1391155,1045,1046,1
15,1,1758551851191,1391258,2786,2788,1
15,12,1758551854799,1394866,611,613,1
15,3,1758551855062,1395129,1065,1067,1
15,22,1758551857898,1397965,1202,1204,1
15,16,1758551856646,1396713,3248,3249,1
15,22,1758551861384,1401451,1194,1195,1
15,2,1758551864359,1404426,266,268,1
15,22,1758551865878,1405945,1207,1208,1
15,15,1758551871367,1411434,797,799,1
15,12,1758551874603,1414670,527,528,0
15,22,1758551875991,1416058,1127,1130,1
15,14,1758551876130,1416197,587,1708,1
15,2,1758551879151,1419218,269,270,1
15,14,1758551883181,1423248,695,695,0
15,1,1758551886647,1426714,2761,2761,0
15,9,1758551887285,1427352,3893,5094,0
15,12,1758551899711,1439778,461,462,1
15,15,1758551920414,1460481,921,1968,1
15,17,1758551926013,1466080,874,875,1
15,4,1758551930122,1470189,1076,1077,1
15,15,1758551930384,1470451,815,1926,1
15,3,1758551931881,1471948,948,949,0
15,20,1758551932154,1472221,3042,3820,0
15,4,1758551933226,1473293,4783,4784,1
15,4,1758551935058,1475125,4750,4751,0
15,18,1758551931885,1471952,8104,8923,1
15,18,1758551932065,1472132,8132,8893,0
15,4,1758551951486,1491553,1313,2129,1
15,9,1758551951650,1491717,3672,4405,0
15,15,1758551955938,1496005,849,850,1
15,3,1758551957327,1497394,996,997,1
15,12,1758551963694,1503761,568,569,0
15,9,1758551965191,1505258,3580,3581,0
15,16,1758551972842,1512909,3978,3979,0
15,4,1758551980115,1520182,1042,1043,0
15,3,1758551980476,1520543,1479,2569,1
15,10,1758551981543,1521610,1765,1766,1
15,6,1758551984219,1524286,241,242,1
15,1,1758551984549,1524616,2959,2960,1
15,1,1758551985088,1525155,2633,2634,1
15,6,1758551999642,1539709,264,1546,1
15,12,1758552004580,1544647,642,643,1
15,16,1758552005949,1546016,1723,1724,1
15,4,1758552006791,1546858,1792,2525,0
15,20,1758552007989,1548056,2561,2562,1
15,1,1758552006754,1546821,2997,3796,0
15,22,1758552011818,1551885,1189,1190,1
15,9,1758552014656,1554723,3673,3674,0
15,3,1758552017887,1557954,1058,1059,1
15,1,1758552030292,1570359,2585,3705,1
