query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
14,12,1758789495677,5587,8106,8826,0
14,12,1758789503868,13778,7467,8179,0
14,17,1758789495010,4920,18655,19361,0
14,2,1758789515732,25642,1728,1729,1
14,12,1758789519093,29003,3751,3752,0
14,1,1758789493809,3719,29866,30717,0
14,19,1758789512667,22577,12628,12629,0
14,4,1758789511806,21716,14234,14235,0
14,18,1758789504348,14258,26871,27589,0
14,3,1758789526037,35947,8002,8002,0
14,10,1758789526039,35949,8856,8856,0
14,2,1758789549192,59102,358,1064,1
14,11,1758789554209,64119,1890,1892,1
14,4,1758789572618,82528,3765,4552,1
14,22,1758789584141,94051,5768,5770,1
14,2,1758789594580,104490,754,1513,0
14,10,1758789590706,100616,9824,9826,1
14,6,1758789603913,113823,2524,2526,1
14,20,1758789593457,103367,13315,14025,1
14,10,1758789594227,104137,14346,15095,2
14,8,1758789593847,103757,16130,16892,1
14,20,1758789603048,112958,8629,8632,2
14,1,1758789586142,96052,24929,25651,1
14,12,1758789609796,119706,2316,2317,1
14,14,1758789616958,126868,2520,2522,1
14,20,1758789617280,127190,4564,4565,1
14,14,1758789625448,135358,1930,1932,2
14,2,1758789627272,137182,489,1208,1
14,9,1758789617312,127222,12982,12983,1
14,20,1758789625947,135857,5268,5269,1
14,8,1758789630352,140262,2866,2868,1
14,2,1758789639086,148996,429,430,1
14,3,1758789638550,148460,3019,3020,1
14,8,1758789641533,151443,2798,2800,1
14,11,1758789644336,154246,1494,1495,1
14,2,1758789644871,154781,496,1284,1
14,15,1758789647969,157879,2404,2406,1
14,14,1758789651987,161897,2186,2187,1
14,19,1758789650628,160538,6200,6201,1
14,18,1758789644586,154496,18394,18396,1
14,1,1758789652673,162583,20895,21660,1
14,11,1758789670870,180780,5573,6326,0
14,2,1758789679844,189754,988,1692,0
14,20,1758789670214,180124,11981,12706,1
14,11,1758789677632,187542,5785,5786,1
14,19,1758789671682,181592,14795,15569,0
14,16,1758789671267,181177,17396,18103,0
14,11,1758789686352,196262,6977,7875,0
14,20,1758789680017,189927,15915,17435,1
14,22,1758789678929,188839,21568,22343,0
14,22,1758789684724,194634,19127,19129,0
14,10,1758789678923,188833,24984,25704,0
14,1,1758789663537,173447,43555,43556,1
14,6,1758789694269,204179,4054,14412,0
14,10,1758789685645,195555,23435,23437,0
14,15,1758789697505,207415,5423,15011,0
14,23,1758789715440,225350,0,0,0
14,10,1758789689831,199741,22297,26694,0
14,14,1758789709805,219715,5142,7853,0
14,16,1758789693369,203279,16781,24684,0
14,17,1758789690768,200678,22773,29457,0
14,6,1758789712573,222483,3518,8602,0
14,3,1758789694228,204138,21965,31591,1
14,16,1758789703479,213389,19547,25150,1
14,16,1758789710316,220226,14527,20736,1
14,15,1758789727300,237210,3764,5092,0
14,9,1758789671809,181719,60020,60790,0
14,22,1758789713394,223304,16211,20869,0
14,2,1758789734330,244240,752,753,0
14,22,1758789716668,226578,14592,19099,0
14,11,1758789729927,239837,6135,7259,0
14,9,1758789687196,197106,55270,57443,0
14,20,1758789737353,247263,13940,13941,1
14,4,1758789721818,231728,26986,30987,1
14,10,1758789736483,246393,16474,16476,0
14,14,1758789746357,256267,4605,9541,0
14,4,1758789730291,240201,23737,25839,0
14,14,1758789749791,259701,3547,6560,1
14,17,1758789740658,250568,19222,19222,0
14,18,1758789675632,185542,85996,85996,0
14,10,1758789744805,254715,17793,17793,0
14,9,1758789713789,223699,47991,54426,0
14,17,1758789751208,261118,16803,18553,0
14,15,1758789765739,275649,5449,5449,0
14,16,1758789765398,275308,13661,13661,0
14,22,1758789769107,279017,13045,13806,1
14,18,1758789698177,208087,75475,85978,0
14,17,1758789768412,278322,17528,17529,0
14,20,1758789775046,284956,12364,12364,0
14,17,1758789769764,279674,17856,17858,1
14,11,1758789792509,302419,5889,5890,0
14,16,1758789786507,296417,13097,13098,0
14,9,1758789754569,264479,44206,45535,0
14,18,1758789735467,245377,65453,65454,0
14,15,1758789799223,309133,2791,2792,0
14,6,1758789801093,311003,2142,2142,0
14,11,1758789802754,312664,4295,4295,0
14,6,1758789810358,320268,2276,2276,0
14,2,1758789811723,321633,701,1422,0
14,16,1758789802429,312339,11134,11135,0
14,18,1758789755756,265666,62720,63093,0
14,9,1758789782363,292273,38315,38317,1
14,22,1758789809972,319882,11988,11988,0
14,18,1758789763545,273455,59232,59234,0
14,23,1758789824995,334905,0,1,0
14,18,1758789782934,292844,43587,43588,0
14,19,1758789812015,321925,14140,14889,0
14,16,1758789818782,328692,9159,9160,0
14,11,1758789827537,337447,980,981,0
14,17,1758789833549,343459,2574,2574,0
14,8,1758789839767,349677,3270,3270,0
14,22,1758789840271,350181,4367,5115,0
14,8,1758789846850,356760,5082,5083,0
14,15,1758789850065,359975,1729,2452,0
14,23,1758789855444,365354,0,0,0
14,17,1758789852674,362584,6771,6771,0
14,2,1758789864573,374483,489,491,0
14,19,1758789858032,367942,7299,7300,1
14,1,1758789846491,356401,21652,21652,0
14,1,1758789849070,358980,20723,21424,0
14,11,1758789871027,380937,2477,2478,1
14,3,1758789868448,378358,7278,7279,0
14,14,1758789873186,383096,2600,2602,2
14,4,1758789869418,379328,7633,7634,0
14,17,1758789878513,388423,7148,7148,0
14,10,1758789875352,385262,10144,10881,1
14,8,1758789883907,393817,5002,5003,1
14,9,1758789874632,384542,15953,15954,0
14,14,1758789898024,407934,2183,2183,0
14,22,1758789896644,406554,4521,4522,0
14,12,1758789898594,408504,1931,2695,0
14,2,1758789903271,413181,368,369,0
14,22,1758789913185,423095,3444,3446,0
14,19,1758789919719,429629,2803,2803,0
14,11,1758789924327,434237,1749,2530,0
14,10,1758789922872,432782,4724,4724,0
14,6,1758789926569,436479,942,1687,0
14,12,1758789927721,437631,2455,2456,0
14,14,1758789927866,437776,2406,2406,0
14,12,1758789933443,443353,5464,5464,0
14,14,1758789935553,445463,5320,6044,0
14,10,1758789930201,440111,13590,13590,0
14,19,1758789930256,440166,13731,13731,0
14,6,1758789940697,450607,3315,3315,0
14,2,1758789949266,459176,756,757,0
14,16,1758789935749,445659,15710,16427,0
14,22,1758789934756,444666,17110,17834,0
14,22,1758789935284,445194,16998,17750,0
14,20,1758789943188,453098,13695,14394,0
14,16,1758789942665,452575,15501,15502,0
14,15,1758789956568,466478,2954,2955,0
14,17,1758789945079,454989,15469,15469,0
14,20,1758789951852,461762,10325,10325,0
14,12,1758789961496,471406,4053,4053,0
14,6,1758789965831,475741,1385,1386,0
14,9,1758789926505,436415,40412,41118,0
14,14,1758789966534,476444,2867,2868,0
14,19,1758789967804,477714,6228,6229,1
14,9,1758789936341,446251,37375,38142,0
14,2,1758789978513,488423,524,525,0
14,3,1758789973930,483840,5254,5255,0
14,18,1758789949606,459516,31846,31847,0
14,8,1758789977216,487126,4892,4892,0
14,14,1758789984090,494000,2234,2235,1
14,4,1758789981139,491049,5445,5446,0
14,8,1758789981894,491804,4932,4933,0
14,23,1758789990283,500193,0,0,0
14,22,1758789988263,498173,3339,3339,0
14,20,1758789994903,504813,3792,3792,0
14,6,1758789998585,508495,771,1513,0
14,22,1758789996123,506033,4304,4304,0
14,15,1758790002803,512713,841,841,0
14,19,1758790003725,513635,2811,2812,0
14,19,1758790006054,515964,2740,2741,0
14,2,1758790013933,523843,449,449,0
14,2,1758790018262,528172,461,1196,0
14,23,1758790019508,529418,0,0,0
14,17,1758790015425,525335,5735,5735,0
14,6,1758790022317,532227,1480,1481,1
14,23,1758790042673,552583,0,0,0
14,4,1758790021178,531088,22061,22062,1
14,4,1758790023018,532928,19525,20223,1
14,4,1758790025990,535900,16539,17254,0
14,4,1758790023548,533458,18951,19700,1
14,16,1758790022960,532870,20920,21626,0
14,18,1758790010601,520511,36285,36286,1
14,14,1758790041352,551262,5842,7737,0
14,23,1758790049599,559509,0,0,0
14,11,1758790043621,553531,6674,7639,0
14,22,1758790038278,548188,14132,19094,0
14,6,1758790056001,565911,4168,4168,0
14,19,1758790030360,540270,18369,31248,0
14,22,1758790049627,559537,13235,13235,0
14,10,1758790040329,550239,19941,22856,0
14,9,1758790024005,533915,43004,43004,0
14,1,1758790025085,534995,45396,46159,0
14,1,1758790024094,534004,46744,47462,0
14,19,1758790065306,575216,13317,13317,0
14,19,1758790066663,576573,13517,13518,0
14,18,1758790017326,527236,68569,69268,1
14,1,1758790060702,570612,34496,34497,0
14,14,1758790095340,605250,3065,3066,0
14,18,1758790063909,573819,36220,36220,0
14,18,1758790068181,578091,31970,31971,0
14,23,1758790100491,610401,0,0,0
14,19,1758790096326,606236,4853,4853,0
14,10,1758790102494,612404,4582,4583,0
14,15,1758790106375,616285,1152,1153,0
14,23,1758790111655,621565,0,0,0
14,8,1758790110928,620838,2567,2568,1
14,8,1758790115703,625613,2603,2604,0
14,12,1758790120558,630468,1164,1165,0
14,14,1758790121876,631786,1026,1027,0
14,22,1758790124997,634907,3309,3309,0
14,6,1758790134227,644137,531,531,0
14,17,1758790136325,646235,2521,2522,0
14,15,1758790142097,652007,960,960,0
14,15,1758790147617,657527,970,970,0
14,6,1758790150877,660787,484,485,0
14,14,1758790161450,671360,2846,3586,0
14,17,1758790160592,670502,6860,7620,1
14,19,1758790162254,672164,7461,8216,0
14,1,1758790156759,666669,16043,16043,0
14,4,1758790166428,676338,6498,6498,0
14,14,1758790175775,685685,1146,1146,0
14,22,1758790182082,691992,3475,3476,1
14,6,1758790185843,695753,539,541,1
