query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
14,12,1758632227008,5587,9591,10379,0
14,12,1758632235199,13778,6639,7475,0
14,17,1758632226341,4920,17379,18099,0
14,4,1758632243137,21716,6736,6737,0
14,1,1758632225141,3720,23920,24860,1
14,2,1758632247062,25641,6314,6314,0
14,12,1758632250425,29004,4740,4741,1
14,19,1758632243998,22577,27151,27153,0
14,10,1758632257371,35950,15740,15741,1
14,3,1758632257369,35948,16541,16542,1
14,18,1758632235679,14258,43023,43856,0
14,2,1758632280523,59102,416,418,1
14,11,1758632285540,64119,1970,1972,1
14,4,1758632303948,82527,7456,8339,0
14,22,1758632315472,94051,7961,7963,1
14,2,1758632325912,104491,1302,2076,1
14,10,1758632322037,100616,14906,15667,1
14,6,1758632335244,113823,3247,4061,1
14,10,1758632325557,104136,13465,14247,1
14,20,1758632324788,103367,15163,15164,1
14,20,1758632334377,112956,8512,8513,0
14,8,1758632325178,103757,18222,19068,1
14,12,1758632341127,119706,4716,4718,1
14,1,1758632317472,96051,28881,29664,0
14,20,1758632348611,127190,5354,5356,1
14,14,1758632348289,126868,6035,6037,1
14,14,1758632356778,135357,2138,2139,1
14,2,1758632358603,137182,532,1253,1
14,20,1758632357278,135857,5482,5483,1
14,8,1758632361683,140262,7700,7701,1
14,9,1758632348643,127222,21925,21926,1
14,2,1758632370416,148995,400,401,0
14,3,1758632369881,148460,4865,4866,1
14,8,1758632372864,151443,4045,4047,1
14,11,1758632375666,154245,1461,1462,0
14,2,1758632376201,154780,332,1183,0
14,15,1758632379300,157879,1515,1517,1
14,14,1758632383318,161897,1981,1982,1
14,19,1758632381959,160538,11945,11946,1
14,1,1758632384004,162583,14124,14125,1
14,18,1758632375917,154496,23622,23623,1
14,11,1758632402201,180780,1233,1234,0
14,1,1758632394868,173447,8893,8896,1
14,20,1758632401545,180124,2924,2926,1
14,11,1758632408963,187542,1821,1822,1
14,2,1758632411175,189754,434,435,0
14,19,1758632403014,181593,8461,9183,1
14,16,1758632402599,181178,13202,13966,1
14,20,1758632411348,189927,7063,7804,1
14,11,1758632417684,196263,3994,3996,1
14,22,1758632410261,188840,10714,11474,1
14,10,1758632410255,188834,16982,16984,1
14,22,1758632416056,194635,13695,13698,1
14,6,1758632425600,204179,5737,7376,0
14,10,1758632416977,195556,16885,16887,1
14,15,1758632428837,207416,4313,5229,1
14,16,1758632424701,203280,13727,13728,1
14,10,1758632421163,199742,18442,18444,1
14,17,1758632422100,200679,18509,18510,1
14,16,1758632434810,213389,6362,6363,1
14,14,1758632441137,219716,3090,3092,1
14,9,1758632403141,181720,40824,41587,1
14,6,1758632443906,222485,2404,2406,2
14,23,1758632446772,225351,0,1,1
14,3,1758632425559,204138,21810,22535,1
14,16,1758632441647,220226,8798,8800,1
14,22,1758632444726,223305,6791,6792,1
14,22,1758632448000,226579,10834,10836,1
14,11,1758632461259,239838,2724,2725,1
14,9,1758632418528,197107,45349,46070,1
14,15,1758632458632,237211,6048,6049,1
14,2,1758632465662,244241,546,547,1
14,4,1758632461622,240201,10102,10993,0
14,20,1758632468684,247263,5654,5657,1
14,4,1758632453149,231728,21251,21253,1
14,14,1758632477689,256268,5688,5689,1
14,17,1758632471990,250569,10672,11391,1
14,18,1758632406964,185543,77527,77528,1
14,18,1758632429509,208088,51717,55185,1
14,14,1758632481122,259701,3794,3796,1
14,10,1758632467814,246393,18217,18218,0
14,9,1758632445121,223700,43254,43255,1
14,17,1758632482540,261119,10823,11629,1
14,10,1758632476137,254716,18752,18753,1
14,15,1758632497071,275650,2070,2072,1
14,16,1758632496729,275308,14162,14163,0
14,22,1758632500438,279017,11042,11835,1
14,17,1758632499744,278323,16629,16631,1
14,17,1758632501095,279674,14654,15426,1
14,20,1758632506378,284957,10364,11112,1
14,18,1758632466799,245378,50694,50695,1
14,9,1758632485901,264480,39040,39041,1
14,11,1758632523841,302420,5201,5203,1
14,16,1758632517839,296418,13283,13285,1
14,15,1758632530555,309134,2012,2014,1
14,6,1758632532424,311003,1928,1928,0
14,11,1758632534086,312665,4330,4331,1
14,16,1758632533760,312339,10688,10688,0
14,6,1758632541690,320269,2963,2964,1
14,2,1758632543055,321634,901,1721,1
14,9,1758632513694,292273,35909,35911,1
14,22,1758632541304,319883,8828,8829,1
14,18,1758632514266,292845,37452,37453,1
14,18,1758632487087,265666,66922,66923,0
14,19,1758632543347,321926,11757,12483,1
14,23,1758632556328,334907,0,2,2
14,16,1758632550114,328693,6821,6823,1
14,18,1758632494877,273456,62099,62100,1
14,11,1758632558869,337448,723,726,1
14,17,1758632564881,343460,2545,2546,1
14,8,1758632571099,349678,3830,3831,1
14,22,1758632571603,350182,5203,5965,1
14,8,1758632578183,356762,4554,4556,2
14,15,1758632581397,359976,1139,1861,1
14,23,1758632586776,365355,0,1,1
14,17,1758632584005,362584,4861,4862,0
14,1,1758632577823,356402,14389,14391,1
14,19,1758632589363,367942,4138,4139,1
14,1,1758632580402,358981,12889,13644,1
14,2,1758632595905,374484,310,312,1
14,11,1758632602358,380937,1572,2393,1
14,3,1758632599780,378359,5316,5317,1
14,14,1758632604516,383095,1837,2593,1
14,4,1758632600750,379329,7864,7865,1
14,10,1758632606682,385261,6863,6864,0
14,17,1758632609844,388423,3832,3832,0
14,9,1758632605963,384542,11359,11359,0
14,8,1758632615237,393816,2586,2587,0
14,14,1758632629355,407934,1901,2663,0
14,22,1758632627975,406554,3635,4390,0
14,12,1758632629925,408504,2125,2887,0
14,2,1758632634603,413182,321,322,1
14,22,1758632644516,423095,2917,2917,0
14,11,1758632655658,434237,1509,2260,0
14,6,1758632657900,436479,2128,2841,0
14,10,1758632654203,432782,6030,6754,0
14,14,1758632659197,437776,2590,3353,0
14,12,1758632659052,437631,5712,5714,0
14,19,1758632651050,429629,18855,18857,0
14,14,1758632666884,445463,2650,3400,0
14,12,1758632664774,443353,10783,10783,0
14,6,1758632672029,450608,4861,4862,1
14,10,1758632661533,440112,16216,16217,1
14,19,1758632661587,440166,16356,16356,0
14,22,1758632666088,444667,12242,12243,1
14,22,1758632666615,445194,12826,13670,0
14,2,1758632680597,459176,546,546,0
14,20,1758632674519,453098,8842,9881,0
14,16,1758632667080,445659,17845,18566,0
14,16,1758632673996,452575,12434,12435,0
14,17,1758632676410,454989,10342,10822,0
14,15,1758632687899,466478,1471,1471,0
14,20,1758632683183,461762,6713,6713,0
14,9,1758632657837,436416,33450,34192,1
14,12,1758632692827,471406,2464,2464,0
14,9,1758632667672,446251,28785,29506,0
14,6,1758632697162,475741,782,782,0
14,14,1758632697865,476444,1703,1703,0
14,18,1758632680937,459516,27485,27486,0
14,19,1758632699134,477713,10688,10688,0
14,2,1758632709844,488423,358,358,0
14,3,1758632705262,483841,5524,5525,1
