query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,2,1758893047935,100000,535,1362,0
17,2,1758893048223,100288,855,1619,0
17,23,1758893055314,107379,0,1,0
17,8,1758893048437,100502,9225,10085,0
17,8,1758893048194,100259,9623,10357,1
17,2,1758893048544,100609,489,10469,1
17,3,1758893048146,100211,11175,11966,0
17,20,1758893048206,100271,11297,12053,1
17,3,1758893048244,100309,11866,12629,0
17,4,1758893048365,100430,12101,12871,0
17,23,1758893062677,114742,0,1,0
17,23,1758893065535,117600,0,0,0
17,23,1758893067041,119106,0,1,0
17,23,1758893068601,120666,0,1,1
17,23,1758893072426,124491,0,0,0
17,23,1758893072725,124790,0,0,0
17,20,1758893049403,101468,12990,23698,0
17,3,1758893049488,101553,12948,23718,0
17,3,1758893049585,101650,12236,23887,0
17,1,1758893047938,100003,24746,25575,1
17,16,1758893049578,101643,14444,25739,1
17,9,1758893048040,100105,29409,30151,0
17,1,1758893048507,100572,28463,29798,0
17,1,1758893049056,101121,24910,34867,0
17,1,1758893048666,100731,25726,35611,0
17,3,1758893050433,102498,12916,35956,1
17,4,1758893049616,101681,14271,37758,1
17,23,1758893087377,139442,0,0,0
17,4,1758893050646,102711,13438,38108,0
17,10,1758893049679,101744,17146,40674,1
17,22,1758893050994,103059,13277,40589,1
17,4,1758893050714,102779,13587,41065,0
17,14,1758893051871,103936,3502,40386,1
17,8,1758893051083,103148,10781,43620,0
17,14,1758893052136,104201,3147,42594,1
17,18,1758893048149,100214,45876,46623,0
17,6,1758893052755,104820,2451,44468,1
17,16,1758893051134,103199,13095,46237,0
17,19,1758893051923,103988,7176,45605,0
17,14,1758893052493,104558,3362,45572,0
17,8,1758893051511,103576,12049,46926,0
17,15,1758893053024,105089,2533,46881,0
17,14,1758893053309,105374,2938,47158,0
17,1,1758893050643,102708,27084,49954,1
17,2,1758893054183,106248,439,46722,0
17,19,1758893052495,104560,6565,48799,0
17,20,1758893052276,104341,10174,50155,1
17,12,1758893054155,106220,2642,48392,0
17,22,1758893052172,104237,11032,50638,0
17,15,1758893056427,108492,2697,48701,0
17,12,1758893054889,106954,4323,50340,0
17,11,1758893056510,108575,2722,49023,0
17,12,1758893055460,107525,4358,50194,1
17,3,1758893052843,104908,13354,57733,0
17,3,1758893053324,105389,13366,58108,0
17,17,1758893054664,106729,11422,57354,0
17,20,1758893056488,108553,11545,57604,0
17,11,1758893060251,112316,3272,54453,0
17,14,1758893062561,114626,2844,54376,0
17,23,1758893117495,169560,0,0,0
17,23,1758893119999,172064,0,1,1
17,4,1758893056612,108677,15259,63776,0
17,23,1758893121354,173419,0,1,0
17,17,1758893060125,112190,11640,62092,0
17,10,1758893059241,111306,17862,64274,0
17,6,1758893063844,115909,3609,60153,0
17,17,1758893063353,115418,8466,62050,0
17,23,1758893126489,178554,0,1,0
17,16,1758893062756,114821,11882,63829,0
