query_id,query_duration,query_duration_with_queue,start_delay
12,224,224,529681
15,630,631,529299
14,239,239,530128
19,387,387,530413
4,342,343,530642
17,405,406,530966
3,434,435,530938
23,0,1,1655403
23,0,0,1665477
23,0,0,1667558
23,0,0,1670852
6,15497,16293,1656152
12,16329,17169,1655890
23,0,0,1673470
23,0,1,1673779
17,17558,18326,1656262
3,18290,19030,1655665
18,18959,19777,1655058
23,0,0,1675025
23,0,1,1675047
10,6110,18818,1657244
19,4158,17989,1658614
8,2297,18130,1658754
23,0,6,1679572
22,9998,22328,1657620
9,3982,20444,1659600
22,10176,21873,1658263
16,5361,20916,1659280
6,187,19929,1660454
15,7804,22161,1658702
15,4277,21269,1659612
15,23726,24542,1656351
23,0,0,1681184
2,1609,21302,1660443
22,1917,21827,1660039
23,0,0,1682242
14,1484,20878,1661469
3,2049,21374,1661556
20,6150,23282,1659752
20,8375,24162,1658908
2,1301,20824,1662343
4,3236,23104,1660176
1,2972,21689,1662176
1,3518,23317,1660584
17,2047,22006,1662388
19,1482,22001,1662410
9,3164,22589,1662320
12,1937,21307,1663795
19,2611,21914,1663976
1,2864,23360,1662539
14,2056,21943,1663978
12,1358,19728,1666538
11,2433,21894,1664440
23,0,1,1686360
18,3634,23465,1663238
11,2421,20437,1666396
19,2565,22043,1664916
12,740,19779,1667664
11,1532,20494,1666959
14,2352,20829,1666625
15,1716,20790,1666824
22,2503,21597,1666796
10,2388,21677,1666977
22,2326,21063,1668094
11,2231,21206,1668469
8,2850,21524,1668284
23,0,0,1690198
1,2801,20934,1669321
22,2914,19972,1670555
20,4217,23400,1667151
3,2196,20028,1670561
15,3175,22064,1668563
19,1637,19979,1670815
23,0,0,1691257
11,1517,20216,1671110
9,3469,22213,1670931
2,2693,21587,1671733
10,3042,22259,1671311
20,5235,23216,1670674
10,3447,22571,1671428
2,2772,21977,1672120
12,1342,22132,1672531
16,4425,23540,1671140
10,5154,24191,1671757
20,5673,24646,1671616
18,4103,25097,1672575
9,4935,25827,1672253
18,4161,24099,1674060
10,3503,22430,1675753
12,2280,22450,1676093
12,950,22465,1676157
23,0,0,1699058
16,5733,25726,1673897
14,1154,22371,1677406
4,1679,22930,1676932
1,4031,24195,1675784
8,2362,24278,1676163
20,6371,26177,1674291
10,2450,23940,1676670
14,909,22507,1678179
20,6027,25080,1675609
15,2604,24018,1677128
2,933,21577,1680041
14,1087,21479,1680754
22,2617,24130,1678110
22,1945,22811,1679576
1,2656,23548,1679088
6,523,21790,1681370
8,2607,23228,1680068
18,3122,23875,1679857
2,1573,22646,1681313
11,879,22652,1681385
22,2494,23436,1681299
10,2634,24026,1680842
17,1642,23437,1681502
4,1001,23000,1681960
20,5202,26640,1678424
15,1564,23299,1682302
20,5471,26137,1679803
8,2294,24066,1681959
14,1275,23570,1682770
16,5485,26343,1680761
2,1112,23723,1683414
6,490,23849,1683778
2,788,24115,1683777
10,2987,25446,1682479
17,2329,25328,1682940
4,926,24752,1683801
8,3055,25718,1682938
9,3880,26340,1682409
6,252,24424,1684381
16,4622,27041,1682316
16,4585,27036,1682510
2,923,24404,1685326
2,1020,24734,1685036
22,4071,26775,1683635
11,1189,25220,1685326
10,2560,26506,1684323
12,1121,25405,1685485
8,3054,27098,1683848
12,813,25584,1685640
12,1114,25772,1685889
19,2153,26430,1685451
8,2693,26888,1685351
12,1092,25215,1687101
1,3696,27648,1684704
9,4637,28652,1683910
3,1194,25840,1687236
11,1178,26156,1687261
3,1521,26317,1687520
15,2318,26791,1687187
15,1588,25753,1688397
9,3287,27480,1686754
8,3480,27758,1686612
11,1321,25351,1689387
16,4049,28877,1686001
23,0,1,1714882
11,1489,25880,1689446
11,1256,24552,1690938
8,2533,27150,1688459
14,558,23781,1692104
6,423,23316,1692715
17,1924,25169,1690906
19,1464,24985,1691217
19,908,24126,1692271
8,2042,25466,1690947
16,4225,29034,1687544
6,437,22027,1694822
16,3300,27666,1689613
23,0,0,1717478
19,1786,24920,1692751
23,0,0,1717888
4,1332,23030,1694879
10,2647,24482,1694239
11,1064,22611,1696125
15,2438,24421,1694414
20,4375,27609,1691643
4,1699,23355,1696254
12,1047,22602,1697180
8,3016,24295,1695570
3,1417,22993,1697260
9,4330,26341,1694021
16,4213,26045,1694370
12,557,22302,1698120
17,1690,23667,1697276
9,3886,25394,1695770
14,832,22712,1698482
17,2183,24494,1697297
22,2209,24286,1697706
16,3356,25698,1696380
4,1495,23143,1699294
3,1420,23200,1699414
11,917,22694,1700660
19,1550,23629,1699913
15,3132,24674,1698874
18,3445,25311,1698388
4,1262,23023,1700854
6,247,21178,1702767
8,1903,23468,1700514
1,2239,24550,1699480
2,726,22539,1701541
16,3831,25236,1699018
6,543,21571,1702918
20,4032,25899,1699297
4,2190,23082,1703361
22,3126,24601,1702067
10,3128,24080,1702595
17,2680,23597,1703113
6,304,21069,1705910
17,2495,23315,1703669
18,3285,24337,1702825
19,2015,22721,1704490
11,1346,22747,1705267
16,4141,25148,1702974
11,1376,22218,1706137
18,4471,25331,1703221
1,2649,23305,1706329
10,3075,23756,1706029
3,2352,22720,1708184
16,4187,24404,1706944
20,5399,26975,1704868
10,2408,23582,1708611
10,2602,23908,1708327
11,961,23389,1708920
9,4279,24627,1707773
19,1683,23796,1708791
16,4323,24521,1708157
20,5729,25908,1707032
23,0,0,1733536
20,5667,26630,1707052
3,1925,24246,1709988
22,2069,22857,1711612
8,2934,25528,1709249
17,2530,23547,1711923
3,1509,22729,1713249
14,510,22611,1713370
19,1751,22861,1713124
1,3433,24279,1711832
3,1338,22779,1713336
9,4116,26756,1709553
18,3908,24766,1711729
3,929,23400,1713508
20,4693,27314,1709615
9,3910,25029,1712563
4,1930,23733,1714693
22,2340,23925,1714528
10,2665,24406,1714569
19,1297,24155,1715569
9,3914,26312,1713583
11,645,24390,1715978
15,808,24531,1716172
20,4759,26342,1714532
6,177,24409,1716471
20,4917,26934,1713968
15,638,24702,1716304
16,4226,25931,1715202
23,0,0,1741615
16,3213,26230,1715957
20,5686,27342,1715272
4,1493,24138,1718489
16,4282,26879,1715854
20,5266,27404,1715454
8,2680,26888,1716673
12,1045,23715,1719945
8,3046,25920,1718028
8,3081,25965,1718121
9,3524,27784,1716614
3,1715,23648,1720925
23,0,0,1744803
10,2533,25159,1720000
3,1847,24208,1721301
15,3363,25762,1720335
17,2129,24110,1722105
11,770,22922,1723355
6,581,23269,1723528
15,2550,24626,1722321
18,3506,26024,1721042
8,3224,25255,1721918
8,2928,24451,1723050
20,5375,28452,1719110
15,2672,24599,1723232
23,0,0,1747850
14,551,22325,1725727
2,913,21772,1726973
4,1919,24780,1724086
23,0,0,1749399
4,2261,23521,1726302
22,3034,26041,1723789
9,4525,27198,1723423
16,4542,27286,1723533
1,3877,26286,1724658
18,4471,26913,1724731
11,1043,23531,1728134
12,1029,23216,1728632
19,2054,24510,1727368
14,517,22919,1729262
16,4279,25290,1727042
1,3916,25347,1727314
18,4592,26120,1727338
4,1885,24638,1728891
3,1595,24059,1730197
18,4448,26260,1728019
12,864,24001,1730322
15,3089,25473,1729464
18,4106,26300,1728750
22,2077,25087,1730519
23,0,0,1755624
1,3352,25572,1730112
3,1457,24632,1731081
8,3556,26093,1729644
2,802,23829,1731910
12,743,23798,1731995
18,3929,26210,1729596
6,245,23837,1732014
17,2002,24810,1731470
12,1342,24102,1733521
4,2530,25613,1732654
19,3010,25795,1733021
10,3356,26947,1732122
18,5019,27831,1731512
18,5831,28635,1732989
18,5908,28860,1732787
9,6065,29710,1732039
23,0,0,1762099
8,4728,28639,1733711
6,407,21267,1741490
9,5005,29230,1734042
4,1632,28166,1735113
19,1680,28291,1735013
18,4666,29293,1734189
20,7709,30193,1733367
18,4517,29038,1734548
14,504,21858,1741918
16,4607,29276,1734673
15,1846,22729,1741874
3,2029,22777,1742812
11,1009,22565,1743048
18,3864,30148,1735465
17,2520,23614,1742211
10,2531,23295,1742822
17,2749,23727,1742504
2,751,22839,1743736
8,3414,24505,1742189
12,749,22948,1743918
4,1445,23872,1743163
1,3402,24200,1742978
15,3268,24220,1742997
12,731,22820,1744604
17,2040,24107,1743547
3,1565,23878,1743919
12,1003,21885,1746296
4,1614,22806,1745842
10,2136,24324,1744387
14,434,21713,1747370
16,3800,26224,1743188
11,794,21684,1747822
15,2136,22721,1746839
15,2356,22979,1746594
18,2858,23987,1745738
6,227,21084,1748648
22,1580,22566,1747195
2,764,21102,1749424
20,3827,24515,1746966
20,4198,24867,1747127
1,2570,23119,1749012
22,2009,22761,1749773
19,1247,22891,1749836
18,3260,23750,1749083
18,3109,23634,1749199
6,317,22161,1750691
20,3468,24447,1748433
20,4225,25333,1747974
2,641,20525,1752967
15,1366,23264,1750233
4,1494,22543,1751787
12,1074,21232,1753334
20,5041,25549,1749224
3,1542,21575,1753274
1,3125,24274,1751579
9,4051,25974,1750071
2,864,21657,1755253
1,3671,23721,1753447
18,4385,24888,1752330
23,0,1,1777326
23,0,1,1777365
10,3111,23401,1754559
14,743,20907,1757054
19,2202,23448,1754606
3,1446,22950,1755405
9,4242,24139,1754431
12,607,21085,1757576
11,711,21425,1757246
20,5965,25684,1753162
9,4190,24469,1754495
6,306,20831,1758136
4,1127,21660,1757429
12,689,20622,1758739
3,1190,21778,1757768
14,598,19649,1759916
16,5253,25369,1754450
2,876,19823,1760142
3,1151,21121,1758876
23,0,1,1780015
15,1362,21145,1759181
15,1022,20072,1760311
2,855,19205,1761196
10,1832,22387,1758014
4,916,19183,1761298
6,389,15961,1764830
20,4570,24698,1757040
4,2538,18311,1764627
10,3062,19859,1763199
4,2686,18724,1764344
10,2945,17768,1765968
12,1059,17389,1766740
20,4516,22530,1761805
8,4238,21106,1763458
9,4970,22720,1762214
15,4456,19084,1765853
17,2565,19113,1767187
8,3481,20287,1766132
19,2173,17933,1768575
16,4977,20731,1765984
6,635,17392,1769543
9,3992,20568,1766483
8,3719,19332,1768951
22,1962,18804,1769577
18,4353,20381,1768099
4,1912,18679,1769949
8,3737,19322,1769352
18,4421,20371,1768985
14,746,18361,1771014
8,3895,20673,1769730
12,1104,18243,1772217
11,1096,17741,1772729
23,0,1,1790645
9,4332,21068,1770315
1,3450,21170,1770762
8,3580,21383,1770579
22,1561,18745,1773220
18,3700,21663,1770321
22,1545,17173,1774832
4,802,14612,1777574
20,5258,22208,1769986
20,4591,21293,1771973
15,1566,15876,1777621
19,1641,15951,1777652
17,2985,15971,1779210
20,4736,20370,1774836
10,3159,16937,1779719
18,4706,18789,1777901
20,4853,18983,1777835
19,1823,16154,1780876
9,5120,19147,1777978
9,5130,18973,1778342
8,4426,18306,1779387
14,742,15818,1781953
18,4186,17258,1780531
2,1028,15913,1781934
10,2779,17906,1781563
22,2185,16583,1782918
19,1825,16403,1783116
3,1673,15774,1783745
12,510,15104,1784924
11,624,16148,1783946
14,621,14676,1785464
4,471,14209,1786356
15,1091,16103,1784488
4,469,14217,1786392
19,651,14533,1786146
20,5770,20090,1780859
16,4837,20328,1781165
20,4680,19119,1782687
3,1520,15018,1787066
19,1497,14816,1787273
12,760,14321,1787931
20,4830,19294,1783308
16,5327,19478,1783639
16,3234,16194,1787719
12,1451,14810,1789242
1,3735,16839,1787845
10,2921,16745,1787980
9,4609,17810,1787408
1,4282,17626,1788739
18,4813,17897,1789169
9,4987,18009,1789066
23,0,0,1807441
22,2461,14658,1793020
1,3769,17710,1789971
3,1328,14475,1793218
2,656,14389,1793332
18,3697,17363,1790387
9,3492,17220,1790998
2,719,14719,1793678
15,1201,14990,1793892
11,929,13604,1795723
22,1646,15154,1794185
22,1702,14616,1794807
15,1279,14027,1795469
10,1885,14666,1794969
2,564,11983,1797921
20,6919,20408,1789627
20,3384,17001,1793458
20,5912,19969,1790628
4,1210,12706,1797927
22,1780,13908,1797199
15,1547,12196,1798986
2,773,11182,1800050
8,2462,14837,1796507
17,2019,12966,1798549
2,913,9717,1801829
12,960,11501,1800055
14,747,9441,1802821
10,2364,12930,1799473
11,1295,10350,1802289
2,1101,9692,1802956
6,535,9294,1803881
3,2201,11184,1802249
22,2331,11290,1802147
22,2280,11266,1802196
11,1417,9827,1804237
9,4180,14722,1799362
2,957,9829,1804304
6,686,8103,1806045
15,1779,10466,1803712
10,2666,10948,1803274
22,2673,11372,1803564
11,1572,9563,1806073
3,2355,9837,1806602
1,3713,11842,1805308
19,2951,9448,1807725
2,830,9118,1808862
4,3126,9898,1808165
9,5148,13790,1804791
8,4454,11424,1807162
9,4942,11503,1807588
8,2188,9988,1809374
15,2960,10686,1808713
12,821,8686,1810721
22,1467,9483,1809965
18,3892,11018,1808510
16,5435,12008,1807605
23,0,0,1819891
15,1982,9746,1810298
12,838,8245,1812041
11,955,8438,1812045
12,1107,8811,1812340
12,1020,8930,1812376
22,2048,9323,1812338
1,3220,11399,1810911
18,3992,12255,1810318
14,495,8918,1814151
2,790,9030,1814071
17,2037,10460,1812728
9,3824,11529,1811703
23,0,0,1823586
23,0,0,1823956
12,756,7894,1816093
20,4737,12575,1811561
20,4791,12977,1811177
18,3772,11728,1812528
18,3398,11910,1813150
16,3799,11965,1813141
6,275,7477,1817904
15,2321,11114,1814275
4,1281,7964,1817471
19,1314,8500,1816949
1,2546,10413,1815322
18,2768,11539,1814329
14,801,7174,1819362
17,2351,9514,1817896
11,1546,7390,1820024
22,2363,9178,1818574
22,2480,9095,1818821
10,2660,9065,1819044
19,1895,8026,1820406
1,3525,10814,1818091
20,5254,12328,1816914
20,5027,11515,1817767
22,1915,8668,1820657
23,0,0,1829707
11,1039,8243,1822038
2,1005,7584,1822704
22,1926,8494,1821863
2,658,7607,1823332
18,3568,10322,1820660
8,3242,9924,1821234
20,4259,10991,1821020
23,0,0,1832300
11,1487,7084,1825341
9,4340,10994,1821455
22,2240,8364,1824164
1,3897,10857,1821945
11,1211,6979,1826243
10,2803,7809,1826152
1,4165,9506,1825016
4,1856,6856,1827802
20,5707,11878,1823154
17,2705,7768,1827387
4,1934,7259,1827898
14,632,5453,1830334
22,1846,7784,1828023
15,3446,8947,1826925
12,973,5656,1830473
9,5211,10594,1825599
12,1077,6242,1830642
18,4362,9456,1827434
6,572,6053,1831409
17,2623,7814,1829842
4,2106,7360,1830534
23,0,0,1837969
19,2169,7078,1830963
19,1933,6913,1831213
1,3621,8443,1829837
1,3763,9035,1829250
23,0,0,1839007
10,2767,8296,1831356
22,2343,8336,1831663
16,4035,9183,1830981
4,2638,8190,1832727
10,3265,9446,1831712
14,792,8532,1833419
12,1286,8840,1833363
9,5358,11342,1831478
1,4830,10957,1832000
10,2860,9701,1833324
18,5060,11124,1831977
3,1197,9763,1833637
15,3631,10410,1833220
18,4279,10990,1832940
19,1622,10580,1833862
4,1449,10333,1834516
22,1924,10727,1834298
3,1397,9911,1835117
3,1154,9857,1835227
20,6804,12242,1832847
23,0,0,1845331
6,434,9842,1835620
6,504,9830,1835758
14,501,9748,1835842
1,2617,11390,1834252
8,2712,11682,1833986
6,389,9318,1836533
3,1266,10627,1835489
20,4316,12820,1833446
23,0,1,1846437
12,1038,9169,1837537
11,1061,9244,1837668
19,2056,10797,1836849
3,1762,10203,1837675
11,1191,9747,1838150
1,3338,12771,1835591
19,2141,10395,1838013
6,662,10078,1838461
20,4187,13378,1835251
1,3866,12582,1836925
2,969,9819,1839779
18,4467,13501,1836554
23,0,0,1850113
19,2343,11528,1839355
17,2928,12558,1838733
18,4418,13072,1838257
19,2192,11036,1840754
