query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,4,1759147777251,100304,2460,4677,1
17,3,1759147776948,100001,2459,4980,1
17,16,1759147782356,105409,2014,2017,1
17,23,1759147786263,109316,0,2,2
17,19,1759147784555,107608,4550,4552,2
17,17,1759147783805,106858,4409,5309,1
17,22,1759147778206,101259,8253,14166,1
17,4,1759147780526,103579,8419,11896,1
17,2,1759147786435,109488,1228,7164,1
17,2,1759147786665,109718,1178,6935,1
17,1,1759147781410,104463,10751,13419,0
17,22,1759147785157,108210,6121,10079,1
17,4,1759147784835,107888,7871,12142,1
17,10,1759147784627,107680,13008,13887,1
17,15,1759147790366,113419,1838,8448,0
17,2,1759147791858,114911,506,7161,0
17,8,1759147787916,110969,5420,11104,1
17,22,1759147788763,111816,5401,11468,1
17,23,1759147800630,123683,0,0,0
17,16,1759147789907,112960,5942,11271,1
17,9,1759147780086,103139,20187,24184,0
17,4,1759147792608,115661,6458,12870,0
17,4,1759147793037,116090,6459,12441,0
17,18,1759147783179,106232,22332,22334,2
17,18,1759147781611,104664,23325,25709,1
17,3,1759147793202,116255,7499,14527,0
17,2,1759147796084,119137,449,12093,0
17,19,1759147794536,117589,2811,13752,0
17,11,1759147795824,118877,1826,13323,1
17,2,1759147797878,120931,969,11268,0
17,18,1759147778429,101482,25015,30811,0
17,11,1759147798959,122012,1451,11638,0
17,22,1759147795356,118409,5705,15828,0
17,2,1759147801414,124467,511,10282,0
17,11,1759147803400,126453,1478,9773,0
17,4,1759147795642,118695,7966,17835,0
17,22,1759147801015,124068,5749,13975,0
17,10,1759147794060,117113,11651,21862,0
17,19,1759147803660,126713,3089,12602,0
17,18,1759147787486,110539,24372,30486,2
17,15,1759147806170,129223,2252,12003,0
17,4,1759147799888,122941,9133,18392,1
17,9,1759147792235,115288,21204,27784,1
17,3,1759147801384,124437,10650,19863,0
17,19,1759147808234,131287,2968,13013,0
17,10,1759147798342,121395,12959,22905,0
17,2,1759147809395,132448,1120,12973,0
17,14,1759147808750,131803,1579,14076,1
17,12,1759147808953,132006,2431,14725,0
17,20,1759147806685,129738,6254,17539,0
17,6,1759147810071,133124,572,14180,0
17,3,1759147806474,129527,8005,17794,0
17,1,1759147803782,126835,10999,20694,0
17,2,1759147811621,134674,526,13157,0
17,11,1759147811023,134076,2141,15343,1
17,3,1759147806917,129970,8192,19450,1
17,18,1759147793512,116565,25310,32975,0
17,12,1759147813282,136335,1760,13256,0
17,2,1759147814931,137984,549,12106,1
17,6,1759147815750,138803,1661,12449,0
17,8,1759147809688,132741,5507,18644,0
17,10,1759147808633,131686,10035,21421,0
17,14,1759147816952,140005,1924,13304,0
17,17,1759147814165,137218,5061,17262,0
17,3,1759147809508,132561,9336,22195,0
17,17,1759147816826,139879,6104,17477,0
17,15,1759147820595,143648,2600,13709,0
17,19,1759147817114,140167,4267,17206,0
17,20,1759147815863,138916,8778,19951,0
17,10,1759147813001,136054,13969,25445,1
17,1,1759147812784,135837,14177,25661,0
17,9,1759147805517,128570,23457,32929,0
17,4,1759147817869,140922,8320,20708,0
17,12,1759147822954,146007,1787,17279,0
17,20,1759147820771,143824,6032,19565,0
17,15,1759147821757,144810,2033,18722,1
17,20,1759147821092,144145,6619,19831,0
17,16,1759147821687,144740,5392,19519,0
17,6,1759147826347,149400,822,14953,0
17,2,1759147827791,150844,1245,14754,0
17,10,1759147814257,137310,16181,28289,0
17,3,1759147821302,144355,8226,21245,1
17,10,1759147818432,141485,13279,26274,0
17,11,1759147830156,153209,2165,14557,1
17,23,1759147844712,167765,0,1,1
17,12,1759147828783,151836,2474,16237,0
17,8,1759147827069,150122,5306,19160,0
17,6,1759147830568,153621,1524,15662,0
17,2,1759147831978,155031,617,14868,0
17,23,1759147847737,170790,0,1,1
17,4,1759147825983,149036,7535,21888,1
17,17,1759147831277,154330,4053,17488,0
17,2,1759147834446,157499,693,15012,1
17,11,1759147833646,156699,1632,15856,0
17,23,1759147850437,173490,0,1,0
17,23,1759147850632,173685,0,0,0
17,1,1759147824632,147685,10496,26097,0
17,23,1759147851017,174070,0,0,0
17,20,1759147831500,154553,6244,19764,0
17,23,1759147851866,174919,0,1,0
17,1,1759147829709,152762,10397,23235,0
17,22,1759147831983,155036,6869,21116,0
17,2,1759147837711,160764,506,15894,0
17,17,1759147834890,157943,4148,18715,0
17,6,1759147838477,161530,1150,16279,0
