query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,23,1758808616424,109314,0,0,0
17,22,1758808608368,101258,16338,17131,0
17,23,1758808630793,123683,0,0,0
17,4,1758808607413,100303,33645,34402,0
17,3,1758808607110,100000,34640,35433,0
17,4,1758808610689,103579,31701,32427,1
17,16,1758808612518,105408,39492,40220,0
17,17,1758808613967,106857,38904,50437,0
17,22,1758808615319,108209,14314,51734,0
17,2,1758808616597,109487,3073,50881,0
17,2,1758808616827,109717,630,50856,0
17,18,1758808608592,101482,60701,61438,0
17,1,1758808611573,104463,60677,61388,0
17,19,1758808614716,107606,31695,58795,0
17,9,1758808610249,103139,63199,63927,0
17,10,1758808614789,107679,31791,59545,0
17,2,1758808622021,114911,566,52722,0
17,23,1758808674874,167764,0,1,0
17,23,1758808677899,170789,0,0,0
17,15,1758808620529,113419,5719,58700,0
17,4,1758808614997,107887,36946,65065,0
17,23,1758808680600,173490,0,0,0
17,23,1758808680796,173686,0,1,1
17,23,1758808681180,174070,0,0,0
17,23,1758808682029,174919,0,0,0
17,22,1758808618925,111815,17004,68110,0
17,23,1758808687803,180693,0,1,0
17,16,1758808620069,112959,17250,70143,0
17,23,1758808691715,184605,0,0,0
17,23,1758808694874,187764,0,1,1
17,23,1758808700319,193209,0,1,1
17,18,1758808613341,106231,86733,87490,1
17,18,1758808611773,104663,88515,89237,0
17,23,1758808705701,198591,0,0,0
17,4,1758808622771,115661,31643,83614,0
17,4,1758808623200,116090,27369,83398,0
17,23,1758808707244,200134,0,1,0
17,23,1758808707373,200263,0,1,0
17,3,1758808623365,116255,28175,84872,0
17,2,1758808626248,119138,725,82715,1
17,2,1758808628041,120931,640,81561,0
17,8,1758808618078,110968,42833,92437,0
17,22,1758808625519,118409,11957,87448,0
17,23,1758808714340,207230,0,2,1
17,11,1758808625986,118876,9024,89637,0
17,11,1758808629122,122012,5951,87345,0
17,10,1758808624223,117113,26778,92768,0
17,2,1758808631577,124467,608,86021,0
17,11,1758808633563,126453,5305,89340,0
17,23,1758808724142,217032,0,1,1
17,22,1758808631178,124068,10288,94733,0
17,9,1758808622398,115288,57662,109599,1
17,10,1758808628505,121395,22783,103880,0
17,19,1758808624699,117589,35597,111728,0
17,4,1758808625805,118695,31854,112434,0
17,15,1758808636333,129223,5919,101971,0
17,3,1758808631547,124437,28915,113835,0
17,4,1758808630050,122940,32453,115370,0
17,18,1758808617647,110537,91924,141754,0
17,3,1758808637079,129969,22820,124046,0
17,3,1758808636638,129528,24706,124496,1
17,2,1758808639558,132448,509,122084,0
17,18,1758808623675,116565,77334,140693,0
17,19,1758808633823,126713,41783,130863,0
17,14,1758808638912,131802,5312,125802,0
17,20,1758808636848,129738,29257,130649,0
17,2,1758808641784,134674,468,126180,0
17,10,1758808638796,131686,24361,130985,0
17,6,1758808640234,133124,5226,129678,0
17,12,1758808639116,132006,11213,133222,0
17,19,1758808638397,131287,27257,134243,0
17,11,1758808641185,134075,8717,132245,0
17,2,1758808645093,137983,684,129021,0
17,23,1758808776438,269328,0,0,0
17,9,1758808635680,128570,47570,143886,0
17,1,1758808633945,126835,53704,145669,0
17,12,1758808643445,136335,12363,138830,0
17,23,1758808786256,279146,0,1,0
17,6,1758808645913,138803,12173,140374,0
17,23,1758808786868,279758,0,0,0
17,14,1758808647115,140005,6343,141503,0
17,3,1758808639671,132561,27468,149440,0
17,23,1758808790319,283209,0,1,0
17,23,1758808792444,285334,0,0,0
17,8,1758808639851,132741,30140,154658,0
17,23,1758808796962,289852,0,0,0
17,10,1758808643163,136053,28708,155327,0
17,17,1758808644328,137218,27762,155772,0
17,15,1758808650758,143648,5999,149749,0
17,10,1758808644420,137310,27928,156149,0
17,20,1758808646026,138916,25283,158824,0
17,17,1758808646990,139880,28548,161174,1
17,15,1758808651919,144809,5452,158383,0
17,16,1758808651850,144740,10692,159410,0
17,19,1758808647277,140167,27822,166833,0
17,20,1758808651255,144145,16764,165610,0
17,20,1758808650934,143824,18639,166194,0
17,10,1758808648595,141485,28610,169126,0
17,12,1758808653117,146007,12175,169361,0
17,6,1758808656510,149400,5764,166382,0
17,2,1758808657954,150844,629,165567,0
17,23,1758808823679,316569,0,0,0
17,1,1758808642947,135837,55770,180788,0
17,4,1758808648032,140922,40461,181048,0
17,3,1758808651464,144354,29836,178880,0
17,11,1758808660318,153208,8037,176798,0
17,6,1758808660731,153621,7325,176939,0
17,12,1758808658946,151836,16108,180683,0
17,2,1758808662141,155031,2079,179567,0
17,4,1758808656145,149035,26906,187625,0
17,23,1758808846620,339510,0,0,0
17,8,1758808657232,150122,30924,191414,0
17,9,1758808652035,144925,43540,199668,0
17,2,1758808664608,157498,1863,188959,0
17,22,1758808662146,155036,14413,193975,0
17,9,1758808654539,147429,44991,201713,0
17,23,1758808857156,350046,0,0,0
17,11,1758808663809,156699,8837,193674,0
17,20,1758808661663,154553,21601,197608,0
17,17,1758808661441,154331,24026,199702,1
17,2,1758808667875,160765,708,193977,1
17,23,1758808862412,355302,0,1,0
17,23,1758808867366,360256,0,0,0
17,16,1758808666340,159230,12202,201983,0
17,23,1758808868557,361447,0,0,0
17,1,1758808654795,147685,55022,214337,0
17,23,1758808871478,364368,0,0,0
17,9,1758808657823,150713,50174,214829,0
17,23,1758808873237,366127,0,1,0
17,14,1758808668759,161649,6049,206421,0
17,17,1758808665053,157943,22801,211314,0
17,1,1758808659872,152762,52661,216524,0
17,6,1758808668640,161530,8856,208540,0
17,15,1758808669777,162667,6129,209004,0
17,17,1758808667884,160774,18942,212908,0
17,8,1758808667011,159901,28338,218811,0
17,23,1758808886425,379315,0,1,1
17,19,1758808667583,160473,31257,222945,0
17,16,1758808671962,164852,15742,220960,0
17,23,1758808896233,389123,0,1,1
17,1,1758808662658,155548,54337,235450,0
17,15,1758808673399,166289,6715,226238,0
17,16,1758808672292,165182,14091,227621,0
17,19,1758808670525,163415,28740,234582,0
