query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,3,1758886156092,100001,1441,2265,1
17,4,1758886156394,100303,2063,2823,0
17,22,1758886157350,101259,2049,2763,1
17,4,1758886159669,103578,3021,3022,0
17,23,1758886165406,109315,0,1,1
17,17,1758886162949,106858,3912,3914,1
17,19,1758886163697,107606,2692,3419,0
17,2,1758886165579,109488,543,2081,1
17,1,1758886160555,104464,7358,7359,1
17,16,1758886161500,105409,5957,6722,1
17,2,1758886165809,109718,596,2447,1
17,4,1758886163978,107887,7255,7978,0
17,22,1758886164301,108210,7416,9977,1
17,8,1758886167060,110969,6142,7303,1
17,9,1758886159231,103140,15305,15307,1
17,10,1758886163770,107679,10083,10798,0
17,2,1758886171003,114912,593,3953,1
17,22,1758886167907,111816,6859,7209,1
17,15,1758886169510,113419,1329,6096,0
17,18,1758886157573,101482,17569,18308,0
17,16,1758886169051,112960,5178,8084,1
17,23,1758886179774,123683,0,1,0
17,19,1758886173681,117590,2759,6213,1
17,4,1758886171752,115661,6110,8925,0
17,3,1758886172346,116255,6914,9683,0
17,18,1758886160754,104663,20712,21428,0
17,4,1758886172181,116090,7503,10278,0
17,2,1758886175229,119138,512,7465,1
17,2,1758886177023,120932,590,6026,1
17,11,1758886174967,118876,1451,8514,0
17,11,1758886178104,122013,1462,6408,1
17,22,1758886174500,118409,5342,10735,0
17,10,1758886173204,117113,9531,12208,0
17,2,1758886180558,124467,509,5363,0
17,4,1758886174786,118695,6551,12442,0
17,11,1758886182544,126453,1438,4815,0
17,18,1758886162321,106230,26012,26720,0
17,19,1758886182804,126713,2828,7252,0
17,22,1758886180159,124068,6134,10485,0
17,18,1758886166628,110537,22733,24018,0
17,4,1758886179032,122941,9066,13517,1
17,15,1758886185314,129223,2735,7477,0
17,9,1758886171378,115287,19451,22611,0
17,10,1758886177486,121395,11646,16853,0
17,3,1758886180528,124437,9685,14393,0
17,14,1758886187893,131802,1388,7835,0
17,19,1758886187379,131288,2959,8372,1
17,2,1758886188539,132448,482,7671,0
17,12,1758886188097,132006,1979,8804,0
17,1,1758886182926,126835,9836,14269,0
17,6,1758886189216,133125,740,8426,1
17,18,1758886172657,116566,22147,25098,1
17,3,1758886185618,129527,7244,12270,0
17,2,1758886190765,134674,517,7393,0
17,20,1758886185830,129739,7771,12588,1
17,11,1758886190166,134075,1423,8452,0
17,3,1758886186060,129969,6692,13181,0
17,2,1758886194074,137983,594,5760,0
17,12,1758886192426,136335,2238,7971,0
17,6,1758886194894,138803,978,5918,0
17,8,1758886188832,132741,5149,12527,0
17,17,1758886193309,137218,4466,9574,0
17,14,1758886196097,140006,1872,7136,1
17,3,1758886188653,132562,8852,15950,1
17,17,1758886195971,139880,4535,9378,1
17,19,1758886196258,140167,3520,10145,0
17,10,1758886187777,131686,13199,19410,0
17,15,1758886199739,143648,2037,7645,0
17,1,1758886191928,135837,10346,16171,0
17,20,1758886195007,138916,8341,13731,0
17,15,1758886200900,144809,2637,10475,0
17,10,1758886192144,136053,13953,19697,0
