query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
17,23,1758727642544,109314,0,1,0
17,22,1758727634488,101258,7946,9382,0
17,23,1758727656913,123683,0,0,0
17,16,1758727638638,105408,21639,23100,0
17,4,1758727633533,100303,32455,34454,0
17,3,1758727633231,100001,37251,39552,1
17,4,1758727636810,103580,43656,44789,2
17,22,1758727641440,108210,6493,46652,1
17,2,1758727642717,109487,4972,50346,0
17,2,1758727642948,109718,469,50586,1
17,18,1758727639460,106230,59365,60867,0
17,18,1758727637893,104663,60859,62437,0
17,18,1758727634713,101483,64407,65618,1
17,17,1758727640087,106857,56928,60711,0
17,23,1758727700995,167765,0,1,1
17,23,1758727704020,170790,0,1,1
17,19,1758727640836,107606,43000,63902,0
17,2,1758727648141,114911,502,57099,0
17,23,1758727706720,173490,0,1,0
17,23,1758727706915,173685,0,0,0
17,23,1758727707301,174071,0,1,1
17,23,1758727708150,174920,0,1,1
17,10,1758727640909,107679,40641,67720,0
17,1,1758727637694,104464,71617,73185,1
17,15,1758727646649,113419,11506,65655,0
17,23,1758727713924,180694,0,1,1
17,22,1758727645045,111815,14437,69721,0
17,9,1758727636369,103139,77271,78398,0
17,4,1758727641117,107887,41986,73650,0
17,23,1758727717836,184606,0,1,1
17,16,1758727646189,112959,18132,72273,0
17,23,1758727720994,187764,0,1,1
17,22,1758727651639,118409,6129,72952,0
17,23,1758727726439,193209,0,1,1
17,23,1758727731822,198592,0,1,1
17,23,1758727733365,200135,0,1,1
17,23,1758727733494,200264,0,1,1
17,23,1758727740460,207230,0,1,1
17,10,1758727650343,117113,29874,94298,0
17,18,1758727643767,110537,52977,102743,0
17,19,1758727650819,117589,31791,95739,0
17,2,1758727654161,120931,1076,93474,0
17,2,1758727652367,119137,1125,95268,0
17,3,1758727649485,116255,35332,98151,0
17,4,1758727648891,115661,40550,100289,0
17,4,1758727649320,116090,38303,99860,0
17,23,1758727750261,217031,0,0,0
17,8,1758727644198,110968,52129,108258,0
17,4,1758727651925,118695,27865,100531,0
17,2,1758727657697,124467,615,95374,0
17,9,1758727648517,115287,48651,105374,0
