query_id,query_duration,query_duration_with_queue,start_delay
19,330,1044,821
4,849,1644,602
22,534,535,2736
10,657,658,4715
12,302,303,11711
4,1228,1229,12234
6,194,927,13099
19,259,260,14203
16,2491,2492,13488
1,883,884,17560
3,668,669,19303
23,0,0,23720
2,253,253,29952
4,690,692,38703
10,695,1427,39235
12,309,310,45377
19,260,261,45498
14,238,239,54127
18,1962,1963,54791
12,300,300,59598
15,583,584,61061
6,191,192,63949
17,357,357,66706
9,1565,1566,74260
10,631,632,77574
15,561,561,78769
18,1988,2796,79240
15,588,1384,81151
16,3851,3851,79348
8,461,462,83189
22,529,530,86014
17,361,361,87719
10,660,660,90160
23,0,0,94535
2,258,259,94427
1,889,890,95089
16,2311,3026,106353
4,696,1442,109278
4,717,718,111285
9,1543,1544,111709
22,532,533,115164
4,687,687,118081
18,2018,2019,120733
12,347,1057,123732
9,1657,1658,123501
20,1545,2277,123615
6,206,206,130674
15,570,570,132693
23,0,0,134107
1,888,888,138247
19,459,460,145510
18,2097,7881,139091
1,912,912,146221
17,370,1135,146308
4,695,1412,158365
3,683,683,161020
1,895,1647,175680
6,202,950,176714
6,204,205,179359
17,489,490,179616
12,323,323,180357
9,1764,1765,179284
3,868,869,180741
16,2843,2843,183626
22,542,542,190138
15,604,604,190742
10,728,729,196566
14,283,283,199233
2,255,255,199692
11,293,1018,200821
18,2320,2321,199963
16,2719,3477,200944
16,2841,2841,203057
15,625,625,211316
4,701,702,211564
16,2770,2772,215098
23,0,0,219574
11,258,258,221745
20,1151,1151,223502
6,209,209,224958
8,454,455,228056
18,2192,2193,228677
10,753,1502,230695
16,2435,2435,232495
16,3142,3143,234648
8,454,454,247727
16,3355,3355,253296
18,2133,2861,254126
3,812,813,257392
17,359,360,260682
11,249,250,261329
10,748,749,262664
12,302,303,263666
22,534,535,264885
4,698,698,266714
3,789,789,268290
23,0,0,270142
1,883,883,270132
18,2148,2148,271577
2,253,254,273826
20,1734,2531,271596
12,354,355,274172
18,2117,2118,274295
1,882,882,278030
2,253,253,283296
2,253,253,284745
16,2423,2424,287549
3,781,1544,289519
16,2386,3102,288046
10,827,827,291036
16,3228,3229,293533
12,303,304,297614
1,1216,1216,300465
18,2423,2424,299811
19,277,1022,348188
1,880,881,351680
9,2071,2071,358531
22,530,530,365343
15,607,608,366566
1,899,1666,367594
16,2411,2411,367218
11,246,247,373275
11,635,635,374522
18,2096,2097,373948
20,1304,1305,376215
1,881,883,386243
4,690,690,387588
22,663,1396,387729
4,698,698,390460
16,3298,3298,388415
14,397,398,392887
10,881,882,392738
6,185,186,394618
15,592,593,395453
22,532,533,396551
19,267,268,398718
3,792,793,401139
22,539,540,402372
12,290,291,404909
10,710,711,408446
11,248,249,410320
2,254,255,411590
14,293,1114,416401
16,3238,3239,415162
9,1721,1722,417848
4,1362,1362,420177
18,2349,2350,419816
20,1831,2589,432639
18,2286,3054,432312
3,859,1592,434013
1,921,1695,434383
15,633,633,436539
8,455,455,439506
11,258,259,447661
14,282,282,448855
17,370,1119,461898
2,258,259,463132
4,689,690,465746
9,2064,2065,471284
16,2093,2093,473349
8,610,611,475594
10,785,1545,474956
22,547,548,478385
10,744,745,480419
12,297,297,482606
22,536,537,486374
3,808,808,487263
8,458,458,493899
8,470,1248,494013
16,2644,2645,496848
18,2120,2121,497778
20,1257,1257,503751
19,390,390,504820
15,596,597,507059
10,783,784,508473
19,263,263,510321
12,296,297,511586
22,539,540,513023
15,603,603,518353
8,550,1284,518515
10,771,771,520736
16,3154,3155,519068
2,419,1178,521684
14,624,625,522691
18,2265,2265,521535
19,272,273,523972
3,788,789,524615
20,1394,1395,525384
18,2175,2176,526366
3,756,756,531657
10,734,735,533681
10,675,675,535433
20,1220,1221,540817
15,593,593,543014
15,603,603,545850
15,601,602,549855
22,537,537,551666
11,254,255,554565
12,290,291,556596
11,248,249,557858
3,837,838,559132
15,595,596,561189
1,887,887,568380
12,296,297,576329
22,530,531,578606
11,251,253,584629
4,952,1735,587157
8,575,1285,587968
18,2317,2318,586987
11,251,252,592972
2,270,1048,606960
1,889,1601,607359
1,881,882,609700
23,0,0,614791
1,881,881,614044
10,745,747,618607
6,238,965,619063
10,837,837,619583
8,487,488,621476
16,2555,2555,621724
1,884,884,626022
22,529,529,629126
8,454,455,632437
22,522,522,633780
3,777,777,637715
12,303,304,638535
2,270,1015,638445
14,280,280,642514
8,457,458,644205
23,0,0,647640
16,2543,2544,647516
22,537,539,654729
19,560,561,657303
8,465,1272,657846
4,694,694,662290
8,455,456,667506
9,1711,1712,669054
22,531,532,671136
12,305,1037,671442
22,547,1264,691399
1,890,891,694315
2,468,1232,696299
18,2359,2359,696151
12,304,304,699545
16,2715,3427,697110
17,356,357,701525
17,353,353,705031
18,2151,2152,705395
20,1252,1253,709564
15,594,595,718520
9,1994,1995,720280
11,242,243,723352
18,2115,2116,726114
17,352,352,728318
4,809,809,735619
20,1205,1205,737432
18,2173,2174,742476
14,274,275,748763
11,250,250,750854
23,0,0,754372
22,521,522,754463
23,0,1,762158
22,528,528,761667
12,306,307,769580
19,279,1039,773368
20,1200,1201,773286
3,848,1606,773720
4,806,807,774564
3,863,863,778448
9,2076,2077,778691
12,328,329,780631
4,688,689,781150
1,882,882,782648
8,457,457,783492
17,363,363,785491
8,455,456,789046
17,352,353,789408
6,187,187,790791
14,275,276,792148
12,621,622,795133
18,2216,2216,794321
3,809,810,801194
14,279,280,804036
14,276,277,804755
1,880,881,805085
19,258,260,808575
2,250,252,816472
20,1115,1116,818104
11,266,1037,830121
17,368,369,834612
12,312,312,835144
11,255,256,838879
11,257,258,841069
2,258,258,843632
20,1278,1278,843957
17,363,364,848484
10,737,737,851688
23,0,0,853815
11,262,263,857242
1,892,892,857786
11,256,257,861693
10,737,737,864288
23,0,0,872776
23,0,0,874858
16,3150,3151,873370
6,200,958,876300
2,259,260,877617
4,753,753,884732
10,755,756,885006
11,252,253,885733
2,257,258,886305
15,605,605,886111
11,252,253,887126
17,371,372,890875
16,2216,2216,889372
8,449,450,893926
22,535,536,896524
17,364,365,900724
23,0,1,905429
18,2102,2103,906890
9,1983,1983,912117
12,304,304,921068
15,590,590,922315
11,253,255,927102
1,883,883,928834
6,176,177,930492
16,2757,2758,931430
12,281,282,934795
20,1163,1935,933321
18,2147,2147,940571
4,928,929,942748
6,194,195,945913
2,271,1056,958723
19,283,284,960349
12,306,306,963138
9,2048,2049,963761
3,1910,1910,965938
18,2616,3377,965300
16,3060,3820,966627
3,793,793,972911
12,303,303,976137
12,309,310,977050
23,0,1,988112
8,515,1280,988419
8,492,1216,988619
6,217,217,991246
18,2235,2235,989971
10,780,780,994125
8,543,543,994474
1,894,1620,994887
20,1220,1221,996596
22,533,534,998207
15,594,594,1000723
8,450,450,1002632
22,531,531,1006889
3,781,781,1007643
9,2081,2081,1009425
20,1238,1965,1011267
14,289,290,1014032
2,259,1023,1037779
4,692,692,1038917
15,600,601,1040646
20,1354,2085,1039549
14,282,282,1041916
20,1111,1112,1047369
23,0,0,1050595
4,709,1457,1060467
2,269,1014,1061266
22,531,531,1066904
15,597,598,1067731
4,697,697,1069293
4,808,810,1071831
9,1809,1810,1071676
9,1725,1727,1074562
1,886,888,1081514
4,700,701,1082704
10,762,764,1084572
23,0,1,1085541
1,885,887,1087005
14,275,275,1092041
20,1161,1893,1092044
23,0,0,1098143
8,459,460,1098963
1,885,885,1100212
19,267,268,1102173
12,287,288,1102638
8,447,448,1108441
17,367,1142,1123473
23,0,0,1132807
18,2158,2159,1132924
6,208,208,1135269
2,258,259,1136928
20,1116,1116,1138335
6,183,184,1139583
1,885,886,1145512
22,526,526,1146751
8,457,458,1152129
10,1346,2109,1152504
18,2849,2850,1153429
