query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
2,3,9,5184,5707,38.94,112050.0
3,11,3048,2804,3187,12.18,15720.0
3,10,4062,3509,3874,37.8,95110.0
8,12,4645,5036,5393,231.89,449400.0
5,13,4773,3588,3940,58.1,438060.0
3,11,5947,334,760,12.18,15720.0
2,11,7941,2681,2681,12.18,15720.0
10,10,8094,4415,4762,497.0,1236430.0
13,7,8405,19015,19427,1616.34,1893790.0
3,9,8770,3096,3097,71.45,127850.0
3,6,8852,2651,2652,32.98,17490.0
3,12,10345,3196,3196,33.19,64200.0
3,14,10531,713,1686,52.0,29000.0
5,18,12607,4866,4867,83.54,617040.0
3,10,13558,193,194,37.8,95110.0
3,19,13630,2698,2699,51.4,51580.0
8,2,14540,6928,6929,79.16,386050.0
13,18,14695,23140,23488,862.73,6376080.0
19,5,17318,32394,32815,17448.96,2356364.0
3,12,17760,293,294,33.19,64200.0
8,8,18238,10364,10716,441.41,472360.0
8,9,18353,11663,12497,492.09,894950.0
3,22,19461,1571,1572,6.29,19820.0
8,13,19948,6384,7905,137.23,1022140.0
3,22,20146,885,887,6.29,19820.0
3,14,20495,322,324,52.0,29000.0
3,16,20749,1260,1330,3.42,32790.0
3,9,21517,130,132,71.45,127850.0
13,1,22218,19988,20316,1146.88,4636360.0
11,13,22235,13747,14123,340.48,2482340.0
8,11,22888,1658,6623,89.68,110040.0
8,4,24351,10576,15179,171.69,407330.0
8,10,24407,1819,6924,266.13,665770.0
8,17,24474,1999,8375,266.05,297010.0
8,23,24772,0,1,0.0,
8,3,25660,1966,7637,274.96,784350.0
8,10,25750,186,7286,266.13,665770.0
8,20,27209,1944,7770,358.53,324170.0
16,8,27318,19615,19962,5570.56,5735800.0
8,15,32144,1484,2637,630.71,324730.0
15,18,32585,11097,11478,1638.4,12135120.0
8,11,37150,553,554,89.68,110040.0
9,21,39017,9382,9757,1034.24,1131400.0
8,8,40494,1083,1083,441.41,472360.0
8,23,40610,0,0,0.0,
8,13,41475,1379,1379,137.23,1022140.0
5,6,41607,1704,2045,98.91,52470.0
3,6,41673,230,630,32.98,17490.0
8,2,41686,549,550,79.16,386050.0
3,6,42308,268,270,32.98,17490.0
3,14,42584,314,315,52.0,29000.0
19,22,43664,18535,18931,2775.04,7055920.0
3,5,44229,9063,9064,41.06,6619.0
3,21,44859,3465,3820,80.86,113140.0
2,14,45303,755,1149,52.0,29000.0
8,8,47074,1101,1101,441.41,472360.0
3,16,47646,1114,1470,3.42,32790.0
3,20,48323,983,1339,53.74,46310.0
8,21,49883,3681,3682,680.89,791980.0
3,17,50774,419,420,45.17,42430.0
19,15,50960,2420,2422,32419.84,16514840.0
11,17,53822,1968,2340,659.24,721310.0
