query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
13,17,1759850099504,3728,927,1473,1
13,12,1759850100007,4231,533,1053,0
13,1,1759850098593,2817,2253,3069,1
13,12,1759850106213,10437,342,343,0
13,18,1759850106577,10801,1956,1956,0
13,4,1759850112227,16451,728,728,0
13,19,1759850112879,17103,506,507,0
13,2,1759850115200,19424,235,235,0
13,12,1759850117747,21971,320,321,0
13,3,1759850123007,27231,860,861,0
13,10,1759850123009,27233,1086,1086,0
13,2,1759850140548,44772,236,820,0
13,11,1759850144350,48574,281,281,0
13,4,1759850158295,62519,723,5408,0
13,22,1759850167026,71250,690,691,0
13,1,1759850168541,72765,1483,1483,0
13,10,1759850171998,76222,934,935,0
13,20,1759850174083,78307,1095,1096,0
13,2,1759850174936,79160,297,911,1
13,8,1759850174379,78603,770,1328,0
13,10,1759850174665,78889,1457,2185,0
13,6,1759850182004,86228,199,200,0
13,20,1759850181348,85572,1137,1137,0
13,12,1759850186461,90685,294,295,1
13,14,1759850191886,96110,313,314,0
13,20,1759850192130,96354,982,983,0
13,9,1759850192154,96378,1689,1739,0
13,14,1759850198319,102543,285,286,1
13,20,1759850198697,102921,999,1000,0
13,2,1759850199700,103924,237,238,0
13,8,1759850202033,106257,616,616,0
13,2,1759850208650,112874,263,264,0
13,3,1759850208244,112468,870,871,0
13,8,1759850210504,114728,552,552,0
13,11,1759850212627,116851,259,259,0
13,2,1759850213033,117257,282,283,0
13,15,1759850215381,119605,500,501,1
13,18,1759850212817,117041,3142,3142,1
13,19,1759850217394,121618,527,528,0
13,14,1759850218424,122648,316,317,0
13,1,1759850218945,123169,1434,1434,1
13,1,1759850227174,131398,1798,1798,0
13,20,1759850232233,136457,986,987,1
13,11,1759850232730,136954,339,1043,0
13,19,1759850233346,137570,1104,1729,1
13,16,1759850233030,137254,2918,3514,0
13,9,1759850233441,137665,3016,3644,0
13,11,1759850237851,142075,526,526,0
13,2,1759850239529,143753,324,325,0
13,22,1759850238835,143059,2284,2284,0
13,10,1759850238830,143054,2695,2695,0
13,20,1759850239659,143883,2665,2665,0
13,18,1759850236339,140563,4079,4080,1
13,22,1759850243226,147450,1018,1018,0
13,11,1759850244459,148683,296,297,0
13,10,1759850243922,148146,1558,1558,0
13,9,1759850245098,149322,2746,2747,0
13,17,1759850247804,152028,1336,1337,0
13,10,1759850247094,151318,1780,1781,0
13,6,1759850250456,154680,244,244,0
13,3,1759850250424,154648,1060,1061,0
13,16,1759850249774,153998,2526,2526,0
13,15,1759850252907,157131,331,331,0
13,18,1759850253416,157640,4628,4629,0
13,16,1759850257433,161657,3274,3275,0
13,14,1759850262226,166450,374,374,0
13,6,1759850264322,168546,189,189,0
13,16,1759850262612,166836,2012,2012,0
13,22,1759850264945,169169,993,993,0
13,23,1759850266496,170720,0,0,1
13,9,1759850265244,169468,2308,2876,0
13,22,1759850267426,171650,1363,1363,0
13,4,1759850271326,175550,931,932,0
13,15,1759850275480,179704,344,344,0
13,11,1759850277469,181693,357,358,0
13,4,1759850277745,181969,1127,1127,0
13,2,1759850280806,185030,244,244,0
13,10,1759850282436,186660,2519,2520,0
13,20,1759850283095,187319,1797,2290,0
13,17,1759850285600,189824,1145,1803,0
13,18,1759850281666,185890,4379,4380,0
13,10,1759850288741,192965,1569,1569,0
13,14,1759850289916,194140,546,547,0
13,14,1759850292518,196742,361,361,0
13,17,1759850293592,197816,783,784,0
13,9,1759850296138,200362,2871,2871,0
13,18,1759850297039,201263,5694,5694,1
13,15,1759850304600,208824,759,1279,0
13,17,1759850306626,210850,1318,1318,0
13,22,1759850307151,211375,2043,2044,0
13,16,1759850304342,208566,1837,2411,0
13,17,1759850307648,211872,1153,1755,0
13,18,1759850302938,207162,3886,3886,0
13,20,1759850311651,215875,1237,1237,0
13,9,1759850317194,221418,2422,2423,0
13,18,1759850317627,221851,3811,3812,0
13,11,1759850324880,229104,285,285,0
13,16,1759850320333,224557,2325,2940,0
13,15,1759850329966,234190,322,322,0
13,6,1759850331383,235607,187,187,0
13,11,1759850332642,236866,404,405,0
13,16,1759850332395,236619,2611,2611,0
13,6,1759850338403,242627,177,177,0
13,22,1759850338110,242334,842,843,0
13,2,1759850339437,243661,220,221,1
13,19,1759850339657,243881,547,548,0
13,16,1759850344785,249009,2734,2735,0
13,23,1759850349491,253715,0,0,0
13,11,1759850351416,255640,242,243,0
13,17,1759850355971,260195,478,478,0
13,8,1759850360682,264906,838,838,0
13,22,1759850361063,265287,887,1467,0
13,8,1759850366048,270272,965,965,0
13,1,1759850365777,270001,2237,2238,1
13,15,1759850368483,272707,445,445,0
13,1,1759850367730,271954,1674,1674,0
13,17,1759850370460,274684,595,595,0
13,23,1759850372559,276783,0,0,0
13,19,1759850374518,278742,489,489,0
13,2,1759850379474,283698,253,253,0
13,3,1759850382410,286634,957,957,0
13,11,1759850384363,288587,358,358,0
13,4,1759850383145,287369,828,1475,0
13,14,1759850385998,290222,367,367,0
13,10,1759850387639,291863,1658,1658,0
13,9,1759850387096,291320,2573,2574,1
13,17,1759850390035,294259,563,563,0
13,8,1759850394121,298345,627,628,0
13,22,1759850403771,307995,845,845,0
13,14,1759850404816,309040,317,317,0
13,12,1759850405248,309472,291,291,0
13,2,1759850408791,313015,233,233,0
13,22,1759850416301,320525,805,805,0
13,19,1759850421251,325475,604,605,0
13,10,1759850423641,327865,870,870,0
13,11,1759850424742,328966,335,923,0
13,6,1759850426441,330665,186,186,0
13,12,1759850427313,331537,592,592,0
13,14,1759850427424,331648,414,950,0
13,9,1759850426392,330616,2199,2199,0
13,19,1759850429235,333459,692,692,0
13,10,1759850429193,333417,1176,1176,1
13,12,1759850431648,335872,259,259,0
13,14,1759850433247,337471,398,399,0
13,22,1759850432644,336868,1228,1228,0
13,22,1759850433044,337268,1212,1212,0
13,9,1759850433844,338068,2340,2340,0
13,6,1759850437144,341368,161,161,0
13,16,1759850433396,337620,2391,3013,1
13,20,1759850439032,343256,1096,1096,0
13,17,1759850440463,344687,777,778,0
13,16,1759850438635,342859,2269,2269,0
13,2,1759850443636,347860,256,257,0
13,20,1759850445595,349819,1478,1479,0
13,18,1759850443894,348118,2996,2997,0
13,15,1759850449169,353393,340,341,1
13,12,1759850452901,357125,244,244,0
13,6,1759850456185,360409,165,165,0
13,14,1759850456718,360942,283,284,0
13,19,1759850457680,361904,554,555,1
13,3,1759850462321,366545,900,900,0
13,8,1759850464810,369034,700,701,0
13,2,1759850465792,370016,252,252,0
13,4,1759850467783,372007,759,760,1
13,8,1759850468354,372578,615,1249,0
13,14,1759850470016,374240,280,280,0
13,22,1759850473179,377403,836,836,0
13,23,1759850474709,378933,0,0,0
13,12,1759850643164,4232,641,1266,1
13,17,1759850642660,3728,1123,1812,1
13,1,1759850641749,2817,1890,2526,1
13,12,1759850649370,10438,313,314,1
13,18,1759850649734,10802,4154,4155,1
13,4,1759850655385,16453,712,713,2
13,19,1759850656036,17104,438,440,1
13,2,1759850658358,19426,253,254,2
13,12,1759850660904,21972,351,352,1
13,3,1759850666164,27232,1305,1307,1
13,10,1759850666165,27233,1302,1303,0
13,2,1759850683705,44773,223,787,1
13,11,1759850687506,48574,304,305,0
13,4,1759850701451,62519,801,5536,0
13,22,1759850710182,71250,811,811,0
13,1,1759850711697,72765,1481,1481,0
13,10,1759850715154,76222,1053,1053,0
13,20,1759850717239,78307,1124,1124,0
13,2,1759850718091,79159,266,823,0
13,8,1759850717535,78603,741,1299,0
13,10,1759850717822,78890,1169,1702,1
13,6,1759850725160,86228,160,160,0
13,20,1759850724504,85572,963,964,0
13,12,1759850729616,90684,248,248,0
13,14,1759850735043,96111,296,296,1
13,20,1759850735286,96354,1049,1050,0
13,9,1759850735311,96379,1641,2169,1
13,14,1759850741474,102542,242,242,0
13,2,1759850742856,103924,201,201,0
13,20,1759850741853,102921,1098,1099,0
13,8,1759850745189,106257,703,704,0
13,2,1759850751806,112874,231,231,0
13,3,1759850751400,112468,782,783,0
13,8,1759850753660,114728,604,604,0
13,11,1759850755783,116851,309,310,0
13,2,1759850756189,117257,279,280,0
13,15,1759850758537,119605,474,475,1
13,18,1759850755972,117040,3776,3777,0
13,19,1759850760551,121619,500,501,1
13,14,1759850761580,122648,285,285,0
13,1,1759850762100,123168,1476,1476,0
13,1,1759850770330,131398,1338,1340,0
13,20,1759850775389,136457,1107,1108,1
13,11,1759850775886,136954,263,839,0
13,19,1759850776501,137569,1028,1631,0
13,16,1759850776186,137254,1701,1808,0
13,9,1759850776598,137666,2505,3075,1
13,11,1759850781007,142075,641,642,0
13,2,1759850782685,143753,342,342,0
13,22,1759850781991,143059,2183,2183,0
13,10,1759850781986,143054,2503,2504,0
13,20,1759850782815,143883,2118,2119,0
13,18,1759850779494,140562,6271,6272,0
13,22,1759850786382,147450,895,896,0
13,11,1759850787616,148684,312,313,1
13,10,1759850787078,148146,1258,1259,0
13,9,1759850788254,149322,1624,1624,0
13,10,1759850790250,151318,1120,1120,0
13,17,1759850790960,152028,811,811,0
13,6,1759850793613,154681,172,173,1
13,3,1759850793580,154648,972,973,0
13,16,1759850792930,153998,1763,1763,0
13,15,1759850796063,157131,278,278,0
13,18,1759850796572,157640,3627,3627,0
13,16,1759850800589,161657,2499,2499,0
13,14,1759850805382,166450,313,313,0
13,6,1759850807478,168546,163,163,0
13,16,1759850805768,166836,2470,2471,0
13,22,1759850808102,169170,764,764,1
13,23,1759850809651,170719,0,0,0
13,9,1759850808400,169468,1697,2227,0
13,22,1759850810583,171651,1024,1024,1
13,4,1759850814482,175550,716,717,0
13,15,1759850818636,179704,308,308,0
13,11,1759850820625,181693,298,298,0
13,4,1759850820901,181969,917,917,0
13,2,1759850823962,185030,187,188,0
13,10,1759850825592,186660,2188,2188,0
13,20,1759850826251,187319,1786,2322,0
13,17,1759850828756,189824,988,988,0
13,18,1759850824822,185890,4154,4154,0
13,10,1759850831897,192965,950,951,0
13,14,1759850833072,194140,290,292,0
13,14,1759850835674,196742,240,240,0
13,17,1759850836748,197816,580,582,0
13,9,1759850839295,200363,2923,2924,1
13,18,1759850840194,201262,4647,4648,0
13,15,1759850847757,208825,679,1294,1
13,17,1759850849782,210850,826,826,0
13,16,1759850847498,208566,1490,1490,0
13,18,1759850846095,207163,4609,4610,1
13,17,1759850850806,211874,838,840,2
13,22,1759850850307,211375,963,1477,0
13,20,1759850854807,215875,1039,1040,0
13,9,1759850860350,221418,2796,2796,0
13,18,1759850860784,221852,3422,3422,1
13,16,1759850863489,224557,1449,1958,0
13,11,1759850868036,229104,333,333,0
13,15,1759850873122,234190,279,279,0
13,6,1759850874539,235607,168,169,0
13,11,1759850875798,236866,389,390,0
13,16,1759850875551,236619,2237,2237,0
13,6,1759850881559,242627,156,156,0
13,22,1759850881266,242334,821,821,0
13,2,1759850882592,243660,201,201,0
13,19,1759850882814,243882,482,483,1
13,16,1759850887941,249009,1796,1797,0
13,23,1759850892647,253715,0,0,0
13,11,1759850894572,255640,242,242,0
13,17,1759850899127,260195,643,643,0
13,8,1759850903838,264906,681,682,0
13,22,1759850904219,265287,956,1550,0
13,8,1759850909204,270272,1223,1224,0
13,1,1759850908932,270000,2382,2383,0
13,15,1759850911639,272707,466,1242,0
13,1,1759850910886,271954,1933,1934,0
13,17,1759850913616,274684,759,759,0
13,23,1759850915715,276783,0,0,0
13,19,1759850917674,278742,464,464,0
13,2,1759850922630,283698,222,222,0
13,3,1759850925566,286634,879,879,0
13,11,1759850927519,288587,439,439,0
13,4,1759850926303,287371,900,1574,2
13,14,1759850929155,290223,337,338,1
13,10,1759850930795,291863,1955,1956,0
13,9,1759850930251,291319,2689,2689,0
13,17,1759850933191,294259,667,669,0
13,8,1759850937278,298346,651,652,1
13,22,1759850946927,307995,816,816,0
13,14,1759850947972,309040,294,294,0
13,12,1759850948404,309472,331,332,0
13,2,1759850951947,313015,213,213,0
13,22,1759850959457,320525,883,885,0
13,19,1759850964407,325475,510,511,0
13,10,1759850966798,327866,834,834,1
13,11,1759850967898,328966,331,1080,0
13,6,1759850969597,330665,169,169,0
13,12,1759850970470,331538,495,496,1
13,14,1759850970580,331648,340,1036,0
13,9,1759850969548,330616,2175,2175,0
13,19,1759850972391,333459,819,819,0
13,10,1759850972348,333416,1303,1303,0
13,12,1759850974805,335873,347,348,1
13,14,1759850976403,337471,444,444,0
13,22,1759850975800,336868,1234,1234,0
13,22,1759850976200,337268,952,952,0
13,9,1759850977001,338069,1664,2208,1
13,6,1759850980300,341368,159,160,0
13,16,1759850976551,337619,2688,3287,0
13,20,1759850982188,343256,1325,1326,0
13,17,1759850983619,344687,556,556,0
13,16,1759850981791,342859,2312,2312,0
13,2,1759850986792,347860,229,229,0
13,20,1759850988751,349819,1609,1610,0
13,18,1759850987050,348118,3547,3547,0
13,15,1759850992324,353392,347,348,0
13,12,1759850996058,357126,269,269,1
13,6,1759850999341,360409,156,156,0
13,14,1759850999874,360942,273,273,0
13,19,1759851000835,361903,553,553,0
13,3,1759851005477,366545,702,702,0
13,8,1759851007966,369034,755,755,0
13,2,1759851008948,370016,204,204,0
13,4,1759851010938,372006,668,668,0
13,8,1759851011510,372578,753,1588,0
13,14,1759851013172,374240,315,315,0
13,22,1759851016335,377403,651,652,0
13,23,1759851017865,378933,0,0,0
