query_stream_id,query_id,start,relative_start,query_duration,query_duration_with_queue,start_delay
14,1,1758879045877,3720,807,1551,1
14,12,1758879047745,5588,242,242,1
14,17,1758879047077,4920,305,929,0
14,12,1758879055935,13778,233,233,0
14,18,1758879056415,14258,1633,1633,0
14,4,1758879063874,21717,671,672,1
14,19,1758879064734,22577,236,236,0
14,2,1758879067798,25641,212,213,0
14,12,1758879071160,29003,269,270,0
14,3,1758879078104,35947,632,632,0
14,10,1758879078106,35949,570,1207,0
14,2,1758879101258,59101,245,932,0
14,11,1758879106275,64118,212,212,0
14,4,1758879124684,82527,616,1294,0
14,22,1758879136207,94050,476,1122,0
14,1,1758879138208,96051,814,815,0
14,10,1758879142772,100615,571,572,0
14,20,1758879145524,103367,1075,1077,1
14,2,1758879146647,104490,282,282,0
14,8,1758879145914,103757,405,1061,1
14,10,1758879146293,104136,560,1164,1
14,6,1758879155980,113823,192,193,1
14,20,1758879155113,112956,985,986,0
14,12,1758879161863,119706,258,259,1
14,14,1758879169024,126867,200,200,0
14,20,1758879169346,127189,955,956,0
14,9,1758879169378,127221,1319,1922,0
14,14,1758879177513,135356,215,216,0
14,20,1758879178013,135856,985,986,0
14,2,1758879179339,137182,231,232,1
14,8,1758879182418,140261,383,384,0
14,3,1758879190617,148460,577,578,1
14,2,1758879191152,148995,239,1032,0
14,8,1758879193599,151442,433,434,0
14,11,1758879196402,154245,251,252,0
14,2,1758879196937,154780,391,392,0
14,18,1758879196652,154495,1660,1661,0
14,15,1758879200036,157879,532,533,1
14,19,1758879202694,160537,243,244,0
14,14,1758879204053,161896,192,193,0
14,1,1758879204739,162582,761,762,0
14,1,1758879215603,173446,727,728,0
14,20,1758879222281,180124,943,944,1
14,11,1758879222937,180780,244,862,0
14,19,1758879223750,181593,258,259,1
14,9,1758879223876,181719,1430,2074,0
14,16,1758879223334,181177,2481,3092,0
14,18,1758879227699,185542,1922,1923,0
14,11,1758879229698,187541,211,211,0
14,10,1758879230990,188833,657,657,0
14,22,1758879230996,188839,719,719,0
14,2,1758879231912,189755,220,221,1
14,20,1758879232083,189926,1120,1121,0
14,22,1758879236791,194634,486,486,0
14,10,1758879237712,195555,598,598,0
14,11,1758879238419,196262,216,216,0
14,9,1758879239263,197106,1046,1047,0
14,10,1758879241899,199742,644,645,1
14,17,1758879242835,200678,328,328,0
14,6,1758879246336,204179,179,838,0
14,3,1758879246294,204137,689,1413,0
14,16,1758879245436,203279,2243,2243,0
14,15,1758879249573,207416,536,537,1
14,18,1758879250245,208088,1622,1623,1
14,16,1758879255545,213388,2988,2988,0
14,14,1758879261872,219715,222,223,0
14,16,1758879262383,220226,2587,2588,1
14,6,1758879264641,222484,205,978,1
14,22,1758879265461,223304,498,498,0
14,9,1758879265857,223700,966,967,1
14,23,1758879267507,225350,0,0,0
14,22,1758879268735,226578,484,485,0
14,4,1758879273884,231727,559,559,0
14,15,1758879279367,237210,496,496,0
14,11,1758879281995,239838,243,244,1
14,4,1758879282358,240201,619,620,0
14,2,1758879286398,244241,209,210,1
14,18,1758879287535,245378,1718,1718,1
14,10,1758879288550,246393,650,1355,0
14,20,1758879289420,247263,1062,1729,1
14,17,1758879292725,250568,296,296,0
14,10,1758879296873,254716,651,653,1
14,14,1758879298425,256268,222,223,1
14,14,1758879301858,259701,223,224,1
14,17,1758879303275,261118,295,295,0
14,9,1758879306636,264479,1416,1417,0
14,18,1758879307823,265666,1980,2739,0
14,18,1758879315612,273455,1755,1756,0
14,15,1758879317806,275649,508,508,0
14,16,1758879317465,275308,2504,2505,0
14,17,1758879320479,278322,344,346,0
14,22,1758879321173,279016,455,455,0
14,17,1758879321830,279673,348,349,0
14,20,1758879327113,284956,1072,1072,0
14,9,1758879334429,292272,974,975,0
14,18,1758879335002,292845,1655,2321,1
14,16,1758879338574,296417,2773,2773,0
14,11,1758879344577,302420,234,235,1
14,15,1758879351290,309133,457,457,0
14,6,1758879353161,311004,191,192,1
14,11,1758879354822,312665,255,1000,1
14,16,1758879354497,312340,3060,3061,1
14,22,1758879362039,319882,517,518,0
14,6,1758879362425,320268,165,165,0
14,2,1758879363790,321633,231,231,0
14,19,1758879364082,321925,239,240,0
14,16,1758879370849,328692,2830,2830,0
14,23,1758879377062,334905,0,0,0
14,11,1758879379604,337447,203,204,0
14,17,1758879385616,343459,329,329,0
14,8,1758879391834,349677,383,384,0
