query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
query_0,478.112,0.7599895,330.311,0.3677784615,0.36777846153846155,3.846156726439176e-11,0.0949986875,0.0949986875,0.0,0.2642488,0.2642488,0.0
query_1,6317.748,17.529987,0.129,4.859806154,4.859806153846153,1.538467131467769e-10,2.191248375,2.191248375,0.0,0.0001032,0.0001032,0.0
query_2,0.093,5.219991,0.03,7.153846154e-05,7.153846153846153e-05,1.5384693302297747e-15,0.652498875,0.652498875,0.0,2.4e-05,2.4e-05,0.0
query_3,21442.85425,115.3498815,10496.2165,16.49450327,16.49450326923077,7.692300130202057e-10,14.41873519,14.4187351875,2.5000002068509275e-09,8.3969732,8.3969732,0.0
query_4,2021.334,0.209989,1.111,1.554872308,1.5548723076923077,3.0769231607052916e-10,0.026248625,0.026248625,0.0,0.0008888,0.0008888,0.0
query_5,89.529,0.4599943333,4.057,0.06886846154,0.06886846153846153,1.538463800798695e-12,0.05749929167,0.0574992916625,7.500000620552782e-12,0.0032456,0.0032456000000000004,4.336808689942018e-19
query_6,55.228,1.853320333,10.993,0.04248307692,0.04248307692307692,3.076920662703486e-12,0.2316650417,0.231665041625,7.499997844995221e-11,0.0087944,0.0087944,0.0
query_7,228.283,0.299987,7.792,0.1756023077,0.17560230769230767,7.692319003993475e-12,0.037498375,0.037498375,0.0,0.0062336,0.0062336,0.0
query_8,10492.031,2.8119848,0.0,8.070793077,8.070793076923078,7.692158021654905e-11,0.3514981,0.3514981,0.0,0.0,0.0,0.0
query_9,6.684666667,0.639949,2.353333333,0.005142051282,0.005142051282307693,3.076931071044342e-13,0.079993625,0.079993625,0.0,0.001882666667,0.0018826666664000001,5.999998674982576e-13
query_10,3444.503,68.38494725,1673.915,2.649617692,2.6496176923076926,3.076925381151341e-10,8.548118406,8.54811840625,2.4999913250667305e-10,1.339132,1.339132,0.0
query_11,60.961,2.359981,28.645,0.04689307692,0.04689307692307692,3.076920662703486e-12,0.294997625,0.294997625,0.0,0.022916,0.022916,0.0
query_12,709.305,7.559982,6.82,0.5456192308,0.5456192307692307,3.07692760159739e-11,0.94499775,0.94499775,0.0,0.005456,0.005456,0.0
query_13,16220.37875,65.8449345,4653.96,12.47721442,12.477214423076923,3.0769236047945014e-09,8.230616813,8.2306168125,5.000000413701855e-10,3.723168,3.723168,0.0
query_14,289.10925,0.4049865,124.34,0.2223917308,0.22239173076923074,3.0769248260398285e-11,0.0506233125,0.0506233125,0.0,0.099472,0.099472,0.0
query_15,7914.945,52.904966,2418.417,6.088419231,6.08841923076923,2.3076918154174564e-10,6.61312075,6.61312075,0.0,1.9347336,1.9347336,0.0
query_16,535.413,0.5499905,0.023,0.4118561538,0.41185615384615387,4.615385851280962e-11,0.0687488125,0.0687488125,0.0,1.84e-05,1.84e-05,0.0
query_17,409.969,0.97495625,269.655,0.3153607692,0.3153607692307692,3.076922050482267e-11,0.1218695313,0.12186953125,5.000000413701855e-11,0.215724,0.21572399999999997,2.7755575615628914e-17
query_18,29.872,1.679988,19.715,0.02297846154,0.022978461538461538,1.538463800798695e-12,0.2099985,0.2099985,0.0,0.015772,0.015772,0.0
query_19,65.35,0.379987,17.849,0.05026923077,0.05026923076923077,7.692319003993475e-13,0.047498375,0.047498375,0.0,0.0142792,0.0142792,0.0
query_20,34.229,4.239984,10.015,0.02633,0.02633,0.0,0.529998,0.529998,0.0,0.008012,0.008012,0.0
query_21,1988.67625,23.349982,29.039,1.529750962,1.5297509615384615,4.615385851280962e-10,2.91874775,2.91874775,0.0,0.0232312,0.0232312,0.0
query_22,17451.62875,144.5649618,527.58775,13.42432981,13.424329807692308,2.3076918154174564e-09,18.07062022,18.070620225,5.000000413701855e-09,0.4220702,0.4220702,0.0
query_23,20394.317,44.83494975,380.261,15.68793615,15.687936153846152,3.846151841457868e-09,5.604368719,5.60436871875,2.5000002068509275e-10,0.3042088,0.3042088,0.0
query_24,823.413,0.27998975,0.003,0.6333946154,0.6333946153846154,1.538458249683572e-11,0.03499871875,0.03499871875,0.0,2.4e-06,2.4e-06,0.0
query_25,37.04866667,1.939987,10.79666667,0.02849897436,0.028498974361538462,1.538463800798695e-12,0.242498375,0.242498375,0.0,0.008637333333,0.008637333336000001,3.0000012890551986e-12
query_26,14.699,1.066653667,6.740333333,0.01130692308,0.011306923076923077,3.076922397426962e-12,0.1333317083,0.133331708375,7.500000620552782e-11,0.005392266667,0.0053922666664,6.000000843386921e-13
query_27,797.45275,8.41497975,2.25525,0.6134251923,0.6134251923076923,7.69229124841786e-12,1.051872469,1.05187246875,2.5000002068509275e-10,0.0018042,0.0018042000000000002,2.168404344971009e-19
query_28,205.743,0.9033276667,0.01,0.1582638462,0.15826384615384614,4.615385851280962e-11,0.1129159583,0.1129159583375,3.750000310276391e-11,8e-06,8e-06,0.0
query_29,364.8575,0.364977,137.29175,0.2806596154,0.2806596153846154,1.538458249683572e-11,0.045622125,0.045622125,0.0,0.1098334,0.10983340000000001,1.3877787807814457e-17
query_30,431.186,1.29498975,186.67,0.3316815385,0.33168153846153847,3.846151175324053e-11,0.1618737188,0.16187371875,5.000000413701855e-11,0.149336,0.149336,0.0
query_31,233.036,0.37999,,0.1792584615,0.17925846153846153,3.8461539508816145e-11,0.04749875,0.04749875,0.0,0.0,0.0,0.0
query_32,266.2753333,0.65998,109.2133333,0.2048271795,0.20482717946153847,3.8461539508816145e-11,0.0824975,0.0824975,0.0,0.08737066667,0.08737066664,3.000000248221113e-11
query_33,23.429,7.479985,2.301,0.01802230769,0.01802230769230769,2.3076922317510906e-12,0.934998125,0.934998125,0.0,0.0018408,0.0018408,0.0
