query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
1.0_15.0,17974.17,46.97999675,0.003,8.987085,8.987084999999999,1.7763568394002505e-15,5.872499594,5.87249959375,2.5000002068509275e-10,2.4e-06,2.4e-06,0.0
1.0_16.0,25896.169,83.2359964,0.003,12.9480845,12.9480845,0.0,10.40449955,10.40449955,0.0,2.4e-06,2.4e-06,0.0
1.0_17.0,38083.075,146.1439968,0.003,19.0415375,19.041537499999997,3.552713678800501e-15,18.2679996,18.2679996,0.0,2.4e-06,2.4e-06,0.0
1.0_18.0,61539.921,191.9199964,0.003,30.7699605,30.7699605,0.0,23.98999955,23.98999955,0.0,2.4e-06,2.4e-06,0.0
1.0_19.0,106453.553,321.464997,0.003,53.2267765,53.2267765,0.0,40.18312463,40.183124625,5.000003966415534e-09,2.4e-06,2.4e-06,0.0
2.0_15.0,29.9245,5.124,7.99425,0.01496225,0.01496225,0.0,0.6405,0.6405,0.0,0.0063954,0.0063954,0.0
2.0_16.0,47.18375,9.36,11.51,0.023591875,0.023591875,0.0,1.17,1.17,0.0,0.009208,0.009208,0.0
2.0_17.0,71.023,15.82,16.95933333,0.0355115,0.0355115,0.0,1.9775,1.9775,0.0,0.01356746667,0.013567466664,6.000000843386921e-12
2.0_18.0,134.0675,22.139,27.4445,0.06703375,0.06703375,0.0,2.767375,2.767375,0.0,0.0219556,0.021955600000000002,3.469446951953614e-18
2.0_19.0,251.9155,35.924,48.341,0.12595775,0.12595775,0.0,4.4905,4.4905,0.0,0.0386728,0.0386728,0.0
3.0_15.0,7709.962333,13.399986,13.502,3.854981167,3.8549811665,5.000000413701855e-10,1.67499825,1.67499825,0.0,0.0108016,0.0108016,0.0
3.0_16.0,9852.064,20.839984,19.456,4.926032,4.926032,0.0,2.604998,2.604998,0.0,0.0155648,0.0155648,0.0
3.0_17.0,16396.242,33.98998025,28.605,8.198121,8.198120999999999,1.7763568394002505e-15,4.248747531,4.24874753125,2.5000002068509275e-10,0.022884,0.022884,0.0
3.0_18.0,23423.512,86.20498375,46.212,11.711756,11.711756,0.0,10.77562297,10.77562296875,1.2500009916038834e-09,0.0369696,0.036969600000000005,6.938893903907228e-18
3.0_19.0,41688.428,153.4449808,81.448,20.844214,20.844214,0.0,19.18062259,19.1806226,1.000000082740371e-08,0.0651584,0.06515839999999999,1.3877787807814457e-17
4.0_15.0,955.709,14.43332267,0.001,0.4778545,0.47785449999999996,5.551115123125783e-17,1.804165333,1.80416533375,7.500000620552782e-10,8e-07,8e-07,0.0
4.0_16.0,1482.476,23.16666067,0.001,0.741238,0.7412380000000001,1.1102230246251565e-16,2.895832583,2.89583258375,7.500000620552782e-10,8e-07,8e-07,0.0
4.0_17.0,12459.7695,81.529987,0.001,6.22988475,6.22988475,0.0,10.19124838,10.191248375,4.999998637345016e-09,8e-07,8e-07,0.0
4.0_18.0,20819.269,198.054985,0.001,10.4096345,10.4096345,0.0,24.75687313,24.756873125,5.000000413701855e-09,8e-07,8e-07,0.0
4.0_19.0,36691.398,434.2466517,0.001,18.345699,18.345699,0.0,54.28083146,54.2808314625,2.4999948777804093e-09,8e-07,8e-07,0.0
5.0_15.0,1762.61225,13.91998175,62.96925,0.881306125,0.8813061249999999,1.1102230246251565e-16,1.739997719,1.73999771875,2.5000002068509275e-10,0.0503754,0.0503754,0.0
5.0_16.0,3573.42875,25.41498175,81.726,1.786714375,1.786714375,0.0,3.176872719,3.17687271875,2.5000002068509275e-10,0.0653808,0.0653808,0.0
5.0_17.0,16470.72025,44.2249785,110.5605,8.235360125,8.235360125,0.0,5.528122313,5.5281223125,5.000000413701855e-10,0.0884484,0.08844840000000001,1.3877787807814457e-17
5.0_18.0,32364.45433,152.6033062,175.4951667,16.18222717,16.182227165,5.000000413701855e-09,19.07541327,19.075413275,5.000000413701855e-09,0.1403961333,0.14039613336,6.000000496442226e-11
5.0_19.0,54525.4332,230.1559736,290.2628,27.2627166,27.2627166,0.0,28.7694967,28.7694967,0.0,0.23221024,0.23221024,0.0
6.0_15.0,231.25,0.539997,0.0,0.115625,0.115625,0.0,0.067499625,0.067499625,0.0,0.0,0.0,0.0
6.0_16.0,333.259,2.419997,0.0,0.1666295,0.1666295,0.0,0.302499625,0.302499625,0.0,0.0,0.0,0.0
6.0_17.0,489.997,21.128,0.0,0.2449985,0.2449985,0.0,2.641,2.641,0.0,0.0,0.0,0.0
6.0_18.0,791.856,44.0,0.0,0.395928,0.395928,0.0,5.5,5.5,0.0,0.0,0.0,0.0
6.0_19.0,1395.797,62.0,0.0,0.6978985,0.6978985,0.0,7.75,7.75,0.0,0.0,0.0,0.0
7.0_15.0,2289.97,8.473315333,33.768,1.144985,1.144985,0.0,1.059164417,1.059164416625,3.750000310276391e-10,0.0270144,0.0270144,0.0
7.0_16.0,6194.08,22.43331267,48.66,3.09704,3.09704,0.0,2.804164083,2.80416408375,7.500000620552782e-10,0.038928,0.038928,0.0
7.0_17.0,9144.5698,41.4399784,71.53,4.5722849,4.5722849,0.0,5.1799973,5.1799973,0.0,0.057224,0.057224000000000004,6.938893903907228e-18
7.0_18.0,14726.081,90.804978,115.55,7.3630405,7.3630405,0.0,11.35062225,11.35062225,0.0,0.09244,0.09244,0.0
7.0_19.0,25941.873,177.6649723,203.582,12.9709365,12.9709365,0.0,22.20812153,22.2081215375,7.499998844195943e-09,0.1628656,0.1628656,0.0
8.0_15.0,907.084,21.0,18.552,0.453542,0.453542,0.0,2.625,2.625,0.0,0.0148416,0.0148416,0.0
8.0_16.0,535.107,45.0,30.064,0.2675535,0.2675535,0.0,5.625,5.625,0.0,0.0240512,0.024051200000000002,3.469446951953614e-18
8.0_17.0,654.282,47.0,39.235,0.327141,0.327141,0.0,5.875,5.875,0.0,0.031388,0.031388,0.0
8.0_18.0,1599.9915,109.0,63.282,0.79999575,0.79999575,0.0,13.625,13.625,0.0,0.0506256,0.0506256,0.0
8.0_19.0,5339.17925,192.0,111.56,2.669589625,2.669589625,0.0,24.0,24.0,0.0,0.089248,0.08924800000000001,1.3877787807814457e-17
9.0_15.0,2696.462,29.91997,70.471,1.348231,1.348231,0.0,3.73999625,3.73999625,0.0,0.0563768,0.056376800000000005,6.938893903907228e-18
9.0_16.0,3834.555,53.48663367,101.538,1.9172775,1.9172775,0.0,6.685829208,6.68582920875,7.500000620552782e-10,0.0812304,0.0812304,0.0
9.0_17.0,5753.123,95.66663233,149.259,2.8765615,2.8765614999999998,4.440892098500626e-16,11.95832904,11.95832904125,1.249999215247044e-09,0.1194072,0.11940719999999999,1.3877787807814457e-17
9.0_18.0,10846.008,196.2319622,241.048,5.423004,5.423004,0.0,24.52899528,24.528995275,5.000000413701855e-09,0.1928384,0.1928384,0.0
9.0_19.0,92989.342,467.3149613,424.759,46.494671,46.494671000000004,7.105427357601002e-15,58.41437016,58.4143701625,2.500001983207767e-09,0.3398072,0.33980720000000003,5.551115123125783e-17
