query,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1.0,,,2.055816097,0.43925,0.969994,2.45175,239.299,0.347,165.401,0.468,0.05982475,0.060624625,0.1323208,0.252770175,0.1323208,0.2286803,0.1820760857,1.737744574,1.685374128,2.412453005,1.1208214,1.234094674,1.340194195,,1.0,0.0,0.0,8.0,4.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.036958934,1.082529455,,0.3,0.3,-0.4245414343,-0.04240267501,-0.5854841532,0.1208214001,0.2340946743,0.3401941946
2.0,,,3.448293406,1.419,12.5099875,16.644,3168.054,4.1335,0.129,1.3705,0.7920135,0.7818742188,0.0001032,1.573990919,0.7920135,1.259213375,1.249209097,1.109225454,1.445195294,1.135918722,1.231756399,1.134044465,1.141094697,,0.0,1.0,0.0,7.0,1.0,4.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,3.785209615,4.566762367,,0.3,0.3,0.1092254537,-0.1952965337,-0.1196553231,-0.1881511628,0.1340444655,0.141094697
3.0,5.316472018,5.316472018,5.316472018,4.135,37.9996,0.533,0.047,0.076,0.014,0.055,1.175e-05,2.374975,1.12e-05,2.37499795,2.374975,2.3749862,2.374975034,1.741054134,1.605840833,1.741070934,1.511896818,1.511896799,1.511890627,,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,3.947523026,5.454749091,,0.3,0.3,-0.4256353204,-0.3385792019,-0.4256408625,-0.3385792019,-0.3385791938,-0.3385764933
4.0,,,10.47617366,9.2125,58.46491825,13.46975,7764.59175,1.49925,3813.1825,3.35775,1.941147938,3.654057391,3.050546,8.645751328,3.654057391,7.526710263,6.086925814,1.065552275,2.390338043,1.513489778,2.295059364,1.428975649,1.168104278,1.0,0.0,0.0,1.0,18.0,18.0,17.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.494846048,1.002150097,,0.3,0.3,-0.06151953019,-0.564281423,-0.3392753526,-0.564281423,-0.300198012,-0.1439120475
5.0,,,1.760867285,0.37125,0.2399945,0.97425,1013.4,0.198,0.871,0.04825,0.25335,0.01499965625,0.0006968,0.2690464563,0.25335,0.2540468,0.2558015982,1.37987322,1.726746947,1.451320096,1.652121212,1.658724844,1.653998114,1.0,1.0,1.0,0.0,13.0,4.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.79469697,6.232058031,,0.3,0.3,-0.2752957407,0.01010008418,-0.3109721261,0.6521212121,0.6587248436,0.6539981145
6.0,1.281131354,2.055908009,1.668519682,0.337,0.489978,0.2475,44.8295,0.0365,2.036,0.0405,0.011207375,0.030623625,0.0016288,0.2,0.030623625,0.0350936,0.0352252667,1.685,1.461255325,9.566996409,1.159120549,1.172775272,1.17238457,,1.0,0.0,0.0,8.0,4.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,8.526229452,7.447624691,,0.3,0.3,-0.4065281899,0.159120549,-0.8954739861,0.159120549,0.1727752721,0.1723845697
7.0,1.572304366,1.836426437,1.678203217,0.28,0.439987,2.489,27.711,0.2073333333,5.507,0.02233333333,0.00692775,0.0274991875,0.0044056,0.2,0.0274991875,0.03194715,0.0308904086,1.4,1.230773626,9.064302245,1.38392567,1.396037174,1.39981125,,1.0,0.0,0.0,5.0,1.0,4.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.480358923,13.63010149,,0.3,0.3,-0.2857142857,0.3839256696,-0.8896771122,0.3839256696,0.3960371736,0.39981125
8.0,2.076933077,2.449455562,2.223184192,0.3423333333,0.279987,1.080666667,124.6753333,0.096,4.064333333,0.172,0.03116883333,0.0174991875,0.003251466667,0.2,0.03116883333,0.04218588333,0.04001012689,1.711666667,1.57395224,8.556167148,1.14265482,1.168481383,1.17483705,,1.0,0.0,0.0,6.0,2.0,4.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,3.449675347,1.763089922,,0.3,0.3,-0.4157740993,0.1027240141,-0.8831252379,0.1426548199,0.1684813833,0.1748370497
9.0,,,3.077741923,1.4935,1.6449875,0.571,5255.851,0.19,,,1.31396275,0.1028117188,0.0,1.416774469,1.31396275,1.31396275,1.333066089,1.054155078,4.932107668,1.120349556,1.120832106,1.133623092,1.120832106,1.0,0.0,1.0,1.0,16.0,15.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,8.494540789,,,0.3,0.3,-0.05137297037,-0.6901160236,-0.1074214338,0.1208321058,0.1336230925,0.1208321058
10.0,1.796934113,2.138537052,1.899018917,0.3615,0.959981,0.65175,3.93625,0.0845,1.2565,0.28225,0.0009840625,0.0599988125,0.0010052,0.2,0.0599988125,0.0610040125,0.06016944841,1.8075,1.390390966,6.008032475,1.161822441,1.162294463,1.164603077,,1.0,0.0,0.0,9.0,2.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,3.561941568,1.066448893,,0.3,0.3,-0.4467496542,0.1618224412,-0.8335561593,0.1618224412,0.1622944631,0.1646030775
11.0,,,4.220017668,2.6395,8.229963,6.29925,1656.79475,0.73875,846.914,1.4395,0.4141986875,0.5143726875,0.6775312,1.606102575,0.6775312,1.4203883,1.124953976,1.643419319,3.694850106,2.34631821,2.544019881,1.777496166,1.482541758,,0.0,0.0,0.0,12.0,8.0,11.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.034376026,1.472587269,,0.3,0.3,-0.3915125687,-0.6687354849,-0.5738003499,-0.6069213109,-0.4374108822,-0.3254827429
12.0,1.324563733,1.71292032,1.518742027,0.3885,0.159988,0.2125,32.537,0.043,14.294,0.082,0.00813425,0.00999925,0.0114352,0.2,0.0114352,0.025942,0.02059855395,1.9425,1.850006607,18.86054725,1.045942872,1.020760578,1.006627939,,0.0,0.0,0.0,3.0,1.0,2.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,7.165912791,3.797990244,,0.3,0.3,-0.4851994852,-0.04762097812,-0.9469792691,-0.04392483912,-0.02033834247,-0.006584298584
13.0,2.118661596,3.989964024,3.05431281,0.673,8.179979,5.043,142.57,0.513,25.108,1.012,0.0356425,0.5112486875,0.0200864,0.5669775875,0.5112486875,0.5313350875,0.5201384339,1.186995773,1.056833117,1.293886312,1.294574573,1.307783706,1.324420635,,0.0,0.0,0.0,1.0,1.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.528411926,3.161646355,,0.3,0.3,-0.1575370171,0.2945745728,-0.2271345708,0.2945745728,0.3077837056,0.3244206352
14.0,16.85566942,17.79209867,17.38310572,5.728333333,77.00660467,28.14033333,7948.379667,3.670666667,2329.626,12.95,1.987094917,4.812912792,1.8637008,8.663708508,4.812912792,7.303706967,6.3242093,1.51243093,1.142715537,1.104022572,1.107370946,1.166868077,1.337859814,1.0,0.0,1.0,1.0,31.0,9.0,17.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.604947237,5.985115872,,0.3,0.3,0.5124309296,-0.09696023422,0.104022572,-0.09696023422,0.1668680768,0.3378598138
15.0,1.369048598,1.918978557,1.589279944,0.3156666667,0.1066603333,0.8136666667,150.438,0.1196666667,62.25566667,0.1583333333,0.0376095,0.006666270833,0.04980453333,0.2,0.04980453333,0.08765284583,0.07108569874,1.578333333,1.52742228,4.440649417,1.298219219,1.365635793,1.418118836,,1.0,0.0,0.0,4.0,1.0,3.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.821249304,2.209291789,,0.3,0.3,-0.3664202746,0.161561576,-0.7748077125,0.2982192186,0.3656357933,0.4181188358
16.0,3.337228523,3.677239144,3.44776216,2.00675,20.039984,4.2565,2808.81,1.51775,1211.89,1.66775,0.7022025,1.252499,0.969512,2.9242135,1.252499,2.5332732,2.054480954,1.457188738,1.381584428,1.023785202,1.244496896,1.203179745,1.441770624,,0.0,0.0,1.0,8.0,3.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.514414502,1.313693766,,0.3,0.3,0.457188738,-0.1964624393,0.02378520172,-0.1964624393,0.2031797451,0.4417706241
17.0,,,1.769243633,0.35875,0.124992,1.145,268.089,0.1465,0.012,0.03425,0.06702225,0.007812,9.6e-06,0.2,0.06702225,0.06703185,0.0687887813,1.79375,1.726319943,5.215239945,1.190305923,1.195230052,1.190332683,,1.0,0.0,0.0,8.0,1.0,7.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.505271331,8.75940438,,0.3,0.3,-0.4425087108,0.02525993031,-0.8082542681,0.1903059233,0.1952300524,0.1903326829
18.0,,,1.902560995,0.475,0.61998375,1.70725,207.89925,0.24875,135.071,0.315,0.0519748125,0.03874898438,0.1080568,0.2,0.1080568,0.1806358375,0.1446197063,2.375,1.989537259,3.284476314,1.014834097,1.062357277,1.138180711,1.0,1.0,0.0,0.0,7.0,1.0,6.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.414974121,1.295418413,,0.3,0.3,-0.5789473684,-0.1605284539,-0.6955374603,-0.01461726316,0.06235727651,0.1381807105
19.0,2.557151017,2.557151017,2.557151017,0.442,0.279988,0.353,13.153,0.062,10.252,0.059,0.00328825,0.01749925,0.0082016,0.2,0.01749925,0.02570085,0.02192385805,2.21,2.032190916,20.16068518,1.170863253,1.157298741,1.145965844,,1.0,0.0,0.0,6.0,1.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,4.891745968,5.223755932,,0.3,0.3,-0.5475113122,-0.1459292986,-0.9503985112,-0.1459292986,-0.1359188732,-0.1273736425
