query,size,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,factor.1,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1.0,15.0,7.35,13.47,11.18969093,10.27,46.97999675,71.8225,17974.17,10.26025,0.003,10.25575,8.987085,5.872499594,2.4e-06,14.85958699,8.987085,11.92360138,11.88767008,1.446892599,1.691231072,1.161012793,1.09873827,1.196066347,1.196428942,,0,0,0,1,1,0,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.104786916,34.18555985,,0.3,0.3,0.4468925992,-0.3931353852,0.1575141261,-0.08986514119,0.1925676801,0.1960663467
1.0,16.0,10.809,21.584,14.34632631,13.4332,83.2359964,93.9494,25896.169,13.421,0.003,13.414,12.9480845,10.40449955,2.4e-06,23.35258645,12.9480845,18.58993201,18.68206964,1.738423194,1.266745303,1.383879642,1.009401466,1.410678916,1.406776147,,0,0,0,1,1,0,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.013052113,44.71297563,,0.3,0.3,0.738423194,-0.1986645364,0.390738591,-0.009313901379,0.4175378644,0.4106789158
1.0,17.0,16.343,31.361,23.21906355,22.321,146.1439968,156.171,38083.075,22.3098,0.003,22.3022,19.0415375,18.2679996,2.4e-06,37.3095395,19.0415375,29.61578151,29.84763208,1.671499462,1.208631172,1.326812487,1.150475832,1.342940796,1.35008167,,0,0,1,1,1,0,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.153465695,74.34007195,,0.3,0.3,0.6714994624,-0.1654495946,0.3371995914,-0.1307944313,0.3533279011,0.3429407962
1.0,18.0,25.891,31.419,28.7646583,27.3792,191.9199964,184.2144,61539.921,26.3162,0.003,26.3114,30.7699605,23.98999955,2.4e-06,54.75996245,30.7699605,43.62957652,43.80797044,2.000057067,1.131839624,1.593529998,1.136993064,1.606678666,1.575126322,,0,0,1,1,1,0,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.180640081,87.70396503,,0.3,0.3,1.000057067,-0.1106387495,0.6000456712,0.1369930641,0.6131943388,0.6066786656
1.0,19.0,46.044,46.876,48.18128491,46.47075,321.464997,325.2265,106453.553,46.46075,0.003,46.4545,53.2267765,40.18312463,2.4e-06,93.40990353,53.2267765,74.50090219,74.7279233,2.010079534,1.150746764,1.603178391,1.153129151,1.610925199,1.582106485,,0,0,1,1,1,0,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.152085933,154.8470946,,0.3,0.3,1.010079534,-0.1275560514,0.6080636379,0.1531291511,0.6158104464,0.6109251991
2.0,15.0,1.601068508,2.089153678,1.732176134,0.66925,5.124,1.526,29.9245,0.22675,7.99425,0.27175,0.01496225,0.6405,0.0063954,0.66185765,0.6405,0.6424491183,0.6468954,1.011169094,1.255883452,1.041716738,1.494957041,1.497869433,1.239420956,2.0,1,1,0,10,2,9,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.389028666,1.127489972,,0.3,0.3,-0.01104572282,0.4949570415,-0.03340246545,0.4949570415,0.5045131117,0.4978694334
2.0,16.0,1.865491093,2.700743428,2.109072309,1.041,9.36,2.29525,47.18375,0.3475,11.51,0.46875,0.023591875,1.17,0.009208,1.202799875,1.17,1.1727763,1.179208,1.155427354,1.316042267,1.126586263,1.469740634,1.472407589,1.270325341,2.0,0,1,0,10,2,9,4000.0,2000.0,1250.0,8.0,1.5,0.36,1.073883576,1.515969833,,0.3,0.3,0.1554273535,0.469740634,0.1327646494,0.469740634,0.478585975,0.4724075891
2.0,17.0,2.452196253,5.359785974,3.465080201,2.433,15.82,5.969,71.023,0.8846666667,16.95933333,1.534666667,0.0355115,1.9775,0.01356746667,2.026578967,1.9775,1.981419777,1.991067467,1.200545372,1.117336395,1.227907397,1.040855615,1.039113116,1.007499759,2.0,0,1,0,10,2,9,4000.0,2000.0,1250.0,8.0,1.5,0.36,2.636770026,4.894215216,,0.3,0.3,-0.1670452254,-0.03925195232,-0.1816409919,-0.03925195232,-0.03367551719,-0.0376408643
2.0,18.0,3.592028866,4.383821788,3.943776152,2.2935,22.139,5.8415,134.0675,0.97875,27.4445,1.30875,0.06703375,2.767375,0.0219556,2.85636435,2.767375,2.775627881,2.7893306,1.245417201,1.29381949,1.210214904,1.363581862,1.36718024,1.087620198,2.0,0,1,0,10,2,9,4000.0,2000.0,1250.0,8.0,1.5,0.36,2.666648503,4.06500151,,0.3,0.3,0.2454172008,0.3635818618,0.216189492,0.3635818618,0.3731548289,0.3671802404
2.0,19.0,6.64967646,7.355558827,6.968577278,5.675,35.924,15.883,251.9155,3.085,48.341,3.807,0.12595775,4.4905,0.0386728,4.65513055,4.4905,4.50694123,4.5291728,1.219085037,1.209892336,1.259168849,1.169982476,1.166030106,1.155809845,2.0,0,0,0,10,2,9,4000.0,2000.0,1250.0,8.0,1.5,0.36,7.242502337,11.24093816,,0.3,0.3,-0.1797126784,-0.1452863436,-0.2019078767,-0.1452863436,-0.1384717533,-0.1423892105
