query,size,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1.0,15.0,4.703288072,5.624875491,5.308746,3.552,47.31999633,24.79033333,8987.256,3.5445,0.003,3.432,2.246814,2.957499771,2.4e-06,5.204316171,2.957499771,4.14992371,4.163453417,1.465179102,1.124940699,1.168334378,1.070685831,1.269685729,1.273494768,0.0,0,0,,1,1,0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.391738855,11.43990848,,0.3,0.3,0.4651791021,-0.06601920866,0.1721434169,-0.06601920866,0.2734947682,0.2696857293
1.0,16.0,6.853827545,9.72111656,7.857803426,5.29525,72.7099965,36.9925,12947.562,5.272333333,0.003,5.16,3.2368905,4.544374781,2.4e-06,7.781267681,4.544374781,6.219588343,6.225014625,1.469480701,1.116111236,1.174559906,1.079699296,1.242545365,1.24357011,0.0,0,0,,1,1,0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.490669087,17.1998624,,0.3,0.3,0.4694807009,-0.0738161973,0.1755846513,-0.0738161973,0.24357011,0.2425453648
1.0,17.0,9.206017412,10.22135701,9.566105972,7.983,111.8599966,55.8106,19041.201,7.8725,0.003,7.8175,4.76030025,6.991249788,2.4e-06,11.75155244,6.991249788,9.411252769,9.40124243,1.472072208,1.110099112,1.178911784,1.085937797,1.224007612,1.222753655,0.0,0,0,,1,1,0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.555737725,26.05812487,,0.3,0.3,0.4720722081,-0.07913694257,0.1776578266,-0.07913694257,0.2227536553,0.2240076123
1.0,18.0,14.43192727,14.63102647,14.53219879,13.0636,183.0439966,91.3766,30768.65,13.037,0.003,12.76175,7.6921625,11.44024979,2.4e-06,19.13241469,11.44024979,15.33110578,15.30593223,1.464559133,1.122278322,1.173574342,1.107061311,1.20113183,1.199204831,0.0,0,0,,1,1,0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.631223089,42.53882636,,0.3,0.3,0.4645591328,-0.09670766194,0.171647343,-0.09670766194,0.199204831,0.2011318303
1.0,19.0,24.2624489,25.18511202,24.71639629,24.0106,337.8919966,168.0012,54225.087,23.22425,0.003,23.11075,13.55627175,21.11824979,2.4e-06,34.67452394,21.11824979,27.84843454,27.73961963,1.444134005,1.126293211,1.159839177,1.117903006,1.174832555,1.170300602,0.0,0,0,,1,1,0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.676082168,77.03521705,,0.3,0.3,0.4441340049,-0.1054680105,0.1553072239,-0.1054680105,0.1703006018,0.1748325548
2.0,15.0,2.037481322,3.063346409,2.550413866,0.682,5.124,0.568,21.767,0.072,4.015,0.098,0.00544175,0.32025,0.003212,0.32890375,0.32025,0.3209369854,0.323462,2.073554953,1.310908217,2.12502775,1.002572584,1.001561106,1.002143695,2.0,1,0,1,10,2,9,4000.0,4000.0,1250.0,16.0,1.5,0.36,4.242246528,3.094,,0.3,0.3,-0.517736437,-0.002565982405,-0.5257155425,-0.002565982405,0.002143695015,-0.001558672444
2.0,16.0,2.141329379,3.573795285,2.731315855,0.8645,9.36,0.89,32.10825,0.135,5.777666667,0.1923333333,0.0080270625,0.585,0.004622133333,0.5976491958,0.585,0.5859004083,0.5896221333,1.446500733,1.101273885,1.475506738,1.093117409,1.094158945,1.098464006,2.0,1,0,,10,2,9,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.281681944,1.583823917,,0.3,0.3,-0.3086764652,0.09311740891,-0.3179616734,0.09311740891,0.09846400617,0.09415894538
2.0,17.0,2.143926532,4.078612064,2.767843226,0.97075,15.82,1.57625,47.99175,0.249,8.507333333,0.3596666667,0.0119979375,0.98875,0.006805866667,1.007553804,0.98875,0.9900071364,0.9955558667,1.037912752,1.224568633,1.01983738,1.389389647,1.390684663,1.396400584,2.0,1,0,,10,2,9,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.253003765,1.172293967,,0.3,0.3,0.03791275217,0.3893896472,0.02555330071,0.3893896472,0.3964005837,0.3906846628
2.0,18.0,2.56455352,2.857563214,2.711058367,1.14,22.139,2.5672,91.5058,0.41275,13.765,0.551,0.02287645,1.3836875,0.011012,1.41757595,1.3836875,1.386302164,1.3946995,1.243487675,1.389199561,1.21605453,1.529550439,1.531844004,1.539210088,2.0,0,0,,10,2,9,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.278352757,1.771635821,,0.3,0.3,0.2434876754,0.5295504386,0.223420614,0.5295504386,0.5392100877,0.5318440037
2.0,19.0,3.302452663,4.432397453,4.102994415,2.23775,35.924,5.4245,169.669,0.9596666667,24.21066667,1.228333333,0.04241725,2.24525,0.01936853333,2.307035783,2.24525,2.250333188,2.264618533,1.030962254,1.09272707,1.005623143,1.164227461,1.166499023,1.172882821,2.0,0,0,,10,2,9,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.802623602,3.846131366,,0.3,0.3,0.03096225375,0.1642274606,0.0120069415,0.1642274606,0.1728828213,0.1664990228
3.0,15.0,3.06666847,3.696183377,3.449230423,0.931,3.273320333,6.277,1833.524,0.516,6.756,0.031,0.458381,0.2045825208,0.0054048,0.6683683208,0.458381,0.5458411062,0.5406972125,1.392944535,2.301137474,1.705624566,1.137611944,1.027774069,1.033643701,1.0,1,0,,3,1,2,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.46973062,9.851767742,,0.3,0.3,-0.2820963256,-0.3935740915,-0.4192296321,-0.1209656284,-0.03254864393,-0.0270235164
3.0,16.0,4.087729016,4.30384828,4.14224689,2.806,30.669993,19.57125,118.75975,2.755,56.64066667,2.644,0.0296899375,1.916874563,0.04531253333,1.991877033,1.916874563,1.923975843,1.962187096,1.408721499,1.325539099,1.45843827,1.232391123,1.228559404,1.208343636,1.0,0,0,,3,1,2,4000.0,4000.0,1250.0,16.0,1.5,0.36,8.356336323,7.65683184,,0.3,0.3,-0.2901364813,-0.1885692935,-0.3007173572,-0.1885692935,-0.1724208497,-0.186038545
3.0,17.0,4.599000828,5.115372301,4.939321655,3.3708,31.4079824,29.1274,8221.64,2.40725,14.315,0.137,2.05541,1.9629989,0.011452,4.0298609,2.05541,3.190292382,3.22617912,1.195520618,1.558391916,1.056580274,1.395539474,1.053249194,1.06389555,1.0,0,0,,3,1,2,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.022008907,2.273372263,,0.3,0.3,0.1955206183,-0.3108464163,-0.04290402278,-0.2834312329,0.06389555002,0.05324919364
