query,size,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
1.0,15.0,1.656,1.795,2.94401313,1.70825,33.32999625,11.8825,4493.851,1.69725,0.003,1.63275,2.2469255,1.041562383,2.4e-06,3.288490283,2.2469255,2.697775776,2.64717278,1.925063827,1.375887369,1.579262857,1.526079614,1.790004845,1.02145359,0.0,0,0,0,1,1,0,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.500618942,5.44245646,,0.3,0.3,0.9250638272,-0.1795332166,0.5496401462,0.5260796136,0.7603821336,0.7900048445
1.0,16.0,2.623,3.377,4.194472507,2.84275,62.639997,19.8235,6473.983,2.83175,0.00225,2.54925,3.2369915,1.957499906,1.8e-06,5.194493206,3.2369915,4.185411207,4.155594925,1.827277533,1.317613035,1.472310687,1.26532108,1.598948626,1.076558475,0.0,0,0,0,1,1,0,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.249047939,8.497449015,,0.3,0.3,0.8272775328,-0.1847683031,0.4618221528,0.2653210799,0.5884600915,0.598948626
1.0,17.0,3.821,4.049,5.369658868,3.962,99.5999965,27.6615,9520.706,3.9515,0.003,3.80575,4.760353,3.112499891,2.4e-06,7.872855291,4.760353,6.317128914,6.298284713,1.987091189,1.196075511,1.594429307,1.292365724,1.685292507,1.239982814,0.0,0,0,0,1,1,0,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.280615716,12.68573185,,0.3,0.3,0.987091189,-0.1235487404,0.5896730723,0.2923657244,0.6805362727,0.6852925074
1.0,18.0,6.288,6.605,7.824537856,6.44925,170.8749968,45.0705,15384.269,6.4385,0.003,6.32325,7.6921345,5.339843648,2.4e-06,13.03198055,7.6921345,10.42773949,10.42558492,2.020697065,1.164157404,1.616891808,1.248538125,1.672712252,1.378430921,0.0,0,0,0,1,1,0,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.241303797,21.07733138,,0.3,0.3,1.020697065,-0.1162005429,0.6165577267,0.2485381246,0.6723781709,0.6727122522
1.0,19.0,10.974,11.891,12.79127001,11.29325,311.719997,78.98025,27112.335,11.28275,0.003,10.94575,13.5561675,9.741249906,2.4e-06,23.29741981,13.5561675,18.61512794,18.63793633,2.062950861,1.135999005,1.648341083,1.23225533,1.680218532,1.485226745,0.0,0,0,0,1,1,0,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.228084244,36.48554145,,0.3,0.3,1.062950861,-0.1055497836,0.650360731,0.2322553295,0.6822381799,0.6802185323
2.0,15.0,0.24,0.389,2.172389258,0.2936666667,0.053325,0.3593333333,11.695,0.066,2.2,0.09466666667,0.0058475,0.00166640625,0.00176,0.2,0.0058475,0.007026681835,0.00802259375,1.468333333,1.456200228,41.79307866,1.245791714,1.249807089,5.902869266,2.0,1,0,0,10,2,9,8000.0,2000.0,1250.0,32.0,1.5,0.36,4.63405303,3.187605634,,0.1,0.3,-0.3189557321,0.2315541643,-0.9726812926,0.245791714,0.2531983896,0.2498070891
2.0,16.0,0.323,0.343,1.867755715,0.3346666667,0.113315,0.5353333333,16.683,0.09533333333,3.105,0.1366666667,0.0083415,0.00354109375,0.002484,0.2,0.0083415,0.01063254307,0.01211600625,1.673333333,1.644221619,31.47569349,1.100622012,1.107467758,5.019283458,2.0,1,0,0,10,2,9,8000.0,2000.0,1250.0,32.0,1.5,0.36,3.234351399,1.333541496,,0.1,0.3,-0.4023904382,0.08627816858,-0.9637967941,0.100622012,0.1119004171,0.1074677582
2.0,17.0,0.411,0.472,2.144805876,0.45175,0.314986,0.73975,30.24,0.127,4.645,0.18075,0.01512,0.0098433125,0.003716,0.2,0.01512,0.02108791656,0.02368665,2.25875,2.152796744,21.42222058,1.204281297,1.185421999,5.589993491,2.0,1,0,0,10,2,9,8000.0,2000.0,1250.0,32.0,1.5,0.36,2.481259843,1.742739789,,0.1,0.3,-0.5572772551,-0.1813097676,-0.9475669065,-0.1696292197,-0.1506659657,-0.1564185577
2.0,18.0,0.638,5.121,3.766092261,0.81575,2.8039672,1.37325,1441.2275,0.242,7.355,0.35,0.72061375,0.087623975,0.005884,0.814121725,0.72061375,0.7411920304,0.72649775,1.002000039,2.836168299,1.100591974,1.324687404,1.349913614,3.466267888,2.0,0,0,0,10,2,9,8000.0,2000.0,1250.0,32.0,1.5,0.36,4.21741219,3.305504137,,0.1,0.3,-0.001996046583,-0.4512730922,-0.109411278,0.3246874042,0.3319003984,0.3499136137
2.0,19.0,1.326,1.438,3.20561113,1.388,7.09497775,3.31925,1703.406,0.6605,13.462,0.7605,0.851703,0.2217180547,0.0107696,1.084190655,0.851703,0.9263158379,0.9103331328,1.280217639,3.291298498,1.498409013,1.145495224,1.079050696,2.52344133,2.0,0,0,0,10,2,9,8000.0,2000.0,1250.0,32.0,1.5,0.36,1.743683573,6.865602115,,0.3,0.3,-0.2188828136,-0.5808947733,-0.3441403942,-0.1270151297,-0.08477439999,-0.0732594828
