query,size,min,max,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum,max,multiwave,holder_norm,summed,cpu_only,powermean,max_offset,powermean_offset,multiwave_offset,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,factor,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,summed_re,cpu_only_re,powermean_re,max_offset_re,powermean_offset_re,multiwave_offset_re
1,15,7.35,13.47,11.18969093,10.27,64.97999675,71.8225,17974.17,10.26025,0.003,10.25575,8.987085,8.122499594,0.0000024,17.10958699,8.987085,13.58855537,13.68767008,1.665977312,1.234004266,1.323131,1.09873827,1.358184554,1.357291294,,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,1.104786916,34.18555985,,0.3,0.3,0.665977312,-0.1740506725,0.3327818963,-0.08986514119,0.3678354503,0.3581845544
1,16,10.809,21.584,14.34632631,13.4332,83.2359964,93.9494,25896.169,13.421,0.003,13.414,12.9480845,10.40449955,0.0000024,23.35258645,12.9480845,18.58993201,18.68206964,1.738423194,1.266745303,1.383879642,1.009401466,1.410678916,1.406776147,,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,1.013052113,44.71297563,,0.3,0.3,0.738423194,-0.1986645364,0.390738591,-0.009313901379,0.4175378644,0.4106789158
1,17,16.343,31.361,23.21906355,22.321,146.1439968,156.171,38083.075,22.3098,0.003,22.3022,19.0415375,18.2679996,0.0000024,37.3095395,19.0415375,29.61578151,29.84763208,1.671499462,1.208631172,1.326812487,1.150475832,1.342940796,1.35008167,,0,0,1,1,1,0,4000,2000,1250,8,1.5,0.36,1.153465695,74.34007195,,0.3,0.3,0.6714994624,-0.1654495946,0.3371995914,-0.1307944313,0.3533279011,0.3429407962
1,18,25.891,31.419,28.7646583,27.3792,191.9199964,184.2144,61539.921,26.3162,0.003,26.3114,30.7699605,23.98999955,0.0000024,54.75996245,30.7699605,43.62957652,43.80797044,2.000057067,1.131839624,1.593529998,1.136993064,1.606678666,1.575126322,,0,0,1,1,1,0,4000,2000,1250,8,1.5,0.36,1.180640081,87.70396503,,0.3,0.3,1.000057067,-0.1106387495,0.6000456712,0.1369930641,0.6131943388,0.6066786656
1,19,46.044,46.876,48.18128491,46.47075,321.464997,325.2265,106453.553,46.46075,0.003,46.4545,53.2267765,40.18312463,0.0000024,93.40990353,53.2267765,74.50090219,74.7279233,2.010079534,1.150746764,1.603178391,1.153129151,1.610925199,1.582106485,,0,0,1,1,1,0,4000,2000,1250,8,1.5,0.36,1.152085933,154.8470946,,0.3,0.3,1.010079534,-0.1275560514,0.6080636379,0.1531291511,0.6158104464,0.6109251991
2,15,1.601068508,2.089153678,1.732176134,0.66925,5,1.526,29.9245,0.22675,7.99425,0.27175,0.01496225,0.625,0.0063954,0.64635765,0.625,0.6269730833,0.6313954,1.035417466,1.232723198,1.067430194,1.471796787,1.474744988,1.230472675,2,1,1,0,10,2,9,4000,2000,1250,8,1.5,0.36,1.389028666,1.127489972,,0.3,0.3,-0.03420597684,0.4717967874,-0.05656271946,0.4717967874,0.4813528577,0.4747449881
2,16,1.865491093,2.700743428,2.109072309,1.041,9,2.29525,47.18375,0.3475,11.51,0.46875,0.023591875,1.125,0.009208,1.157799875,1.125,1.12783118,1.134208,1.112199688,1.272814601,1.083411316,1.426512968,1.429232642,1.248988946,2,0,1,0,10,2,9,4000,2000,1250,8,1.5,0.36,1.073883576,1.515969833,,0.3,0.3,0.1121996878,0.4265129683,0.08953698367,0.4265129683,0.4353583093,0.4292326419
2,17,2.452196253,5.359785974,3.465080201,2.433,15,5.969,71.023,0.8846666667,16.95933333,1.534666667,0.0355115,1.875,0.01356746667,1.924078967,1.875,1.879025327,1.888567467,1.264501116,1.17253012,1.294820227,1.088590604,1.086633532,1.02257967,2,0,1,0,10,2,9,4000,2000,1250,8,1.5,0.36,2.636770026,4.894215216,,0.3,0.3,-0.2091742841,-0.0813810111,-0.2237700507,-0.0813810111,-0.07580457597,-0.07972654061
2,18,3.592028866,4.383821788,3.943776152,2.2935,22,5.8415,134.0675,0.97875,27.4445,1.30875,0.06703375,2.75,0.0219556,2.83898935,2.75,2.758278854,2.7719556,1.237841443,1.286243732,1.20265047,1.356006104,1.359615807,1.083214522,2,0,1,0,10,2,9,4000,2000,1250,8,1.5,0.36,2.666648503,4.06500151,,0.3,0.3,0.2378414432,0.3560061042,0.2086137345,0.3560061042,0.3655790713,0.3596158071
2,19,6.64967646,7.355558827,6.968577278,5.675,35,15.883,251.9155,3.085,48.341,3.807,0.12595775,4.375,0.0386728,4.53963055,4.375,4.391656235,4.4136728,1.250101729,1.240437158,1.292223183,1.198521647,1.194320405,1.178383978,2,0,0,0,10,2,9,4000,2000,1250,8,1.5,0.36,7.242502337,11.24093816,,0.3,0.3,-0.2000651013,-0.1656387665,-0.2222602996,-0.1656387665,-0.1588241762,-0.1627037471
