query,size,min,max,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum,max,multiwave,holder_norm,summed,cpu_only,powermean,max_offset,powermean_offset,multiwave_offset,type,short,complex,long,scans,aggs,joins,,,,,,,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,summed_re,cpu_only_re,powermean_re,max_offset_re,powermean_offset_re,multiwave_offset_re
1,15,4.703288072,5.624875491,5.308746,3.552,47.31999633,24.79033333,8987.256,3.5445,0.003,3.432,2.246814,2.957499771,0.0000024,5.204316171,2.957499771,4.14992371,4.163453417,1.465179102,1.124940699,1.168334378,1.070685831,1.269685729,1.273494768,0,0,0,,1,1,0,4000,4000,1250,16,1.5,0.36,1.391738855,11.43990848,,0.3,0.3,0.4651791021,-0.06601920866,0.1721434169,-0.06601920866,0.2734947682,0.2696857293
1,16,6.853827545,9.72111656,7.857803426,5.29525,72.7099965,36.9925,12947.562,5.272333333,0.003,5.16,3.2368905,4.544374781,0.0000024,7.781267681,4.544374781,6.219588343,6.225014625,1.469480701,1.116111236,1.174559906,1.079699296,1.242545365,1.24357011,0,0,0,,1,1,0,4000,4000,1250,16,1.5,0.36,1.490669087,17.1998624,,0.3,0.3,0.4694807009,-0.0738161973,0.1755846513,-0.0738161973,0.24357011,0.2425453648
1,17,9.206017412,10.22135701,9.566105972,7.983,111.8599966,55.8106,19041.201,7.8725,0.003,7.8175,4.76030025,6.991249788,0.0000024,11.75155244,6.991249788,9.411252769,9.40124243,1.472072208,1.110099112,1.178911784,1.085937797,1.224007612,1.222753655,0,0,0,,1,1,0,4000,4000,1250,16,1.5,0.36,1.555737725,26.05812487,,0.3,0.3,0.4720722081,-0.07913694257,0.1776578266,-0.07913694257,0.2227536553,0.2240076123
1,18,14.43192727,14.63102647,14.53219879,13.0636,183.0439966,91.3766,30768.65,13.037,0.003,12.76175,7.6921625,11.44024979,0.0000024,19.13241469,11.44024979,15.33110578,15.30593223,1.464559133,1.122278322,1.173574342,1.107061311,1.20113183,1.199204831,0,0,0,,1,1,0,4000,4000,1250,16,1.5,0.36,1.631223089,42.53882636,,0.3,0.3,0.4645591328,-0.09670766194,0.171647343,-0.09670766194,0.199204831,0.2011318303
1,19,24.2624489,25.18511202,24.71639629,24.0106,337.8919966,168.0012,54225.087,23.22425,0.003,23.11075,13.55627175,21.11824979,0.0000024,34.67452394,21.11824979,27.84843454,27.73961963,1.444134005,1.126293211,1.159839177,1.117903006,1.174832555,1.170300602,0,0,0,,1,1,0,4000,4000,1250,16,1.5,0.36,1.676082168,77.03521705,,0.3,0.3,0.4441340049,-0.1054680105,0.1553072239,-0.1054680105,0.1703006018,0.1748325548
2,15,2.037481322,3.063346409,2.550413866,0.682,10,0.568,21.767,0.072,4.015,0.098,0.00544175,0.625,0.003212,0.63365375,0.625,0.6254919256,0.628212,1.076297584,1.209677419,1.090341813,1.444281525,1.445002823,1.448991202,2,1,0,1,10,2,9,4000,4000,1250,16,1.5,0.36,4.242246528,3.094,,0.3,0.3,-0.07088892962,0.4442815249,-0.07886803519,0.4442815249,0.4489912023,0.4450028234
2,16,2.141329379,3.573795285,2.731315855,0.8645,12,0.89,32.10825,0.135,5.777666667,0.1923333333,0.0080270625,0.75,0.004622133333,0.7626491958,0.75,0.7507953142,0.7546221333,1.133548694,1.098901099,1.151445652,1.283979179,1.284899149,1.289325776,2,1,0,,10,2,9,4000,4000,1250,16,1.5,0.36,2.281681944,1.583823917,,0.3,0.3,-0.1178146954,0.2839791787,-0.1270999036,0.2839791787,0.289325776,0.2848991488
2,17,2.143926532,4.078612064,2.767843226,0.97075,15,1.57625,47.99175,0.249,8.507333333,0.3596666667,0.0119979375,0.9375,0.006805866667,0.9563038042,0.9375,0.9387910069,0.9443058667,1.015106283,1.171774401,1.034042713,1.336595416,1.337925323,1.343606352,2,1,0,,10,2,9,4000,4000,1250,16,1.5,0.36,1.253003765,1.172293967,,0.3,0.3,-0.0148814791,0.3365954159,-0.02724093055,0.3365954159,0.3436063525,0.3379253226
2,18,2.56455352,2.857563214,2.711058367,1.14,22,2.5672,91.5058,0.41275,13.765,0.551,0.02287645,1.375,0.011012,1.40888845,1.375,1.377622899,1.386012,1.235867061,1.381578947,1.20844114,1.521929825,1.524230614,1.531589474,2,0,0,,10,2,9,4000,4000,1250,16,1.5,0.36,1.278352757,1.771635821,,0.3,0.3,0.2358670614,0.5219298246,0.2158,0.5219298246,0.5315894737,0.5242306135
2,19,3.302452663,4.432397453,4.102994415,2.23775,35,5.4245,169.669,0.9596666667,24.21066667,1.228333333,0.04241725,2.1875,0.01936853333,2.249285783,2.1875,2.192649733,2.206868533,1.005155081,1.066919897,1.020568842,1.138420288,1.140721588,1.147075649,2,0,0,,10,2,9,4000,4000,1250,16,1.5,0.36,2.802623602,3.846131366,,0.3,0.3,0.005155081369,0.1384202882,-0.01380023089,0.1384202882,0.1470756489,0.1407215879
3,15,3.06666847,3.696183377,3.449230423,0.931,3.273320333,6.277,1833.524,0.516,6.756,0.031,0.458381,0.2045825208,0.0054048,0.6683683208,0.458381,0.5458411062,0.5406972125,1.392944535,2.301137474,1.705624566,1.137611944,1.027774069,1.033643701,1,1,0,,3,1,2,4000,4000,1250,16,1.5,0.36,1.46973062,9.851767742,,0.3,0.3,-0.2820963256,-0.3935740915,-0.4192296321,-0.1209656284,-0.03254864393,-0.0270235164
3,16,4.087729016,4.30384828,4.14224689,2.806,30.669993,19.57125,118.75975,2.755,56.64066667,2.644,0.0296899375,1.916874563,0.04531253333,1.991877033,1.916874563,1.923975843,1.962187096,1.408721499,1.325539099,1.45843827,1.232391123,1.228559404,1.208343636,1,0,0,,3,1,2,4000,4000,1250,16,1.5,0.36,8.356336323,7.65683184,,0.3,0.3,-0.2901364813,-0.1885692935,-0.3007173572,-0.1885692935,-0.1724208497,-0.186038545
3,17,4.599000828,5.115372301,4.939321655,3.3708,31.4079824,29.1274,8221.64,2.40725,14.315,0.137,2.05541,1.9629989,0.011452,4.0298609,2.05541,3.190292382,3.22617912,1.195520618,1.558391916,1.056580274,1.395539474,1.053249194,1.06389555,1,0,0,,3,1,2,4000,4000,1250,16,1.5,0.36,1.022008907,2.273372263,,0.3,0.3,0.1955206183,-0.3108464163,-0.04290402278,-0.2834312329,0.06389555002,0.05324919364
