query_id,size,cpu_time,data_scanned,shuffled_mb
1,15,46.98,17974.17,0.003
2,15,5.124,29.924,7.994
3,15,13.4,7709.962,13.502
4,15,14.433,955.709,0.001
5,15,13.92,1762.612,62.969
6,15,0.54,231.25,0.0
7,15,8.473,2289.97,33.768
8,15,21.0,907.084,18.552
9,15,29.92,2696.462,70.471
10,15,17.75,2600.666,638.166
11,15,1.748,1345.388,96.045
12,15,2.195,251.523,0.0
13,15,79.26,2840.471,1069.398
14,15,1.43,753.146,101.051
15,15,2.513,807.007,347.462
16,15,7.68,1365.351,475.391
17,15,10.0,20.498,1.991
18,15,56.487,13791.687,0.331
19,15,6.62,513.352,145.156
20,15,2.47,159.892,47.681
21,15,39.75,7714.847,3.392
22,15,4.467,1277.399,121.228
1,16,83.236,25896.169,0.003
2,16,9.36,47.184,11.51
3,16,20.84,9852.064,19.456
4,16,23.167,1482.476,0.001
5,16,25.415,3573.429,81.726
6,16,2.42,333.259,0.0
7,16,22.433,6194.08,48.66
8,16,45.0,535.107,30.064
9,16,53.487,3834.555,101.538
10,16,31.77,3854.284,922.778
11,16,1.797,1776.176,124.906
12,16,8.85,357.007,0.0
13,16,122.848,4092.187,1540.651
14,16,2.4,1091.255,145.575
15,16,5.553,996.234,336.13
16,16,16.42,1962.735,682.043
17,16,27.792,56.264,2.856
18,16,101.256,19869.88,0.479
19,16,15.22,736.75,209.18
20,16,11.89,2247.486,69.442
21,16,87.707,18467.643,4.891
22,16,12.013,1847.062,177.41
1,17,146.144,38083.075,0.003
2,17,15.82,71.023,16.959
3,17,33.99,16396.242,28.605
4,17,81.53,12459.77,0.001
5,17,44.225,16470.72,110.561
6,17,21.128,489.997,0.0
7,17,41.44,9144.57,71.53
8,17,47.0,654.282,39.235
9,17,95.667,5753.123,149.259
10,17,62.58,7697.29,1365.628
11,17,3.568,2436.216,168.741
12,17,79.484,516.269,0.0
13,17,168.61,6017.968,2265.68
14,17,7.08,1609.727,214.249
15,17,8.725,1476.308,546.786
16,17,25.74,2889.939,999.583
17,17,80.81,44.823,4.202
18,17,152.764,29220.593,0.704
19,17,37.667,1089.705,307.604
20,17,15.96,6717.5,149.0
21,17,125.84,26247.912,25.994
22,17,18.933,2712.728,261.697
1,18,191.92,61539.921,0.003
2,18,22.139,134.067,27.445
3,18,86.205,23423.512,46.212
4,18,198.055,20819.269,0.001
5,18,152.603,32364.454,175.495
6,18,44.0,791.856,0.0
7,18,90.805,14726.081,115.55
8,18,109.0,1599.992,63.282
9,18,196.232,10846.008,241.048
10,18,133.124,17020.694,2232.895
11,18,9.752,3716.904,253.806
12,18,129.388,4920.314,0.0
13,18,266.384,9725.082,3661.355
14,18,25.175,2600.19,346.168
15,18,21.465,2452.877,876.12
16,18,46.688,4665.733,1610.364
17,18,130.785,72.212,17.258
18,18,243.788,47218.856,1.14
19,18,66.38,1834.578,496.959
20,18,35.49,11928.0,258.0
21,18,233.12,34294.588,26.006
22,18,54.832,4387.384,430.301
1,19,321.465,106453.553,0.003
2,19,35.924,251.916,48.341
3,19,153.445,41688.428,81.448
4,19,434.247,36691.398,0.001
5,19,230.156,54525.433,290.263
6,19,62.0,1395.797,0.0
7,19,177.665,25941.873,203.582
8,19,192.0,5339.179,111.56
9,19,467.315,92989.342,424.759
10,19,232.325,30190.71,4020.453
11,19,29.853,6479.076,443.837
12,19,226.604,12891.307,0.0
13,19,480.89,17139.22,6452.672
14,19,38.872,4619.688,609.856
15,19,105.868,4238.508,1404.269
16,19,91.648,8219.644,2833.03
